# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ተመገበ	ተመግቧል	ይመገብ	ይመገባል	ይመገብ	ተመገብ	ተመግቦ	መመገብ	ተመጋቢ	be fed	p
ታረመ	ታርሟል	ይታረም	ይታረማል	ይታረም		ታርሞ	መታረም		be weeded	p
ተረራቁ	ተረርቀዋል	ይረራቁ	ይረራቃሉ	ይረራቁ	ተረራቁ	ተረርቀው	መረራቅ	ተረራቆች	be separated	p
ተራረቀ	ተራርቋል	ይተራረቅ	ይተራረቃል	ይተራረቀ	ተራረቅ	ተራርቆ	መተራረቅ	ተራራቂ	make peace	i
ተራራቁ	ተራርቀዋል	ይራራቁ	ይራራቃሉ	ይራራቁ	ተራራቁ	ተራርቀው	መራራቅ	ተራራቆች	be separated	p
ተረሳ	ተረስቷል	ይረሳ	ይረሳል	ይረሳ		ተረስቶ	መረሳት	ተረሽ	be forgotten	p
ተረበ	ተርቧል	ይተርብ	ይተርባል	ይተርብ	ተርብ	ተርቦ	መተረብ	ተራቢ	play 	i
ተራበ	ተርቧል	ይራብ	ይራባል	ይራብ	ተራበ	ተርቦ	መራብ	ተራቢ	be hungry	i
ተረታ	ተረትቷል	ይረታ	ይረታል	ይረታ	ተረታ	ተረትቶ	መረታት	ተረች	be overcame	p
ተረተረ	ተርትሯል	ይተረትር	ይተረትራል	ይተርትር	ተርትር	ተርትሮ	መተርተር	ተርታሪ	crack	t
ተረከ	ተርኳል	ይተርክ	ይተርካል	ይትረክ	ትረክ	ተርኮ	መትረክ	ተራኪ	narrate	t
ተረጐመ	ተርጕሟል	ይተረጕም	ይተረጕማል	ይተርጕም	ተርጕም	ተርጕሞ	መተርጐም	ተርጓሚ	interpret	t
ተርገበገበ	ተርገብግቧል	ይርገበገብ	ይርገበገባል	ይርገብገብ	ተርገብገብ	ተርገብግቦ	መርገብገብ	ተርገብጋቢ	wave	i
ተረፈ	ተርፏል	ይተርፍ	ይተርፋል	ይትረፍ		ተርፎ	መትረፍ	ተራፊ	remain over	i
ተሰለፈ	ተሰልፏል	ይሰለፍ	ይሰለፋል	ይሰለፍ	ተሰለፍ	ተሰልፎ	መሰለፍ	ተሰላፊ	be paraded	p
ተሰማ	ተሰምቷል	ይሰማ	ይሰማል	ይሰማ	ተሰማ	ተሰምቶ	መሰማት	ተሰሚ	be heard	p
ተሰማማ	ተሰማ	ይሰማ	ይሰማ	ይሰማ	ተሰማ	ተሰማ	መስማ	ተሰማ		
ተሰመረ 2nd -ረህ	ተሰመርቷል	ይሰመር	ይሰመራል	ይሰመር		ተሰመርቶ	መሰመረት	ተሰማሪ	graze	i
ተሰማራ	ተሰማርቷል	ይሰማራ	ይሰማራል	ይሰማራ		ተሰማርቶ	መሰማራት	ተሰማሪ	graze	i
ተሰራ	ተሰርቷል	ይሰራ	ይሰራል	ይሰራ		ተሰርቶ	መሰራት	ተሰሪ	be built, be decreed	p,p
ታሰረ	ታስሯል	ይታሰር	ይታሰራል	ይታሰር	ታሰር	ታስሮ	መታሰር	ታሳሪ	be tied	p
ተሰረሰረ	ተሰርስሯል	ይሰርሰር	ይሰረሰራል	ይሰርሰር		ተሰርስሮ	መሰርሰር	ተሰርስሪ	be bored	p
ተሰረቀ	ተሰርቋል	ይሰረቅ	ይሰረቃል	ይሰረቅ		ተሰርቆ	መሰረቅ	ተሰራቂ	be stolen	p
ተሰሳተ	ተሰስቷል	ይሰሳት	ይሰሳታል	ይሰሳት	ተሰሳት	ተሰስቶ	መሰሳት	ተሰሳች	be confused	i
ተሳሳተ	ተሳስቷል	ይሳሳት	ይሳሳታል	ይሳሳት	ተሳሳት	ተሳስቶ	መሳሳት	ተሳሳች	be confused	i
ተሰቀለ	ተሰቅሏል	ይሰቀል	ይሰቀላል	ይሰቀል	ተሰቀል	ተሰቅሎ	መሰቀል	ተሰቃይ	be suspended, ride	p, i
ተሳበ	ተስቧል	ይሳብ	ይሳባል	ይሳብ	ተሳብ	ተስቦ	መሳብ	ተሳቢ	be drawn	p
ተሰበረ	ተሰብሯል	ይሰበር	ይሰበራል	ይሰበር	ተሰበር	ተሰብሮ	መሰበር	ተሰባሪ	be broken	p
ተሰበሰበ	ተሰብስቧል	ይሰበሰብ	ይሰበሰባል	ይሰብሰብ	ተሰብሰብ	ተሰብስቦ	መሰብሰብ	ተሰብሳቢ	be gathered	p
ተሰባበረ	ተሰባብሯል	ይሰባበር	ይሰባበራል	ይሰባበር	ተሰባበር	ተሰባብሮ	መሰባበር	ተሰባባሪ	be shattered	p
ተሳተ	ተስቷል	ይሳት	ይሳታል	ይሳት		ተስቶ	መሳት		be missed	p
ተሰናበተ	ተሰናብቷል	ይሰናበት	ይሰናበታል	ይሰናበት	ተሰናበት	ተሰናብቶ	መሰናበት	ተሰናባች	be dismissed	p
ተሰናዳ	ተሰናድቷል	ይሰናዳ	ይሰናዳል	ይሰናዳ	ተሰናዳ	ተሰናድቶ	መሰናዳት	ተሰናጅ	be prepared	p
ተሰነጠቀ	ተሰንጥቋል	ይሰነጠቅ	ይሰነጠቃል	ይሰንጠቅ		ተሰንጥቆ	መሰንጠቅ	ተሰንጣቂ	be split	p
ተሰወረ	ተሰውሯል	ይሰወር	ይሰወራል	ይሰወር	ተሰወር	ተሰውሮ	መሰወር	ተሰዋሪ	be hidden	p
ተሰደበ	ተሰድቧል	ይሰደብ	ይሰደባል	ይሰደብ		ተሰድቦ	መሰደብ	ተሰዳቢ	be abused	p
ተሳደደ	ተሳዷል	ይሳደድ	ይሳደዳል	ይሳደድ	ተሳደድ	ተሳዶ	መሳደድ	ተሳዳጅ	migrate	i
ተሰዳደቡ	ተሰዳድበዋል	ይሰዳደቡ	ይሰዳደባሉ	ይሰዳደቡ	ተሰዳደቡ	ተሰዳድበው	መሰዳደብ	ተሰዳዳቦች	quarrel	i
ተሰጠ 2nd-ጠህ	ተሰጥቷል	ይሰጥ	ይሰጣል	ይሰጥ		ተሰጥቶ	መሰጠት	ተሰጭ-ጪ	be given  	p
ተስፋ	ተሰፍቷል	ይስፋ	ይሰፋል	ይሰፋ		ተሰፍቶ	መሰፋት	ተሰፊ	be sewn	p
ታሸ 2nd ታሸህ	ታሽቷል	ይታሽ	ይታሻል	ይታሽ		ታሽቶ	መታሸት		be rubbed	p
ተሻለ	ተሽሏል	ይሻል	ይሻላል			ተሽሎ	መሻል		be better	i
ተሻማ	ተሻምቷል	ይሻማ	ይሻማል	ይሻማ	ተሻማ	ተሻምቶ	መሻማት	ተሻሚ	scramble for	t
ተሾመ	ተሹሟል	ይሾም	ይሾማል	ይሾም	ተሾም	ተሹሞ	መሾም	ተሿሚ	be set in authority	p
ተሸሸገ	ተሸሽጓል	ይሸሸግ	ይሸሸጋል	ይሸሸግ	ተሸሸግ	ተሸሽጎ	መሸሸግ	ተሸሻጊ	be hidden	p
ተሸኘ 2nd-ኘህ	ተሸኝቷል	ይሸኝ	ይሸኛል	ይሸኝ	ተሸኝ	ተሸኝቶ	መሸኘት	ተሸኚ	be escorted	p
ተሸከመ	ተሸክሟል	ይሸከም	ይሸከማል	ይሸከም	ተሸከም	ተሸክሞ	መሸከም	ተሸካሚ	be laden	p
ተሻገረ	ተሻግሯል	ይሻገር	ይሻገራል	ይሻገር	ተሻገር	ተሻግሮ	መሻገር	ተሻጋሪ	cross	t
ተሸጠ	ተሺጧል	ይሸጥ	ይሸጣል	ይሸጥ		ተሺጦ	መሸጥ	ተሻጭ	be sold	p
ተሸፈነ	ተሸፍኗል	ይሸፈን	ይሸፈናል	ይሸፈን	ተሸፈን	ተሸፍኖ	መሸፈን	ተሸፋኝ	be wrapped	p
ተቀለመ	ተቀልሟል	ይቀለም	ይቀለማል	ይቀለም		ተቀልሞ	መቀለም	ተቀላሚ	be stained	p
ተቀለቀለ	ተቀልቅሏል	ይቀለቀል	ይቀለቀላል	ይቀልቀል		ተቀልቅሎ	መቀልቀል	ተቀልቃይ	be mixed	p
ተቀላቀለ	ተቀላቅሏል	ይቀላቀል	ይቀላቀላል	ይቀላቀል		ተቀላቅሎ	መቀላቀል	ተቀላቃይ	be mixed	p
ተቈለፈ	ተቈልፏል	ይቈለፍ	ይቈለፋል	ይቈለፍ		ተቈልፎ	መቈለፍ	ተቈላፊ	be locked	p
ተቀማ	ተቀምቷል	ይቀማ	ይቀማል	ይቀማ	ተቀማ	ተቀምቶ	መቀማት	ተቀሚ	be robbed	p
ተቀመሰ	ተቀምሷል	ይቀመስ	ይቀመሳል	ይቀመስ		ተቀምሶ	መቀመስ	ተቀማሽ	be tasted	p
ተቀመጠ	ተቀምጧል	ይቀመጥ	ይቀመጣል	ይቀመጥ	ተቀመጥ	ተቀምጦ	መቀመጥ	ተቀማጭ	sit, ride	i
ተቀራረቡ	ተቀራርበዋል	ይቀራረቡ	ይቀራረባሉ	ይቀራረቡ	ተቀራረቡ	ተቀራርበው	መቀራረብ	ተቀራራቦች	be close together	i
ተቀረጠ	ተቀርጧል	ይቀረጥ	ይቀረጣል	ይቀረጥ	ተቀረጥ	ተቀርጦ	መቀረጥ	ተቀረጭ	pay dues	i
ተቈረጠ	ተቈርጧል	ይቈረጥ	ይቈረጣል	ይቈረጥ	ተቈረጥ	ተቈርጦ	መቈረጥ	ተቈራጭ	be cut	p
ተቀሰቀሰ	ተቀስቅሷል	ይቀቀል	ይቀቀላል	ይቀቀል		ተቀቅሎ	መቀቀል	ተቀቃይ	be boiled	p
ተቀባ	ተቀብቷል	ይቀባ	ይቀባል	ይቀባ	ተቀባ	ተቀብቶ	መቀባት	ተቀቢ	be anointed	p
ተቀበለ	ተቀብሏል	ይቀበል	ይቀበላል	ይቀበል	ተቀበል	ተቀብሎ	መቀበል	ተቀባይ	accept	t
ተቀበረ	ተቀብሯል	ይቀበር	ይቀበራል	ይቀበር		ተቀብሮ	መቀበር	ተቀባሪ	be buried	p
ተቀዳ	ተቀድቷል	ይቀዳ	ይቀዳል	ይቀዳ		ተቀድቶ	መቀዳት	ተቀጅ	be drawn	p
ተቀደመ	ተቀድሟል	ይቀደም	ይቀደማል	ይቀደም	ተቀደም	ተቀድሞ	መቀደም	ተቀዳሚ	go in front	i
ተቀደደ	ተቀዷል	ይቀደድ	ይቀደዳል	ይቀደድ		ተቀዶ	መቀደድ	ተቀዳጅ	be pierced	p
ተቀጣ	ተቀጥቷል	ይቀጣ	ይቀጣል	ይቀጣ	ተቀጣ	ተቀጥቶ	መቀጣት	ተቀጭ	be punished	p
ተቈጣ	ተቈጥቷል	ይቈጣ	ይቈጣል	ይቈጣ	ተቈጣ	ተቈጥቶ	መቈጣት	ተቈጭ	be angry	i
ተቀጠለ	ተቀጥሏል	ይቀጠል	ይቀጠላል	ይቀጠል	ተቀጠል	ተቀጥሎ	መቀጠል	ተቀጣይ	be joined	p
ተቃጠለ	ተቃጥሏል	ይቃጠል	ይቃጠላል	ይቃጠል	ተቃጠል	ተቃጥሎ	መቃጠል	ተቃጣይ	be burnt	p
ተቀጠረ	ተቀጥሯል	ይቀጠር	ይቀጠራል	ይቀጠር	ተቀጠር	ተቀጥሮ	መቀጠር	ተቀጣሪ	be engaged	p
ተቈጠረ	ተቈጥሯል	ይቈጠር	ይቈጠራል	ይቈጠር	ተቈጠር	ተቈጥሮ	መቈጠር	ተቈጣሪ	be counted	p
ተቈጠበ	ተቈጥቧል	ይቈጠብ	ይቈጠባል	ይቈጠብ		ተቈጥቦ	መቈጠብ	ተቈጣቢ	be saved	p
ተቀጠፈ	ተቀጥፏል	ይቀጠፍ	ይቀጠፋል	ይቀጠፍ		ተቀጥፎ	መቀጠፍ	ተቀጣፊ	be cheated	p
ተቈፈረ	ተቈፍሯል	ይቈፈር	ይቈፈራል	ይቈፈር		ተቈፍሮ	መቈፈር	ተቈፋሪ	be dug	p
ተበላ	ተበልቷል	ይበላ	ይበላል	ይበላ	ተበላ	ተበልቶ	መበላት	ተበይ	be eaten	p
ተባለ	ተብሏል	ይባል	ይባላል	ይባል		ተብሎ	መባል	ተባይ	be said	p
ተበላሸ 2nd-ሸህ	ተበላሽቷል	ይበላሽ	ይበላሻል	ይበላሽ		ተበላሽቶ	መበላሸት		be spoiled	p
ተበራ	ተበርቷል	ይበራ	ይበራል	ይበራ		ተበርቶ	መበራት	ተበሪ	be lit	p
ተባረከ	ተባርኳል	ይባረክ	ይባረካል	ይባረክ	ተባረክ	ተባርኮ	መባረክ	ተባራኪ	be blessed	i
ታበሰ	ታብሷል	ይታበስ	ይታበሳል	ይታበስ		ታብሶ	መታበስ	ታባሽ	be wiped	p
ተበተነ	ተበትኗል	ይበተን	ይበተናል	ይበተን	pl.ተበተኑ	ተበትኖ	መበተን	ተበታኝ	be scattered	p
ተበደለ	ተበድሏል	ይበደል	ይበደላል	ይበደል	ተበደል	ተበድሎ	መበደል	ተበዳይ	be ill-treated	p
ተበደረ	ተበድሯል	ይበደር	ይበደራል	ይበደር	ተበደር	ተበድሮ	መበደር	ተበዳሪ	borrow	t
ተበጀ 2nd -ጀህ	ተበጅቷል	ይበጅ	ይበጃል	ይበጅ		ተበጅቶ	መበጀት		be made	p
ተታለለ	ተታሏል	ይታለል	ይታለላል	ይታለል		ተታሎ	መታለል	ተታላይ	be deceived	p
ታተመ	ታትሟል	ይታተም	ይታተማል	ይታተም		ታትሞ	መታተም	ታታሚ	be sealed	p
ተተረተረ	ተተርትሯል	ይተረተር	ይተረተራል	ይተርተር	ተተርተር	ተተርትሮ	መተርተር	ተተርታሪ	be cracked	p
ተተረጐመ	ተተርጕሟል	ይተረጐም	ይተረጐማል	ይተርጐም		ተተርጕሞ	መተርጐም	ተተርጓሚ	be interpreted	p
ተተከለ	ተተክሏል	ይተከል	ይተከላል	ይተከል		ተተክሎ	መተከል	ተተካይ	be planted	p
ተተኰሰ	ተተኵሷል	ይተኰስ	ይተኰሳል	ይተኰስ		ተተኵሶ	መተኰስ	ተተኳሽ	be scorched	p
ተተወ	ተትቷል	ይተው	ይተዋል	ይተው		ተትቶ	መተወት		be left	p
ተቻለ	ተችሏል	ይቻል	ይቻላል	ይቻል		ተችሎ	መቻል		be possible	i
ተነሣ	ተነሥቷል	ይነሣ	ይነሣል	ይነሣ	ተነሣ	ተነሥቶ	መነሣት	ተነሽ	rise  	i
ተንሻተተ	ተንሻቷል	ይንሻተት	ይንሻተታል	ይንሻተት	ተንሻተት	ተንሻቶ	መንሻተት	ተንሻታች	slide	i
ተንቀሳቀሰ	ተንቀሳቅሷል	ይንቀሳቀስ	ይንቀሳቀሳል	ይንቀሳቀስ	ተንቀሳቀስ	ተንቀሳቅሶ	መንቀሳቀስ	ተንቀሳቃሽ	be moved	p
ተነቀነቀ	ተነቅንቋል	ይነቀነቅ	ይነቀነቃል	ይነቅነቅ	ተነቅነቅ	ተነቅንቆ	መነቅነቅ	ተነቅናቂ	be shaken	p
ተነቃነቀ	ተነቃንቋል	ይነቃነቅ	ይነቃነቃል	ይነቃነቅ		ተነቃንቆ	መነቃነቅ		be shaken	p
ተንቀጠቀጠ	ተንቀጥቅጧል	ይንቀጠቀጥ	ይንቀጠቀጣል	ይንቀጥቀጥ	ተንቀጥቀጥ	ተንቀጥቅጦ	መንቀጥቀጥ	ተንቀጥቃጭ	tremble	i
ተነካ	ተነክቷል	ይነካ	ይነካል	ይነካ		ተነክቶ	መነካት	ተነኪ	be touched	p
ተነከረ	ተነክሯል	ይነከር	ይነከራል	ይነከር	ተነከር	ተነክሮ	መነከር	ተነካሪ	be wetted	p
ተነከሰ	ተነክሷል	ይነከስ	ይነከሳል	ይነከስ		ተነክሶ	መነከስ	ተነካሽ	be bitten	p
ተናከሰ	ተናክሷል	ይናከስ	ይናከሳል	ይናከስ	ተናከስ	ተናክሶ	መናከስ	ተናካሽ	bite	i
ተንኰሻኰሸ	ተንኰሻኵሿል	ይንኰሻኰሽ	ይንኰሻኰሻል	ይንኰሻኰሽ	ተንኰሻኰሽ	ተንኰሻኵሾ	መንኰሻኰሽ	ተንኰሻኳሽ	rustle	i
ተንከባለለ	ተንከባሏል	ይንከባለል	ይንከባለላል	ይንከባለል	ተንከባለል	ተንከባሎ	መንከባለል	ተንከባላይ	be rolled	p
ተንኳኳ	ተንኳኵቷል	ይንኳኳ	ይንኳኳል	ይንኳኳ		ተንኳኵቶ	መንኳኳት		creak	i
ተናወጠ	ተናውጧል	ይናወጥ	ይናወጣል	ይናወጥ		ተናውጦ	መናወጥ	ተናዋጭ	be disturbed	p
ተነዳ	ተነድቷል	ይነዳ	ይነዳል	ይነዳ	ተነዳ	ተነድቶ	መነዳት	ተነጅ	be driven	p
ተናደደ	ተናዷል	ተናደድ	ይናደዳል	ይናደድ	ተናደድ	ተናዶ	መናደድ	ተናዳጅ	be annoyed	i
ተነደፈ	ተነድፏል	ይነደፍ	ይነደፋል	ይነደፍ	ተነደፍ	ተነድፎ	መነደፍ	ተነዳፊ	be stung	i
ተናደፈ	ተናድፏል	ይናደፍ	ይናደፋል	ይናደፍ		ተናድፎ	መናደፍ	ተናዳፊ	sting	i
ተናገረ	ተናግሯል	ይናገር	ይናገራል	ይናገር	ተናገር	ተናግሮ	መናገር	ተናጋሪ	speak	i
ተነጋገረ	ተነጋግሯል	ይነጋገር	ይነጋገራል	ይነጋገር	ተነጋገር	ተነጋግሮ	መነጋገር	ተነጋጋሪ	converse	i
ተንጠለጠለ	ተንጠልጥሏል	ይንጠለጠል	ይንጠለጠላል	ይንጠልጠል	ተንጠልጠል	ተንጠልጥሎ	መንጠልጠል	ተንጠልጣይ	be hung 	p
ተነጨ 2nd ተነጨህ	ተነጭቷል	ይነጭ	ይነጫል	ይነጭ		ተነጭቶ	መነጨት	ተነጭ	be plucked out	p
ተነፋ	ተነፍቷል	ይነፋ	ይነፋል	ይነፋ	ተነፋ	ተነፍቶ	መነፋት	ተነፊ	be inflated	p
ተነፈሰ	ተንፍሷል	ይተነፍስ	ይተነፍሳል	ይተንፍስ	ተንፍስ	ተንፍሶ	መተንፈስ	ተንፋሽ	breathe	i
ተናፈሰ	ተናፍሷል	ይናፈስ	ይናፈሳል	ይናፈስ	ተናፈስ	ተናፍሶ	መናፈስ	ተናፋሽ	get fresh air	i
ተኛ	ተኝቷል	ይተኛ	ይተኛል	ይተኛ	ተኛ	ተኝቶ	መተኛት		recline	i
ተከለ	ተክሏል	ይተክል	ይተክላል	ይትከል	ትከል	ተክሎ	መትከል	ተካይ	plant	t
ተከለከለ	ተከልክሏል	ይከለከል	ይከለከላል	ይከልከል	ተከልከል	ተከልክሎ	መከልከል	ተከልካይ	be hindered	p
ተከመረ	ተከምሯል	ይከመር	ይከመራል	ይከመር	ተከመር	ተከምሮ	መከመር	ተከማሪ	be piled	p
ተከራከረ	ተከራክሯል	ይከራከር	ይከራከራል	የከራከር	ተከራከር	ተከራክሮ	መከራከር	ተከራካሪ	dispute	i
ተከራየ 2nd-ራየህ	ተከራይቷል	ይከራይ	ይከራያል	ይከራይ	ተከራይ	ተከራይቶ	መከራየት		take on hire	t
ተኰሰ	ተኵሷል	ይተኵስ	ይተኵሳል	ይተኵስ	ተኵስ	ተኵሶ	መተኰስ	ተኳሽ	scorch	t
ተከሰሰ	ተከሷል	ይከሰስ	ይከሰሳል	ይከሰስ	ተከሰስ	ተከሶ	መከሰስ	ተከሳሽ	be accused	p
ተከበረ	ተከብሯል	ይከበር	ይከበራል	ይከበር		ተከብሮ	መከበር	ተከባሪ	be honoured	p
ተከተለ	ተከትሏል	ይከተል	ይከተላል	ይከተል	ተከተል	ተከትሎ	መከተል	ተከታይ	follow	t
ታከከ	ታኳል	ይታከክ	ይታከካል	ይታከክ		ታኮ	መታከክ	ታካኪ	be scratched	p
ተካከለ	ተካክሏል	ይተካከል	ይተካከላል	ይተካከል	ተካከል	ተካክሎ	መተካከል	ተካካይ	be equal	i
ተከፈለ	ተከፍሏል	ይከፈል	ይከፈላል	ይከፈል	ተከፈል	ተከፍሎ	መከፈል	ተከፋይ	be divided	p
ተካፈለ	ተካፍሏል	ይካፈል	ይካፈላል	ይካፈል	ተካፈል	ተካፍሎ	መካፈል	ተካፋይ	share	t
ተከፈተ	ተከፍቷል	ይከፈት	ይከፈታል	ይከፈት		ተከፍቶ	መከፈት	ተከፋት	be opened	p
ተወ	ትቷል	ይተው	ይተዋል	ይተው	ተው ፤ ተይ	ትቶ	መተው	ተዪ	leave	t
ተወለወለ	ተወልውሏል	ይወለወል	ይወለወላል	ይወልወል		ተወልውሎ	መወልወል		be wiped	p
ተወለደ	ተወልዷል	ይወለድ	ይወለዳል			ተወልዶ	መወለድ	ተወላጅ	be born	i
ተወራረደ	ተወራርዷል	ይወራረድ	ይወራረዳል	ይወራረድ	ተወራረድ	ተወራርዶ	መወራረድ	ተወራራጅ	bet	i
ተወረወረ	ተወርውሯል	ይወረወር	ይወረወራል	ይወርወር		ተወርውሮ	መወርወር	ተወርዋሪ	be thrown	p
ተዋሰ	ተውሷል	ይዋስ	ይዋሳል	ይዋስ	ተዋስ	ተውሶ	መዋስ	ተዋሽ	be guarantor	i
ተወሰደ	ተወስዷል	ይወሰድ	ይወሰዳል	ይወሰድ		ተወስዶ	መወሰድ	ተወሳጅ	be removed	p
ታወቀ	ታውቋል	ይታወቅ	ይታወቃል	ይታወቅ		ታውቆ	መታወቅ	ታዋቂ	be known	p
ተወቀጠ	ተወቅጧል	ይወቀጥ	ይወቀጣል	ይወቀጥ		ተወቅጦ	መወቀጥ	ተወቃጭ	be crushed	p
ተወዘወዘ	ተወዝውዟል	ይወዘወዝ	ይወዘወዛል	ይወዝወዝ	ተወዝወዝ	ተወዝውዞ	መወዝወዝ	ተወዝዋዢ	be shaken	p
ተወደደ	ተወዷል	ይወደድ	ይወደዳል	ተወደድ	ተወደድ	ተወዶ	መወደድ	ተወዳጅ	be loved	p
ተዋደዱ	ተዋደዋል	ይዋደዱ	ይዋደዳሉ	ይዋደዱ	ተዋደዱ	ተዋደው	መዋደድ	ተዋዳጆች	agree	i
ተወጋ	ተወግቷል	ይወጋ	ይወጋል	ይወጋ		ተወግቶ	መወጋት	ተወጊ	be pricked	p
ተዋጋ	ተዋግቷል	ይዋጋ	ይዋጋል	ይዋጋ	ተዋጋ	ተዋግቶ	መዋጋት	ተዋጊ	fight; butt	i
ተዘራ	ተዘርቷል	ይዘራ	ይዘራል	ይዘራ		ተዘርቶ	መዘራት		be sown	p
ተዘረፈ	ተዘርፏል	ይዘረፍ	ይዘረፋል	ይዘረፍ		ተዘርፎ	መዘረፍ	ተዘራፊ	be looted	p
ተዘቀዘቀ	ተዘቅዝቋል	ይዘቀዘቅ	ይዘቀዘቃል	ይዘቅዘቅ	ተዘቅዘቅ	ተዘቅዝቆ	መዘቅዘቅ	ተዘቅዛቂ	be inclined	p
ተዘወረ	ተዘውሯል	ይዘወር	ይዘወራል	ይዘወር		ተዘውሮ	መዘወር	ተዘዋሪ	be turned	p
ታዘዘ	ታዟል	ይታዘዝ	ይታዘዛል	ይታዘዝ	ታዘዝ	ታዞ	መታዘዝ	ታዛዢ	obey	t
ተዘጋ	ተዘግቷል	ይዘጋ	ይዘጋል	ይዘጋ		ተዘግቶ	መዘጋት	ተዘጊ	be shut	p
ታየ 2nd ታየህ	ታይቷል	ይታይ	ይታያል	ይታይ	ታይ	ታይቶ	መታየት		be seen	p
ተያዘ	ተይዟል	ይያዝ	ይያዛል	ይያዝ	ተያዝ	ተይዞ	መያዝ	ተያዢ	be seized	p
ተዳመጠ	ተዳምጧል	ይዳመጥ	ይዳመጣል	ይዳመጥ		ተዳምጦ	መዳመጥ	ተዳማጭ	be ginned	p
ተደረገ	ተደርጓል	ይደረግ	ይደረጋል	ይደረግ		ተደርጎ	መደረግ	ተደራጊ	be done	p
ተደበለቀ	ተደብልቋል	ይደበለቅ	ይደበለቃል	ይደብለቅ	ተደብለቅ	ተደብልቆ	መደብለቅ	ተደብላቂ	be mixed	p
ተደገፈ	ተደግፏል	ይደገፍ	ይደገፋል	ይደገፍ	ተደገፍ	ተደግፎ	መደገፍ	ተደጋፊ	lean	i
ተጀመለ	ተጀምሏል	ይጀመል	ይጀመላል	ይጀመል		ተጀምሎ	መጀመል		be added	p
ተጀመረ	ተጀምሯል	ይጀመር	ይጀመራል	ይጀመር		ተጀምሮ	መጀመር	ተጀማሪ	be begun	p
ተጋ	ተግቷል	ይተጋ	ይተጋል	ይትጋ	ትጋ	ተግቶ	መትጋት	ተጊ	persevere	p
ታገለ	ታግሏል	ይታገል	ይታገላል	ይታገል	ታገል	ታግሎ	መታገል	ታጋይ	struggle	i
ተገለባበጠ	ተገለባብጧል	ይገለባበጥ	ይገለባበጣል	ይገለባበጥ	ተገለባበጥ	ተገለባብጦ	መገለባበጥ	ተገለባባጭ	be completely inverted	p
ተገለበጠ	ተገልብጧል	ይገለበጥ	ይገለበጣል	ይገልበጥ		ተገልብጦ	መገልበጥ	ተገልባጭ	be inverted	p
ተገራ	ተገርቷል	ይገራ	ይገራል	ይገራ		ተገርቶ	መገራት	ተገሪ	be tamed	p
ተገረመ	ተገርሟል	ይገረም	ይገረማል	ይገረም		ተገርሞ	መገረም	ተገራሚ	be surprised	i
ተገረፈ	ተገርፏል	ይገረፍ	ይገረፋል	ይገረፍ	ተገረፍ	ተገርፎ	መገረፍ	ተገራፊ	be beaten	p
ታገሠ	ታግሷል	ይታገሥ	ይታገሣል	ይታገሥ	ታገሥ	ታግሦ	መታገሥ	ታጋሽ	be patient	i
ተገባ	ተገብቷል	ይገባ	ይገባል			ተገብቶ	መገባት		be proper	i
ተጋባ	ተጋብቷል	ይጋባ	ይጋባል	ይጋባ	ተጋባ	ተጋብቶ	መጋባት	ተጋቢ	be married	p
ተጐነበሰ	ተጐንብሷል	ይጐነበስ	ይጐነበሳል	ይጐንበስ	ተጐንበስ	ተጐንብሶ	መጐንበስ	ተጐንባሽ	be bent	p
ተገናኘ	ተገናኝቷል	ይገናኝ	ይገናኛል	ይገናኝ	ተገናኝ	ተገናኝቶ	መገናኘት	ተገናኝ	meet	t
ተገኘ 2nd -ኘህ	ተገኝቷል	ይገኝ	ይገኛል	ይገኝ	ተገኝ	ተገኝቶ	መገኘት መገኝ		be found	p
ተገዛ	ተገዝቷል	ይገዛ	ይገዛል	ይገዛ	ተገዛ	ተገዝቶ	መገዛት	ተገዢ	be bought	p
ተጓዘ	ተጕዟል	ይጓዝ	ይጓዛል	ይጓዝ	ተጓዝ	ተጕዞ	መጓዝ	ተጓዢ	set out	i
ተጐዳ	ተጐድቷል	ይጐዳ	ይጐዳል	ይጐዳ		ተጐድቶ	መጐዳት	ተጐጅ-ጂ	be injured	p
ተጋደለ	ተጋድሏል	ይጋደል	ይጋደላል	ይጋደል	ተጋደል	ተጋድሎ	መጋደል	ተጋዳይ	fight 	i
ተገደፈ	ተገድፏል	ይገደፍ	ይገደፋል	ይገደፍ	ተገድፍ	ተገድፎ	መገደፍ	ተገዳፊ	lean	i
ተጋጨ 2nd -ጨህ	ተጋጭቷል	ይጋጭ	ይጋጫል	ይጋጭ	ተጋጭ	ተጋጭቶ	መጋጨት	ተጋጭ	be knocked	p
ተገፋ	ተገፍቷል	ይገፋ	ይገፋል	ይገፋ	ተገፋ	ተገፍቶ	መገፋት	ተገፊ	be pushed	p
ታጣ	ታጥቷል	ይታጣ	ይታጣል			ታጥቶ	መታጣት		be lacking	i
ተጣለ	ተጥሏል	ይጣል	ይጣላል	ይጣል		ተጥሎ	መጣል	ተጣይ	be thrown	p
ተጣላ	ተጣልቷል	ይጣላ	ይጣላል	ይጣላ	ተጣላ	ተጣልቶ	መጣላት	ተጣይ	quarrel	i
