# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
ነከሰ	ይነክሳል	ነክሶ	ይንከስ	መንከስ	ነካሽ	bite	ተ			t	1
ነኮረ	ይነኩራል	ነኩሮ	ይነኩር	መነኮር	ነኳሪ	roast, toast	አ, ተ			i	1c
ነኮተ	ይነኩታል	ነኩቶ	ይነኩት	መነኮት	ነኳች	crumble	አ			i	1c
ነወጠ	ያናውጣል	አናውጦ	ያናውጥ	ማናወጥ	ነውጠኛ	disturb		ነህወጠ		i	1h
ነወጠ	ይነውጣል	ነውጦ	ይነውጥ	መነወጥ	ነውጠኛ	shake		ነወ፟ጠ		i	2
ነዘረ	ይነዝራል	ነዝሮ	ይንዘር	መንዘር	ነዛሪ	vibrate				i	1
ነዘነዘ	ይነዘንዛል	ነዝንዞ	ይነዝንዝ	መነዝነዝ	ነዝናዥ	pester	አስ			t	9
ነዛ	ይነዛል	ነዝቶ	ይንዛ	መንዛት	ነዢ	spread, disseminate	ተ	ነዛህ		t	3
ነደለ	ይነደላል	ነድሎ	ይንደል	መነደል	ነዳይ	pierce	ተ			t	1
ነደደ	ይነድዳል	ነዶ	ይንደድ	ማንደድ	ነዳጅ	burn	አ			i	1f
ነደፈ	ይነደፋል	ነድፎ	ይንደፍ	መንደፍ	ነዳፊ	sting	ተ			t	1
ነዳ	ይነዳል	ነድቶ	ይንዳ	መንዳት	ነጂ	drive	ተ	ነዳህ		t	3
ነገረ	ይነገራል	ነግሮ	ይንገር	መንገር	ነጋሪ	tell	ተ			t	1
ነገደ	ይነግዳል	ነግዶ	ይነግድ	መነገድ	ነጋዴ	trade	አስ	ነገ፟ደ		t	2
ነጋ	ይነጋል	ነግቶ	ይንጋ	መንጋት	ንጋት	dawn	አ	ነጋህ		i	3
ነጎደ	ይነጉዳል	ነጉዶ	ይንጎድ	መንጎድ	ነጓጅ	thunder, roar (i) run away 	አስ			i	1c
ነጠለ	ይነጥላል	ነጥሎ	ይነጥል	መነጠል	ነጣይ	unfold	ተ	ነጠ፟ለ		t	2
ነጠረ	ይነጠራል	ነጥሮ	ይንጠር	መንጠር	ነጣሪ	bounce; be clarified; melt (butter)	አ, ተ			i	1
ነጠቀ	ይነጥቃል	ነጥቆ	ይንጠቅ	መንጠቅ 	ነጣቂ	snatch	ተ			t	1
ነጠበ	ይነጥባል	ነጥቦ	ይንጠብ	መንጠብ	ነጣቢ	make dots, drip				i	1
ነጠፈ	ይነጥፋል	ነጥፎ	ይንጠፍ	መንጠፍ	ነጣፊ	stop giving milk	አስ			i	1
ነጣ	ይነጣል	ነጥቶ	ይንጣ	መንጣት	ነጪ	be white	አ, ተ	ነጣህ	ነጻ	i	3
ነጨ	ይነጫል	ነጭቶ	ይንጭ	መንጨት	ነጪ	peck, plump out	ተ	ነጨህ		t	5
ነጻ	ይነጻል	ነጽቶ	ይንጻ	መንጻት	ነጪ	be white	አ, ተ	ነጻህ	ነጣ		3
ነፈረ	ይነፍራል	ነፍሮ	ይንፈር	መንፈር	ነፋሪ	boil	አ			i	1
ነፈገ	ይነፍጋል	ነፍጎ	ይንፈግ	መንፈግ	ነፋጊ	be stingy	ተ			t	1
ነፋ	ይነፋል	ነፍቶ	ይንፋ	መንፋት	ነፊ	inflate, sieve	ተ	ነፋህ		t	3
ናቀ	ይንቃል	ንቆ	ይናቅ	መናቅ	ናቂ	despise, neglect	ተ	ናህቀ		t	7
ናኘ	ይናኛል	ኛኝቶ	ይኛኝ	መኛኘት	ኛኚ	disperse, distribute	ተ	ናህኘ፟ህ		i	6h
ናወዘ	ያናውዛል	አናውዞ	ያናውዝ	ማናወዝ	አናዋዥ	wander	ተ, #	ናህወዘ		i	1h
ናደ	ይንዳል	ንዶ	ይናድ	መናድ	ናጂ	break down	ተ	ናህደ		t	7
ናጠ	ይንጣል	ንጦ	ይናጥ	መናጥ	ናጪ	shake, agitate	ተ	ናህጠ		t	7
ናፈቀ	ይናፍቃል	ናፍቆ	ይናፍቅ	መናፈቅ	ናፋቂ	yearn, miss someone	አስ	ናህፈቀ		t	1h
ኖረ	ይኖራል	ኖሮ	ይኑር	መኖር	ኗሪ	exist, be, live, reside	አ			i	8w
አለመ	ያልማል	አልሞ	ይታለም	ማለም	ታላሚ	dream	ተ	ሀለ፟መ		i	2a
አለመጠ	ይለምጣል	ለምጦ	ይልመጥ	መልመጥ	ለማጭ	fool around	አ	*ለመጠ		i	1
አለቀ	ያልቃል	አልቆ	ይለቅ	ማለቅ	አላቂ	end	አስ	ሀለቀ		i	1a
አለቀሰ	ይለቀሳል	ለቅሶ	ይለቀስ	ማልቀስ	አልቃሽ	cry	አ, ተ	*ለቀሰ		i	1
አለበ	ያልባል	አልቦ	ይለብ	ማለብ	አላቢ	milk	ተ	ሀበሰ		t	1a
አለፈ	ያልፋል	አልፎ	ይለፍ	ማለፍ	አላፊ	pass	አስ	ሀለፈ		i	1a
አመለከ	ይመለካል	አምልኮ	ይመለክ	ማምለክ	አምላኪ	worship	አ, ተ	*መለከ		t	1
አመመ	ያማል	አአሞ	ይመም	ማመም	አማሚ	be sick	ተ	ሀመመ		opt. imp.	1af
አመረተ	ያመርታል	አምርቶ	ያምርት	ማምረት	ምርት	be cleaned and threshed		*መረተ		t	1
አመሰኳ	ያመሰኳል	አመሷክቶ	ያመስኳ	ማመስኳት	አመስኩ	ruminate	አ	*መሰኳህ		i	10
አመቀ	ይታመቃል	አምቆ	ይታመቅ	ማመቅ	ታማቂ	squeeze, compress	ተ	ሀመ፟ቀ		t	2a
አመነ	ያምናል	አምኖ	ይመን	ማመን	አማኝ	believe	ተ	ሀመነ		t	1a
አመነታ	ያመነታል	አመንትቶ	ያመንታ	ማመንታት	አመንቺ	doubt, hesitate	አ	*መነታህ		i	10
አመጠ	ያምጣል	አምጦ	ያምጥ	ማመጥ	አማጢ	rebel		ሀመ፟ጠ	አመ፟ፀ		2a
አመፀ	ያምፃል	አምፆ	ያምፅ	ማመፅ	አማፂ	rebel	አስ	ሀመ፟ፀ	አመ፟ጠ	i	2a
አማ	ያማል	አአምቶ	ይማ	ማማት	አሚ	slander, gossip	ተ	ሀማህ		t	3a
አማለለ	ይማልላል	ማልሎ	ይማልል	መማለል	አማላይ	implore, beg		*ማለለ			1bf
አማረ	ያምራል	አምሮ	ይመር	ማማር	አማሪ	be beautiful 	አስ	*ሀማረ		i	1a
አሞኘ	ይሞኛል	ሞኞ	ይሞኝ	መሞኘት	ሞኚት	fool, deceive 	አ, ተ	*ሞኘ፟ህ		i	6b
አሟለጨ	ያሟልጫል	አሟልጮ	ያሟልጭ	ማሟለጭ	አሟላጭ	escape	አ, #	*ሟህለጨ	ሟለጠ	i	1h
አረመ	ያርማል	አርሞ	ያርም	ማረም	አራሚ	correct, weed	ተ	ሀረ፟መ		t	2a
አረመደ	ያረምዳል	አርምዶ	ያርምድ	ማርመድ	አርማጅ	dip (powder)		*ረመደ		t	1
አረረ	ይራል	አሮ	ይረር	ማረር	አራሪ	be scorched	አስ	ሀረረ		i	1af
አረሰ	ያርሳል	አርሶ	ይረስ	ማረስ	አራሽ	plow, till	ተ	ሀረሰ		t	1a
አረቀ	ያርቃል	አርቆ	ያርቅ	ማረቅ	አራቂ	straighten	አስ	ሀረ፟ቀ		t	2a
አረበደ	ያረብዳል	አርብዶ	ያርብድ	ማርበድ	አርባጅ	be disturbed	አስ	ሀረበደ		imp.	9a
አረካ	ይረካል	ረክቶ	ይርካ	መርካት	ረኪ	quench thirst satisfy	አ	*ረካህ		i	3
