# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
አየለ	ያይላል	አይሎ	ያይል	ማየል	አያል	be powerful		ሀየ፟ለ		i	2a
አየደ						define	ተ	ሀየ፟ደ		t	2a
አደለ	ይታደላል	ታድሎ	ይታደል	መታደል		distribute	ተ	ሀደ፟ለ		t	2a
አደላ	ይደላል	ደልቶ	ይድላ	መድላት	ደይ	be comfortable		*ደላህ		imp.	3
አደመ	ይታደማል	ታድሞ	ይታደም	መታደም	ታዳሚ	plot, conspire	አስ	ሀደ፟መ		i	2a
አደረ	ያድራል	አድሮ	ይደር	ማደር	አዳሪ	pass the night	አስ	ሀደረ		i	1a
አደረገ	ያደርጋል	አድርጎ	ያድርግ	ማድረግ	አድራጊ	do, make	አ, ተ	*ደረገ		t	1
አደረገ	ያረጋል	አርጎ	ያርግ	ማረግ	አድራጊ	do, make	አ	*ረʸገ	*ደረገ	t, (cf *ደረገ)	8y
አደሰ	ይታደሳል	ታድሶ	ይታደስ	መታደስ	ታዳሽ	renew	ተ	ሀደ፟ሰ		t	2a
አደበ	ያድባል	አድቦ	ያድብ	ማደብ	አዳቢ	behave well	አስ	ሀደበ		i	1a
አደባ	ያደባል	አድብቶ	ያድባ	ማድባት	አድቢ	ambush	አ	*ደባህ		i	3
አደነ	ይታደናል	ታድኖ	ይታደን	መታደን	ታዳኝ	hunt	ተ	ሀደ፟ነ		t	2a
አደወረ	ይደውራል	ደውሮ	ይደውር	መደወር	ደዋሪ	wind (on spool)		*ደወረ		t	1
አደገ	ያድጋል	አድጎ	ይደግ	ማደግ	አዳጊ	grow	አስ	ሀደገ		i	1a
አደገደገ	ያደገድጋል	አደግድጎ	ያደግድግ	ማደግደግ	ደግዳጊ	drape shemma	አ	*ደገደገ		i	9
አደፈ	ያድፋል	አድፎ	ይደፍ	ማደፍ	አዳፊ	get dirty	አስ	ሀደፈ		i	1a
አደፈጠ	ያደፍጣል	አድፍጦ	ያድፍጥ	ማድፈጥ	ደፋጭ	ambush	አ	*ደፈጠ		i	1
አዳመጠ	ያደምጣል	አድምጦ	ያድምጥ	ማድመጥ	አድማጭ	listen	አ, ተ	*ደመጠ		t, denom.	1
አዳገተ	ይዳግታል	ዳግቶ	ይዳግት	መዳገት	ዳጋች	climb a slope	አ, #	*ዳህገተ		i	1h
አጀበ	ይታጀባል	አጅቦ	ይታጀብ	መታጀብ	አጃቢ	escort, accompany	ተ	ሀጀ፟በ		t	2a
አገለገለ	ያገለግላል	አገልግሎ	ያገልግል	ማገልገል	አገልጋይ	serve	አ, ተ	*ገለገለ		t	9
አገመ	ይታገማል	ታግሞ	ይታገም	መታገም	ታጋሚ	1. bind, 2. cup (med.)	ተ	ሀገመ		t	1a
አገረ						impede, stop	ተ	ሀገ፟ረ		t	2a
አገረሸ	ይገረሻል	ገርሽቶ	ያገርሽ	መገርሸት	አገርሽ	relapse, regurgitate	አ	*ገረሸህ		i	11
አገሳ	ያገሳል	አግሰቶ	ያግሳ	ማግሳት	አግሺ	burp, roar	አ	*ገሳህ		i	3
አገኘ	ይገኛል	አግኝቶ	ያግኝ	መገኘት	አግኚ	find, get	ተ	*ገኘህ			5
አገዘ	ይታገዛል	አግዞ	ይታገዝ	መታገዝ	ታጋዢ	assist, help	አስ	ሀገ፟ዘ		t	2a
አገደ	ይታገዳል	ታግዶ	ይታገድ	መታገድ	ታጋጂ	stop, bar, ban	ተ	ሀገ፟ደ		t	2a
አገገ	ያጋል	አግጎ	ያግግ	ማገግ	አጋጊ	decree	ተ	ሀገገ		t	1af
አገገመ	ያገግማል	አገግሞ	ያገግም	ማገገም	አገጋሚ	be convalescent	አ, #	*ገገ፟መ		i	2
አጉላላ	6	6	6	6	6	mistreat		*ጎላህ		dup	3b
አጋደለ	ያጋድላል	አጋድሎ	ያጋድል	ማጋደል	ጋዳይ	incline	አ, #	*ጋህደለ		i	1h
አጋደደ	ይጋድዳል	ጋዶ	ይጋድድ	መጋደድ	ገዳጅ	meander		*ጋደደ			1bf
አጋፈጠ	ያጋፍጣል	አጋፍጦ	ያጋፍጥ	ማጋፈጥ	አጋፋጭ	hurl oneself at enemy	ተ, #	*ጋህፈጠ		i	1h
አጎረ	ያጉራል	አጉሮ	ያጉር	ማጎር	አጓሪ	huddle, confine	ተ	አጎ፟ረ		t	2ac
አጓራ	ያጓራል	አጓርቶ	ያጓራ	ማጓራት	አጓሪ	bellow (ox)	አ	*ጓራ፟ህ		i	4b
አጠላ	ያጠላል	አጥልቶ	ያጥላ	ማጥላት	ጥላ	shade	አ	*ጠላህ		i	3
አጠረ	ያጥራል	አጥሮ	ይጠር	ማጠር	አጣሪ	make fence, be short	ተ, አስ	ሀጠረ		t	1a
አጠቃ	ያጠቃል	አጥቅቶ	ያጥቃ	ማጥቃት	አጥቂ	oppress, assault	ተ	*ጠቃህ		t	3
አጠበ	ያጥባል	አጥቦ	ይጠብ	ማጠብ	አጣቢ	wash	ተ	ሀጠበ		t	1a
አጠነ	ያጥናል	አጥኖ	ይጠን	ማጠን	አጣኝ	burn incense	ተ	ሀጠነ		t	1a
አጠፈ	ያጥፋል	አጥፎ	ይጠፍ	ማጠፍ	አጣፊ	fold	ተ	ሀጠፈ		t	1a
አጣ	ያጣል	አአጥቶ	ይጣ	ማጣት	አጪ	miss, lack	ተ	ሀጣህ		t	3a
አጣባ	ይጣባል	ተጣብቶ	ይጣባ	መጣባት	ጠቢ	be revealed (tape worm)	አ	*ጠባህ			3
አጤዘ	ይጤዛል	ጤዞ	ይጤዝ	መጤዝ	ጢያዥ	condense vapor		*ጤʸዘ			8y
አጨ	ያጫል	አጭቶ	ይጭ	ማጨት	አጪ	affiance	ተ	ሀጨህ		t	5a
አጨቀ	ያጭቃል	አጭቆ	ያጭቅ	ማጨቅ	አጫቂ	stuff, cram	ተ	ሀጨ፟ቀ		t	2a
አጨበጨበ	ያጨበጭባል	አጨብጭቦ	ያጨብጭብ	ማጨብጨብ	አጨብጫቢ	clap, applaud	አ	*ጨበጨበ		i	9
አጨደ	ያጭዳል	አጭዶ	ይጨድ	ማጨድ	አጫጅ	reap	ተ	ሀጨደ		t	1a
አጸባረቀ	ይንጸባረቃል	አንጸባርቆ	ይንጸባረቅ	መንጸባረቅ	አንጸባራቂ	glitter, shine	አን	*ጸባህረቀ			9i
አፈረ	ያፍራል	አፍሮ	ይፈር	ማፈር	አፋር	be shy	ተ	ሀፈረ		t	1a
አፈራ	ያፈራል	አፍርቶ	ያፍራ	ማፍራት	አፍሪ	fructify	አ	*ፈራህ			3
አፈራረቀ	ያፋርቃል	አፋርቆ	ያፋርቅ	ማፋረቅ	አፋራቂ	alternate		*ፈረቀ			1
አፈሰ	ያፍሳል	አፍሶ	ይፈስ	ማፈስ	አፋሽ	gather up	ተ	ሀፈሰ		t	1a
አፈሰ	ይታፈሳል	ታፍሶ	ይታፈስ	መታፈስ	ታፋሽ	take a fistful	ተ	ሀፈ፟ሰ		t	2a
አፈቀረ	ያፈቅራል	አፍቅሮ	ያፍቅር	ማፍቀር	አፍቃሪ	love	አ, ተ	*ፈቀረ		t	1
አፈተለከ	ያፈተልካል	አፈትልኮ	ያፈትልክ	ማፈትለክ	አፈትላኪ	dash off, scoot away	አ	*ፈተለከ		i	9
አፈነ	ይታፈናል	ታፍኖ	ይታፈን	መታፈን	ታፋኝ	choke, suffocate; take a fistful with both hands	ተ	ሀፈ፟ነ		t	2a
አፈገ	ይታፈጋል	ታፍጎ	ይታፈግ	መታፈግ	ታፋጊ	cramp	ተ	ሀፈ፟ገ		t	2a
አፈገፈገ	ያፈገፍጋል	አፈግፍጎ	ያፈግፍግ	ማፈግፈግ	ፈግፋጊ	retreat	አ	*ፈገፈገ		i	9
አፌዘ	ያፌዛል	አፊዞ	ያፊዝ	ማፌዝ	አፊያዥ	jest, joke	አ	*ፌʸዘ		i	8y
አፎጨ	ያፏጫል	አፏጭቶ	ያፏጭ	ማፏጨት	አፏጪ	whistle, whet	አ 	*ፎህጨ፟ህ		i	6h
አፏኘ	ይፏኛል	ፏኝቶ	ይፏኝ	መፏኘት	ፏኚ	hiss	አስ	*ፏኘ፟ህ		i	6b
ከለለ	ይከልላል	ከልሎ	ይከልል	መከለል	ከላይ	stake out, delineate	ተ	ከለ፟ለ		t	2f
ከለሰ	ይከልሳል	ከልሶ	ይከልስ	መከለስ	ከላሽ	dilute, review	ተ	ከለ፟ሰ		t	2
ከለከለ	ይከለክላል	ከልክሎ	ይከልክል	መከልከል	ከልካይ	forbid, prevent	ተ			t	9
ከላ	ይከላል	ከልቶ	ይክላ	መክላት	ኬለኛ	hinder, prevent	ተ	ከላህ		t	3
ከመረ	ይከምራል	ከምሮ	ይከምር	መከመር	ከማሪ	pile	ተ	ከመ፟ረ		t	2
ከረመ	ይከርማል	ከርሞ	ይክረም	መክረም	ከራሚ	spend winter	አ			i	1
ከረረ	ይከርራል	ከሮ	ይክረር	መክረር	ከራራ	be taut, twist	አ			i	1f
ከረከመ	ይከረክማል	ከርክሞ	ይከርክም	መከርከም	ከርካሚ	prune fruit trees	ተ			t	9
ከረከረ	ይከረክራል	ከርክሮ	ይከርክር	መከርከር	ከርካሪ	be acrid	አስ			t	9
ከረፋ	ይከረፋል	ከርፍቶ	ይከርፋ	መከርፋት	ክርፋታም	reek, stink	አ	ከረፋህ		i	10
ከሰለ	ይከስላል	ከስሎ	ይክሰል	መክሰል	ከሳይ	become charcoal	አ			i	1
ከሰረ	ይከስራል	ከስሮ	ይክሰር	መክሰር	ከሳሪ	go bankrupt	አ			i	1
ከሰሰ	ይከስሳል	ከሶ	ይክሰስ	መክሰስ	ከሳሽ	accuse	ተ			t	1f
ከሰከሰ	ይከሰክሳል	ከስክሶ	ይከስክስ	መከስከስ	ከስካሽ	break up clouds	ተ			t	9
ከሳ	ይከሳል	ከስቶ	ይክሳ	መክሳት	ከሺ	be thin, lose weight	አ	ከሳህ		i	3
ከሸፈ	ይከሽፋል	ከሽፎ	ይክሸፍ	መክሸፍ	ከሻፊ	misfire	አ			i	1
ከበረ	ይከብራል	ከብሮ	ይክበር	መክበር	ከባሪ	be honored	አ, ተ			i	1
ከበበ	ይከብባል	ከቦ	ይክበብ	መክበብ	ከባባ	encircle	ተ			t	1f
ከበደ	ይከብዳል	ከብዶ	ይክበድ	መክበድ	ከባጅ	be heavy	አ			opt. imp.	1
ከተመ	ይከትማል	ከትሞ	ይከትም	መከተም	ከታሚ	found a city	ተ	ከተ፟መ		i	2
ከተበ	ይከትባል	ከትቦ	ይከትብ	መክተብ	ከታቢ	vaccinate	ተ			t	1
ከተተ	ይከትታል	ከቶ	ይክተት	መክተት	ከታች	keep, save	ተ			t	1f
ከተከተ	ይከተክታል	ከትክቶ	ይከትክት	መከትከት	ከትካች	mince, cut finely	ተ			t	9
ከተፈ	ይከትፋል	ከትፎ	ይክተፍ	መክተፍ	ከታፊ	mince	ተ			t	1
ከነበ	ይከናነባል	ተከናንቦ	ይከናነብ	መከናነብ	ተከናናቢ	cover with cloth	ተ	ከነ፟በ		t	2
ከነከነ	ይከነክናል	ከንክኖ	ይከንክን	መከንከን	ከንካኝ	cause doubts				imp.	9
ከነወነ	ይከነናወናል	ተከናውኖ	ይከናወን	መከናወን	ተከናዋኝ	prosper				i	9
ከነዳ	ይከነዳል	ከንድቶ	ይከንዳ	መከንዳት	ከንጂ	measure with arm	አስ	ከነዳህ		t	10
ከካ	ይከካል	ከክቶ	ይከካ	መከካት	ከኪ	split peas; hit on head	ተ	ከካ፟ህ		t	4
ከደነ	ይከድናል	ከድኖ	ይክደን	መክደን	ከዳኝ	cover	ተ			t	1
ከዳ	ይከዳል	ከድቶ	ይክዳ	መክዳት	ከጂ	desert, betray, run away	ተ	ከዳህ		t	3
ከጀለ	ይከጅላል	ከጅሎ	ይከጅል	መከጀል	ከጃይ	covet	አስ	ከጀ፟ለ		i	2
ከፈለ	ይከፍላል	ከፋይ	ይክፈል	መክፈል	ከፋይ	pay; divide	ተ			t	1
ከፈተ	ይከፍታል	ከፍቶ	ይክፈት	መክፈት	ከፋች	open	ተ			t	1
ከፈነ	ይከፍናል	ከፍኖ	ይከፍን	መከፈን	ከፋኝ	wrap corpse	ተ	ከፈ፟ነ		t	2
ከፈከፈ	ይከፈክፋል	ከፍክፎ	ይከፍክፍ	መከፍከፍ	ከፍካፊ	trim thatch	ተ			t	9
ከፈፈ	ይከፍፋል	ከፍፎ	ይክፈፍ	መክፈፍ	ከፋፊ	edge, trim	ተ	ከፈ፟ፈ		t	2f
ከፋ	ይከፋል	ከፍቶ	ይክፋ	መክፋት	ክፉ	be bad	ተ	ከፋህ		i	3
ካሰ	ይክሳል	ክሶ	ይካስ	መካስ	ካሽ	pay fine	ተ	ካህሰ		t	7
ካበ	ይክባል	ክቦ	ይካብ	መካብ	ካቢ	build with stone	ተ	ካህበ		t	7
ካደ	ይክዳል	ክዶ	ይካድ	መካድ	ካጂ	deny, renounce	አስ	ካህደ		t	7
ኮላሸ	ይኮላሻል	ተኮላሽቶ	ይኮላሽ	መኮላሸት	ኩልሽ	castrate	ተ	*ኮላህሸህ		i	11bi
ኮረኮመ	ይኮርኩማል	ኮርኩሞ	ይኮርኩም	መኮርኮም	ኮርኳሚ	rap on head	ተ			t	9bd
ኮረኮረ	ይኮረኩራል	ኮርኩሮ	ይኮርኩር	መኮርኮር	ኮርኳሚ	spur	ተ			t	9bd
ኮረፈ	ይኮርፋል	ኮርፎ	ይኮርፍ	መኮረፍ	ኳራፊ	foam		ኮህረፈ			1h
ኮራ	ይኮራል	ኮርቶ	ይኩራ	መኩራት	ኩራተኛ	be proud	አ	ኮራህ		i	3b
ኮሰሰ	ይኮስሳል	ኮስሶ	ይኮስስ	መኮሰስ	ኮሳሳ	be thin, emaciated	አ	ኮሰ፟ሰ		i	2bf
ኮሰኮሰ	ይኮሰኩሳል	ኮስኩሶ	ይኮስኩስ	መኮስኮስ	ኮስኳሽ	prickle	ተ			t	9bd
ኮሳተረ	ይኮሳተራል	ተኮሳትሮ	ይኮሳተር	መኮሳተር	ኮስታራ	frown, wrinkle					9b
ኮበለለ	ይኮበልላል	ኮብልሎ	ይኮብልል	መኮብለል	ኮብላይ	elope, run away	አስ			i	9b
ኮተኮተ	ይኮተኩታል	ኮትኩቶ	ይኮትኩት	መኮትኮት	ኮትኳች	hoe, cultivate	ተ			i	9bd
ኮነነ	ይኮንናል	ኮንኖ	ይኮንን	መኮነን	ኮናኝ	put in hell	ተ	ኮነ፟ነ		t	2bf
ኮፈኮፈ	ይኮፈኩፋል	አኮፍክፎ	ያኮፍኩፍ	ማኮፍኮፍ	አኮፍኳፊ	blister, swell	አ			i	9bd
ኳለ	ይኩላል	ኩሎ	ይኳል	መኳል	ኳይ	put khol on eyes	ተ			t	8w
ኳተ	5	5	5	5	5	dig	ተ	ኳህተ		t	7
ኳተተ	ይኳትታል	ኳትቶ	ይኳትት	መኳተት	ኳታኝ	be a vagrant		ኳህተተ		i	1hf
ወለቀ	ይወልቃል	ወልቆ	ይውለቅ	መውለቅ	ወላቂ	get dislocated	አ			i	1
ወለወለ	ይወለውላል	ወልውሎ	ይወልውል	መወልወል	ወልዋይ	wipe	ተ			t	9
ወለደ	ይወልዳል	ወልዶ	ይውለድ	መውለድ	ወላጅ	bear	ተ			t	1
ወላወለ	ይወላውላል	ወላውሎ	ይወላውል	መወላወል	ወላዋይ	hesitate, be undecided	አስ	ወላህወለ		i	9i
ወረረ	ይወርራል	ወርሮ	ይውረር	መውረር	ወራሪ	swarm, invade	ተ			t	1f
ወረሰ	ይወርሳል	ወርሶ	ይውረስ	መውረስ	ወራሽ	inherit	አ, ተ			t	1
ወረወረ	ይወረውራል	ወርውሮ	ይወርውር	መወርወር	ወርዋሪ	throw	ተ			t	9
ወረደ	ይወርዳል	ወርዶ	ይውረድ	መውረድ	ወራጅ	go down	አ			i	1
ወሰበ	ይወስባል	ወስቦ	ይወስብ	መወሰብ	አወሳሳቢ	tangle	ተ			t	1
ወሰነ	ይወስናል	ወስኖ	ይወስን	መወሰን	ወሳኝ	limit, decide	ተ	ወሰ፟ነ		t	2
ወሰወሰ	ይወሰውሳል	ወስውሶ	ይወስውስ	መወስወስ	ወስዋሽ	baste (sewing)	ተ			t	9
ወሰደ	ይወስዳል	ወስዶ	ይውሰድ	መውሰድ	ወሳጅ	take	ተ			t	1
ወሸመ	ይወሽማል	ወሽሞ	ይወሽም	መወሸም	ወሻሚ	have a mistress	አስ	ወሸ፟መ		i	2
ወቀረ	ይወቀራል	አውቃሪ	ያወቅራል	ማውቀሪያ	ውቅር	incise	ተ			t	1
ወቀሰ	ይወቅሳል	ወቅሶ	ይውቀስ	መውቀስ	ወቃሽ	reprimand, reproach	ተ			t	1
ወቀጠ	ይወቅጣል	ወቅጦ	ይውቀጥ	መውቀጥ	ወቃጭ	crush	ተ			t	1
ወቃ	ይወቃል	ወቅቶ	ይውቃ	መውቃት	ወቂ	thresh	ተ	ወቃህ		t	3
ወበቀ	ይወብቃል	ወብቆ	ይወብቅ	መወበቅ	ወባቂ	be sticky, humid	አስ	ወበ፟ቀ		imp.	2
ወተወተ	ይወተውታል	ወትውቶ	ይወትውት	መወትወት	ወትዋች	importune	ተ			t	9
ወተፈ	ይወትፋል	ወትፎ	ይወትፍ	መወተፍ	ወታፊ	stuff, plug up	ተ	ወተ፟ፈ		t	2
ወነጀለ	ይወነጅላል	ወንጅሎ	ይወንጅል	መወንጀል	ወንጃይ	charge with crime	ተ			t	9
ወከለ	ይወክላል	ወክሎ	ይወክል	መወከል	ወኪል	appoint a representative	ተ	ወከ፟ለ		t	2
ወዘወዘ	ይወዘውዛል	ወዝውዞ	ይወዝውዝ	መወዝወዝ	ወዝዋዥ	shake	ተ			t	9
ወዘፈ	ይወዝፋል	ወዝፎ	ይወዝፍ	መወዘፍ	ወዛፊ	put off	ተ	ወዘ፟ፈ		t	2
ወዛ	ይወዛል	ወዝቶ	ይውዛ	መውዛት	ወዢ	have oily skin	አ	ወዛህ		i	3
ወደመ	ይወድማል	ወድሞ	ይውደም	መውደም	ወዳሚ	be demolished	አ			i	1
ወደረ	ይወድራል	ወድሮ	ይወድር	መወደር	ወዳሪ	hobble, beat against	ተ	ወደ፟ረ		t	2
ወደሰ	ይወድሳል	ወድሶ	ይወድስ	መወደስ	ወዳሽ	praise, glorify	ተ	ወደ፟ሰ		i	2
ወደቀ	ይወድቃል	ወድቆ	ይውደቅ	መውደቅ	ወዳቂ	fall	አስ			i	1
ወደደ	ይወድዳል	ወድዶ	ይውደድ	መውደድ	ወዳጅ	love	ተ			t	1f
ወገረ	ይወግራል	ወግሮ	ይውገር	መውገር	ወጋሪ	knock unconscious	ተ			t	1
ወገደ	ይወገዳል	ተወግዶ	ይወገድ	መወገድ	ወጋጅ	excommunicate, withdraw	አ, ተ	ወገ፟ደ		i	2
ወጋ	ይወጋል	ወግቶ	ይውጋ	መውጋት	ወጊ	pierce, prick	ተ	ወጋህ		t	3
ወጠረ	ይወጥራል	ወጥሮ	ይወጥር	መወጠር	ወጣሪ	stretch	ተ	ወጠ፟ረ		t	2
ወጠነ	ይወጥናል	ወጥኖ	ይወጥን	መወጠን	ወጣኝ	begin, commence	ተ	ወጠ፟ነ		t	2
ወጣ	ይወጣል	ወጥቶ	ይውጣ	መውጣት	ወጪ	go out	አ	ወጣህ		i	3
ወፈረ	ይወፍራል	ወፍሮ	ይወፍር	መወፈር	ወፋሪ	be thick	አ	ወፈ፟ረ		t, i	2
ዋለ	ይውላል	ውሎ	ይዋል	መዋል	ዋይ	spend day	አ	ዋህለ		i	7
ዋለለ	ይዋልላል	ዋልሎ	ይዋልል	መዋለል	ወላዋይ	roll, vacillate	አ	ዋህለለ		i	1hf
ዋሸ	ይዋሻል	ዋሽቶ	ይዋሽ	መዋሸት	ዋሺ	tell lie	አ, ተ	ዋሸህ		i	3
ዋሸ	ይዋሻል	ዋሽቶ	ይዋሽ	መዋሸት	ዋሺ	tell lie	አስ	ዋህሸ፟ህ		i	6h
ዋኘ	ይዋኛል	ዋኝቶ	ይዋኝ	መዋኘት	ዋኚ	swim	አስ	ዋህኘ፟ህ		i	6h
ዋዛ	ይዋዛል	ዋዝቶ	ይዋዛ	መዋዛት	ዋዘኛ	joke, jest		ዋህዛህ		i	3h
ዋጠ	ይውጣል	ውጦ	ይዋጥ	መዋጥ	ዋጪ	swallow	ተ	ዋህጠ		t	7
ዘለለ	ይዘልላል	ዘልሎ	ይዝለል	መዝለል	ዘላይ	leap, jump	አስ			t	1f
ዘለቀ	ይዘልቃል	ዘልቆ	ይዝለቅ	መዝለቅ	ዘላቂ	pass out of sight	አ			i	1
ዘለዘለ	ይዘለዝላል	ዘልዝሎ	ይዘልዝል	መዘልዘል	ዘልዛይ	cut meat into strips	ተ			t	9
ዘለፈ	ይዘልፋል	ዘልፎ	ይዝለፍ	መዝለፍ	ዘላፊ	blame, rebuke	ተ			t	1
ዘመመ	ይዘምማል	ዘምሞ	ይዝመም	መዝመም	ዘማሚ	lean, bend, sag	አ			i	1f
ዘመረ	ይዘምራል	ዘምሮ	ይዘምር	መዘመር	ዘማሪ	chant		ዘመ፟ረ		i, cong., objs.	2
ዘመተ	ይዘምታል	ዘምቶ	ይዝመት	መዝመት	ዘማች	go on camping	አ			i	1
ዘማ	ይዘማል	ዘሙቶ	ይዘሙት	መዘሞት	ዘማዊ	fornicate, commit adultery	አ	ዘማህ		i	3
ዘረረ	ይዘረራል	ዘርሮ	ይዘርር	መዘረር	ዘራሪ	topple, stretch out	ተ			t	1f
ዘረዘረ	ይዘረዝራል	ዘርዝሮ	ይዘርዝር	መዘርዘር	ዘርዛሪ	list, describe in details	ተ			t	9
ዘረጋ	ይዘረጋል	ዘርግቶ	ይዘርጋ	መዘርጋት	ዘርጊ	extend, stretch	ተ	ዘረጋህ		t	10
ዘረፈ	ይዘርፋል	ዘርፎ	ይዝረፍ	መዝረፍ	ዘራፊ	plunder	ተ			t	1
ዘራ	ይዘራል	ዘርቶ	ይዝራ	መዝራት	ዘሪ	sow	ተ	ዘራህ		t	3
ዘቀዘቀ	ይዘቀዝቃል	ዘቅዝቆ	ይዘቅዝቅ	መዘቅዘቅ	ዘቅዛቂ	lean, incline	አ, ተ			t	9
ዘበጠ	(none)	(none)	(none)	(none)	(none)	dip, slope downward	አ			i	1
ዘባረቀ	ይዘባርቃል	ዘባርቆ	ይዘባርቅ	መዘባረቅ	ዘባራቂ	talk nonsense, ramble on	ተ	ዘባህረቀ		i	9i
ዘነመ	ይዘንማል	ዘንሞ	ይዘንም	መዘነም	ዘናሚ	rain	አ		ዘነበ	i	1
ዘነበ	ይዘንባል	ዘንቦ	ይዝነብ	መዝነብ	ዘናቢ	rain	አ		ዘነመ	i	1
ዘነበለ	ያዘነብላል	አዘንብሎ	ያዘንብል	ማዘንበል	ዘንባይ	tilt	አ			i	9
ዘነጋ	ይዘነጋል	ዘንግቶ	ይዘንጋ	መዘንጋት	ዝንጉ	forget	አ	ዘነጋህ		t	10
ዘከረ	ይዘክራል	ዘክሮ	ይዘክር	መዘከር	ዘካሪ	commemorate	ተ	ዘከ፟ረ		t	2
ዘወረ	ይዘውራል	ዘውሮ	ይዘውር	መዘወር	ዘዋሪ	turn round	አስ	ዘወ፟ረ		t	2
ዘገመ	ያዘግማል	አዝግሞ	ያዝግም	ማዝገም	አዝጋሚ	plod, trudge	አ			i	1
ዘገነ	ይዘግናል	ዘግኖ	ይዝገን	መዝገን	ዘጋኝ	scoop up	ተ			t	1
ዘገየ	ይዘገያል	ዘግይቶ	ይዘገይ	መዘግየት	የሚዘገይ	be late	አ	ዘገየህ		i	11
ዘጋ	ይዘጋል	ዘግቶ	ይዝጋ	መዝጋት	ዘጊ	shut	ተ	ዘጋህ		t	3
ዘፈቀ	ይዘፍቃል	ዘፍቆ	ይዝፈቅ	መዝፈቅ	ዘፋቂ	immerse	ተ			t	1
ዘፈነ	ይዘፍናል	ዘፍኖ	ይዝፈን	መዝፈን	ዘፋኝ	sing	ተ			i, cog, obj. only	1
ዘፈዘፈ	ይዘፈዝፋል	ዘፍዝፎ	ይዘፍዝፍ	መዘፍዘፍ	ዘፍዛፊ	infuse, steep	ተ			t	9
ዛለ	ይዝላል	ዝሎ	ይዛል	መዛል	ዛይ	be exhausted	አ	ዛህለ		i	7
ዛቀ	ይዝቃል	ዝቆ	ይዛቅ	መዛቅ	ዛቂ	ladle	ተ	ዛህቀ		t	7
ዛበረ	ይዛብራል	ዛብሮ	ይዛብር	መዘበር	ዘባሪ	wander about	አስ	ዛህበረ		i	1h
ዛባ	ይዛባል	አዛብቶ	ይዛባ	መዛባት	አዝቢ	warp	አ	ዛባህ		i	3
ዛተ	ይዝታል	ዝቶ	ይዛት	መዛት	ዛቺ	threaten (words)	አስ	ዛህህተ		t	7
ዛዛ	8	8	8	8	ዛዛቴ	be exhausted		ዛህዛህ			3h
ዛገ	ይዝጋል	ዝጎ	ይዛግ	መዛግ	ዛጊ	rust	አ	ዛህገ		i	7
ዜገ	ይዜጋል	ዜጎ	ይዜግ	መዜግ	ዜጋ	be a subject		ዜʸገ		i	8y
ዞረ	ይዞራል	ዞሮ	ይዙር	መዞር	ዘዋሪ	turn, revolve	አ			i	8w
ዠመረ	ይዠምራል	ዠምሮ	ይዠምር	መዠመር	ዠማሪ	begin		ዠመ፟ረ	ጀመ፟ረ		2
ዣዠ	ይዣዣል	ዣዥቶ	ይዣዥ	መዣዠት	ዣዢ	become senile		ዣህዠ፟ህ	ጃህጀ፟ህ		6h
ያዘ	ይይዛል	ይዞ	ይያዝ	መያዝ	ያዢ	seize, take	ተ	ያህዘ		t	7
ደለለ	ይደልላል	ደልሎ	ይደልል	መደለል	ደላላ	cajole, entice	ተ	ደለ፟ለ		t	2f
ደለበ	ይደልባል	ደልቦ	ይደልብ	መደለብ	ደላቢ	get fat (ox)	አ			i	1
ደለደለ	ይደለድላል	ደልድሎ	ይደልድል	መደልደል	ደልዳይ	level	ተ			t	9
ደለጠ	ያዳልጣል	አዳልጦ	ያዳልጥ	ማዳለጥ	አዳላጭ	slip, slide	አ, #	ደህለጠ		i	1h
ደላ	ያዳላል	አዳልቶ	ያዳላ	ማዳላት	አዳይ	favour, be partial	አ	ደላህ		t	3
ደመረ	ይደምራል	ደምሮ	ይደምር	መደመር	ደማሪ	add up	ተ	ደመ፟ረ		t	2
ደመሰሰ	ይደመስሳል	ደምስሶ	ይደምስስ	መደምሰስ	ደምሳሽ	destroy	ተ			t	9
ደመቀ	ይደምቃል	ደምቆ	ይድመቅ	መድመቅ	ደማቂ	be lively	አ			i	1
ደመነ	ይደምናል	ደምኖ	ይደምን	መደመን	ደመና	be cloudy	አስ	ደመ፟ነ		i	2
ደመደመ	ይደመድማል	ደምድሞ	ይደምድም	መደምደም	ደምዳሚ	end, finish	ተ			t	9
ደማ	ይደማል	ደምቶ	ይድማ	መድማት	ደሚ	bleed	አ	ደማህ		i	3
ደረሰ	ይደርሳል	ደርሶ	ይድረስ	መድረስ	ደራሺ	arrive	አ			i	1
ደረቀ	ይደርቃል	ደርቆ	ይድረቅ	መድረቅ	ደራቂ	be dry	አ			i	1
ደረበ	ይደርባል	ደርቦ	ይደርብ	መደረብ	ደራቢ	cover, double up	ተ	ደረ፟በ		t	2
ደረደረ	ይደረድራል	ደርድሮ	ይደርድር	መደርደር	ደርዳሪ	play a በገና, put in order	ተ			t	9
ደረጀ	ይደረጃል	ደርጅቶ	ይደርጅ	መደርጀት	ድርጁ	develop, strive	አ	ደረጀህ		i	11
ደረገመ	ይደረግማል	ደርግሞ	ይደርግም	መደርገም	ደርጋሚ	shut, slam (door)	ተ			t	9
