Word	Part of Speech	Word Forms
+	n.	med_r
ed_r (2)	v.	ed_r 
+	v.	s1ted_r
ed.	n.	ed.
ed.d	n.	ed.d
+	p.	aed.d
+	n.p.	ed.wd
ed.w	n.	med.w
efr	v.	efr
+	n.	efr
+	?	+
efs2	v.	haefs2
egd	n.	egd
egl	n.	eglt
eglm	n.	egmt
+	p.	eglm
egr	n.	egr
ehd	v.	ehd
+	v.	ehd
+	v.	ethd
+	n.	ehd
+	n.	ehdt-n
+	n.	mehd
ehr	n.p.	ehrw
+	n.p.	mehrt
+	?	+
ekr	v.	ekr
+	v.	ekr
+	v.	etkr
+	v.	etkr
eks3	n.	teks3
elb	n.s./coll.	elb,
ell	?v.	helln
+	n.	ell
+	n.	el-n
elm (1)	v.	elm
+	v.	telm
+	+	+
+	v.	s1telm
+	n.	elm
elm (2)	n	elm
eln	n.p.	elny
els.	n.	mels.
+	n.	mels.
elw/bly	v.f.	elyt
+	v.imp.	yely
+	+	+
+	v.	hely
+	v./n.	tely
+	v.	etl
+	n.	ely 
+	n.	elw
+	n.	tely
+	+	+
+	n.	mel 
+	a.	ely
+	+	+
+	prep.	ely, b-ely,el, b-el-, eln, b-elw-
+	+	+
+	conj.	eln/d_-, eln/d_t
em	prep.	em, b-em, emn, b-emn
+	+	+
emd	n.	emd
+	+	+
+	n.p.	aemd
+	n.f.	emd
+	 ?	+
emm (1)	n.	em
emm (2)	v. inf.	hemmn
+	pp.	mhemm
+	n. coll.	emt
n.	temm	
emn	?n.	emn
+	prep.	
emq	n.	emqt
emr	n.	memr
emy	v.imp.	yetmyn
en		
enb	n.	enb
end		
+	+	end-hmw
*ens1	n.	es1
enw	v.f.	enwt
+	inf.	enw 
+	n.	ent
eny	v.&.n.	eny/tent-
enz	n.coll.	enz
eqb	v.	eqb
+	v.	eqb
+	v.	heqb
+	+	+
+	n.	eqb
+	p.	eqbt
+	n.	eqb
+	n.p.	eqbt
+	n.	eqb
+	n.	eqb
+	n.	eqbt
+	n.	eqbn-
+	n.	eqbt
+	n.	meqb
+	n.coll.	meqbt
eqd	n.	eqd
+	a.	meqd
eqm	n.	meqm
eqr	n.	eqr
eqw	v.	teqw
+	imp.	yetqmn
+	inf.	etqmn
+	n.	eqwt
erb (1)	n.	merb, merbyt
+	a.	merby
erb (2)	v.	erb
+	v.	herb
+	v.	terb
+	n.	erb
+	n.	terb
+	p.	erbt
+	n.	merbt
erb (3)	v.	erb
+	n.	merb
+	n.	merb
erb (4)	n.coll.	erb
+	p.	aerb,erbn-
erb (5)	prep.	b-erb
+	?	+
erd.	n.	erd.
erf	n.p.	aerf
ergl	n.	ergl
erm	v.	erm
+	v.	erm
+	n.f.	erm
+	n.p.	erm
ern	n.p.	erwn
erq	n.	erq
+	n.	erq
err (1)	n.	er
+	p.	aerr
+	n.	er
err (2)	n.p.	erwr
ers2	n.p.	erys2
ers3	n.p.	aers3
es1		
es1a	v.	es1a, hes1a
+	v.	hes1a
+	n.	mes1a
es1m	n.	es1m
+	+	d_-es1m
+	v.aux.	hes1m
+	n.	es1my-m
es1n	v.	es1n
+	n.	es1n, mes1n
es1y	v.	es1y
+	+	+
+	v.	hes1y
+	n.	es1y
es2q	v.	hes2q
+	n.	es2q
es2r	n.	es2r, es2rt
+	+	es2ry. es2r-nhn
+	n.f.	es2r
+	d.	es2r
+	p.	es2r
+	a.	es2r
+	n.	es2r
+	v.	es2r
+	n.	es2rt
+	p.	es2r
+	n.p.	mes2rt
+	n.	mes2rt
es3b	n.	es3b
+	es3b	
+	es3bt	
es3n	v.	es3n
es.b	a.	es.by
es.d	n.p.	aes.d
es.m	n.	es.m-m
es.r	v.	tes.r
+	n.	es.r
+	v.	etb
etd	v.imp.	yetdn
etk	prep.	etk
etl	v.	etl
et./?et.n?	v.imp.p.	yet.nn
et.f	n.	et.f
+	n.f.p.	et.wf
ewd	v.	ed
+	v.f.	ewdt
+	v.inf.	ewdn
+	v.aux. Imp.p.	yedw
+	v.p.	hedw 
+	n.	ewd
+	n.	med
+	adv.	ed
ewf	n.	ewf
+	n.	ewfy-n
+	n.p.	aewf
ewm	n.	ewm
ewn (1)	n.	men
+	n.	men
*ewn (2)/ enw	v.	hen
+	p.	henw
+	imp.	yhen, yhenn
+	p.	yhenw
+	inf.	henn
+	+	+
+	+	+
+	+	+
+	v.	s1ten
+	inf.	s1tenn
+	n.	ent
+	n.	hent
ewq	n.	ewq
ewr	n.	ewrt
+	?	+
+	prep.	ert
ews1	n.	ews1
eyn	n.f.	eyn
+	+	+
+	+	+
+	n.p.	eyn
+	p.	aeyn
+	n.p.	meynt
+	v.imp	yheynn
eyr (1)	v.inf./n.	eyr
eyr (2)	n.	teyrt
*eyr (3)	n.	er-n
*eys2	n.	es2t
+	n.	es2t
ezl (1)	v.	ezl
+	v.	hezl
+	v.	s1tezl
ezl (2)	n.	ezly
ezm	+	?l-ezm
ezz	v.	hezz
+	n.	ezt
+	?n./v.	d_ez-hmw
ez.m	+	w-ez.m
		
b	prep.	b-
ba	n.	bat
bad	a.	bad
bar	n.f.	bar
+	v.	bar
bas1 (1)	n.	bas1, bas1t
+	v./n.	bas1 
+	v.	hbas1
+	+	+
+	hbas1	+
+	pp.	mhbas1
bas1 (2)	n.p.	abas1
bed	prep.	bed, bedn
+	+	bed-hw, bedn-hw
+	conj.	bedn, bedn/d_-, bedn/d_t
+	+	bed/d-, bed/d_t
+	n.	bed
+	a.	bed
+	?	+
+	v.	bed
bel (1)	n.	bel,
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	v.	bel
+	v.	bel
+	v.	hbel
+	n.	bel-m
+	n.	mbel
bel (2)	n.	bel (t_wr/-m)
+	p.	abel
bel (3)	v.	bel
+	n.	tbel
+	p.	tbelt
ber	n.s.& coll.	ber
+	+	+
bew	v.	bew
+	n.	bew
+	p.	bewt
bey	v.?p.f.pass.	hbeyn
bda	n.	bdan
bdd	n.	bdd
+	n.	bd
bdl	n.	bdln
+	n.	bdlt
*bdw	n.	bdt
*bd_d_	n.	bd_
bd_l	a.	bd_l-m
+	pp.	mhbd_l
bd.e	v.	bd.e
+	+	+
+	+	+
+	n.	bd.e
+	p.	abd.e
+	n.s.& coll.	bd.b
+	p.	bd.we
bg.l	n.	bg.l
bha	v.	bha
+	+	+
+	+	+
+	+	+
+	pp.	bha
+	n.p.	bhat
+	n.	mbhat
		
bht_	v.	bht_
+	+	+
bhw	n.	mbhwt
bh_r	n.	abh_r
bh.d.	v.	bh.d.
+	n.	bh.d.
+	p.	bh.d.t
bh.r	n.	bh.r
+	p.	abh.r
+	n.d.	bh.rn
+	p.	bh.wr
+	v.	hbh.r
+	v.	hbh.r
+	n.	mbh.r
+	+	+
bh.t		
bkl	v.	bkl
+	v.	bkl
+	v.	hbkl
+	n.coll.	bkl, bkln-
+	n.	bkln
bkr	n.	bkr
+	n.	bkr
+	n.[.]	bkr
+	?	+
bl	prep.	bltn, blty, bly
bld	n.p.	blwd
blh.	v./n.	blh.
bll	n.	bll
+	+	+
+	a.	bll
+	n.	bll-m
blq	n	blq
blt	v.	blt 
+	+	+
+	v.	hblt
+	n.	blt
+	p.	bltt
blt.	n.	blt.t
+	p.	
blw	v.	blw 
+	f.pass.	blyt
+	?n./v.	blyt
+	n.	blwt
bn	prep.	bn 
+	+	bnbw
bnw	n.s.abs.	bn-m
+	s.constr.	bn, bn-, bny-, bnw
+	d.constr.	bny, bn-
+	p.abs.	bnn
+	p.constr.	bn)-), bnw(-), bny(-), bnwy
+	f.s.	bnt, bt
+	f.d.	bnty, bty
+	f.p.	bnt
bny	v.	bny 
+	d. 	bnyy
+	p.	bnyw
+	n.	bnyt
+	n.	mbny, mbn
bq	n.	bqm
bql	v.	bql
+	n.coll.	bql
+	n.	tbqlt, tbql
bqr (1)	n.s.& coll.	bqr
bqr (2)	v.	bqr
bqy	v.imp.	ybqy
bra (1)	v.	bra
+	v.	bra
+	n.	mbra
+	?p.	mbrat
bra (2)	a.	bra
+	n.	mbra
brd (1)	n.	brd 
brd (2)	n. (?d.?)	brdnn
brd.	n.p.	abrd.
brg	v.	brg
+	n.	brg
brh (n)	?n./v.pass.	brhn
brh.	a.	brh.
brk (1)	n.	brkt
brk (2)	v.	brk 
+	vv.	brk/wtbrk
brq	v. impers.	brq
+	n.f.	brq
+	p.	abrq
*brr (1)	n.	br
brr (2)	v.	brr
+	p.	brrw
+	imp.	ybrrn
+	v.inf.	brr
+	v.	hbrr
+	p.	hbrrw
+	imp.p.	yhbrrw
+	n.	brr
brr (3)	v.p.	h[b]rrw
+	inf.	hbrrn
+	n.	br
brr (4)	n.	brr-m
+	v.	brr
brt	n.	brt
brt_ (1)	n.	brt_
+	p.	brt_
+	+	+
+	conj.	brt_
+	+	+
+	+	+
brt_ (2)	v.	brt_
+	+	+
+	+	+
brw (1)	n.	brw
+	p.	brw
brw (2)	n.	brw
brw/bry	v.imp.p.	hbryw
+	inf.	hbrwn
bry (1)	v.inf.	bryn
+	v.inf.	s1tbryn
+	n.	bry, bryt
+	a.	bry
bry (2)	bry/s2ms1	
bs1l	n.	mbs1
bs2r (1)	n.	bs2r
+	+	+
bs2r (2)	v.	tbs2r
+	+	+
+	+	+
+	n.	tbs2r
+	p.	tbs2rt
bs2ym	n.	bs2ym
bs.l	n.coll.	
btr	n.	btr-m
bt_t_	v.f.	bt_t_t
+	v.imp.	yhbt_
bt.l	n.	bt.lt
*bwa	v.imp.	yba-
+	v.inf.	hban
*bwh.	n.s& p.	bh.t
bwn	n.p.	abwn
*bwr	n.	brt
*bye	n.	bet
byd	v.inf.	byd
+	?n.	byd
+	?prep.	hydn
byn	v.imp.	ybnn
+	p.	ybnnn
+	prep.	byn, bn, bynn
+	?n.	bynn
+	+	+
byt	n.	byt, bt, 
+	p.	abyt, abt
+	n.	tbyt
+	+	+
+	?conj.	bytn
		
d	partic.	
da	partic.	da
+	?	+
de	v.p.	dew
+	n.	det
		
dbe	n	dbe-n
dbl	v.	dbl
+	n.	dbl
dbr	n.p	adbr
dbs1	n.	dbs1
dbw		
dfn	n.	mdfn
+	?	+
dfq	v.	dfq
dhr	v.	dhr
dh_f	v.& n.	dh_f
dkt_	v.	dkt_
dll	v.p.	dllw
+	inf.	dll 
+	n.p.	dlwl
*dlw	n.	mdlt
dm/dmw	n.	dm
+	v.imp.	ydmw
dqq	n.	dqq
dqt		
dra	v.	hdra
drk	v.	drk
drm	v.	drm
drr	?n./v.	drr-
+	n.	mdrr
ds3s3	pp.	ds3s3
dt_a	n.	dt_a
dwl	n.	dwlt
dwm	n.	dwm-m
dwr/dyr	n.f.	dr-m
+	+	drm.drm
+	n.p.	adwr
+	?	+
dyn (1)	v.imp.p.	ydynn
+	v.	dn
+	p.	dnw
+	imp.	ydnn
+	n.	tdyn
		
dyr		
*dyt	n.	dt_-m
		
d_	pron.rel.m.s.	d_-
+	f.	d_t, d_tn
+	m.d.	d_y
+	f.	d_ty
+	p.	al, l-
+	+	d_-bn
+	pron. & a.dem.m.s.	d_n
+	f.	d_t, d_tn
+	d.	d_yn, aln
+	p.	aln, alt
d_ab	n.	md_ab
d_eb	n.	d_eb
+	p.	ad_bb
d_bh.	v.	d_bh.
+	+	+
+	v.	hd_bh.
+	n.	d_bh.
+	p.	ad_bh.
+	n.p.	d_byh.
+	n.	md_bh.
+	n.	md_bh.t
d_br	n.	d_br
d_fr	n.	d_fra
d_hb (1)	n.	d_hb
+	v.	d_hb
+	n.	td_hb
d_hb (2)	n.	d_hb
+	p.	ad_hb
+	+	+
+	n.	md_hbt
+	?v./n/	td_hb
d_kr (1)	n.	d_kr
+	p.	ad_kr, ad_krw, d_kwr
d_kr (2)	v.	d_kr
+	n.	d_kr
+	+	+
d_kw (1)	v.inf.	d_kwn
d_kw (2)	v.	d_kw 
+	p.	d_kww
+	n.	hd_kwt
d_ky	v.	d_ky
+	p.	d_kyw
+	imp.	yd_kyn
+	inf.	d_kyn
+	v.	hd_ky
+	p.	hd_kyw
d_-kyn		
d_ll	v.	hd_ll
+	imp.	yhd_lln
+	+	+
+	v.inf.	td_lln
+	v.inf.	s1d_lln
d_mr	v.	d_mr
+	+	+
+	+	+
+	+	+
+	n.	d_mr
+	n.	md_mr-n
d_nb	v.	d_nb
d_nm	v.	d_nm
+	n.	d_nm
+	p.	ad_nm
d_qn	n.	d_qn
+	p.	md_qn
+	 ?	+
d_qt.	v.	d_qt.
d_ra	n.	md_rat
+	p.	md_ra 
d_rb	n.	d_rb
*d_rr	v.d.	hd_ry
+	inf.	hd_rn
+	n.	d_r-m
+	a.	mhd_r-m
+	+	hd_rn
*d_wb	n.	md_b
		
d_wd	n.p.	d_wwdt
d_yr	n. 	d_yr
		
d.an	n.coll.	d.an
d.ba	v.	d.ba
+	n.	d.bat
+	p.	d.bat
+	n.p.	d.bat
d.be	v.	bd.be
+	p.	+
d.bh.	v.	d.bh.
d.fr	v.	d.fr
d.fw	v.f.	d.fwt
+	n.	d.fw 
d.gm	v.	bd.gm
*d.h.w	n.p.	ad.h.-m
d.le	n.	d.let
+	n.	md.le
d.ll	v.	d.ll
+	n.	d.ll
d.md	v.	d.md
+	n.	d.mdn
d.mr	n.	d.mr
d.re (1)	v.	d.rb
+	+	+
+	v.	hd.rb
+	+	+
+	n.	d.ret
+	n.	d.re-n
d.re (2)	n.	d.re
d.rf	n.	md.rf
+	p.	md.rft
d.rk	v.	d.rk
d.rr	v.p.	d.rrw
+	n.	d.r
+	p.	ad.rr
+	n.	d.r
+	p.	ad.rr
+	n.p.	ad.r 
d.rs1	n.p.	ad.rs1
d.rw	n.	d.rw
+	n.d.	
d.ry	v.inf.	d.ryn
d.we	v.	d.wb
+	n.	d.wb
+	p.	ad.wbw
		
f (1)	partic.	f-
+	+	f-aw
f (2)	n.	f
fal	v.	fal
fel	v.	fel
+	v.	hfel
+	n.	fel
+	n.p	fel
fdfd	a.	fdfdt-m
fdy	v.	fdy
+	f.	fdyt-
+	p.	fdyw
+	imp.	yfdyn
+	imp.p.pass.	yfdw
+	+	+
+	v.inf.	ftdyn
*fgg	n.	fg
fgr	v.	fgr
+	v.	fgr
+	+	+
+	n.	fgrt
+	?	+
+	n.	mfgrt
fhd	n.	mfhd
+	?	+
fh_d_	n.	fh_d_
fh_r	v.	fh_r
+	n.	fh_r
fkl		
flg	v.	hflg
+	n.	mflg
flh	v.	hflh.
flk	n.p.	aflk
*fll	v.p.	tflw
+	v.	tfl 
+	p.	tflw
+	?	+
		
flq	n.	mflq
fls3	v.	fls3
+	n.p.	fls3t
flt.	v.	flt.
fly	n.	flyt
+	n.	flyt
fnw (1)	n.	fnwt
+	p.	fnw 
+	n.p.	mfnt
fnw (2)	n.	fnw
+	n.	mfnt
fqd	v.	fqd
+	v.	tfqd
+	v.	fqd
fqd.	n.	fqd.
fqh.	v.	fqh.
+	v./?n.	fqh.
+	n.	fqh.
+	n.	fqh.
+	n.	d_-fqh.y
fql	v.	fql
+	n.	fql
+	p.	afql
fre	v.	fre
+	n.	fre
+	p.	fret
+	+	+
+	n.	d_-fre-m
+	n.	fre, (d_)fre
+	n.	fre
+	a.	fre
+	+	+
frd	n.	frd-m
frd.	n.	frd.
frq	v.	frq, tfrq
+	v.	tfrq
frs1	n.	frs1
+	p.	afrs1
frs2	n.	frs2t
frs3	n.p.	frs3t
frzn	n.	frzn-m
fs1h.	v.	hfs1h.
+	n.	mfs1h.t
fs2a	a.	fs2a-m
fs2h.	v.	hfs2h.
fs3l	v.	fs3l
fs.y	v.f.pass.	fs.yt
+	n.	fs.y-m
fth.	v.	fth.
+	v.	fth.
+	v.	hfth.
+	+	+
+	n.	fth.
+	+	+
fth_	n.	fth_
ft.n	v.	hft.n
*fya	v.	hfa
*fyd	v.imp.	yfd
fyh.	n.	fyh.
fys2	n.	fys2-m
		
ger	v.	tger
+	+	+
+	n.	tger
+	a.p.	gewr-m
gba (1)	v.	gba
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	v.	hgba
+	+	+
+	+	+
+	?	+
+	v.	tgba
+	v.	s1tgba
+	n.	gban
gba (2)	v.	gba 
+	v.	hgba
gbd_	v.	gbd_
gbh	n.	gbht
gbl	n.	gblt
gby	n.	d_-agby
gbz		
gdd	v.	hgdd
+	+	+
+	a.	gdd
?gdm?	n.	?tgdm-m
gdy	v.	hgd 
+	n.	gdyt
gd_d_	n.	gd_d_t
gd_f	v.	gd_f
gd_m	n.	gd_m[n]
gb_w	n.d.	gd_wty
gfy		
ghm	n.	ghmy
+	v.	ghm 
gme	v.	gme
+	v.	tgme
gmd		
gml	n.p.	gml
*gmm	v.	gm
gna	n.	gna
+	p.	gnat
+	v.	gnb
gnb	v.	gnb
gnn	v.	tgn
+	inf.	gtnn
+	n	gnt
+	p.	agnn
gnw/gny	n.	gny-n
+	n.p	agnw
gnz (1)	n.	gnzt
+	?	+
gnz (2)	n.p.	gnwz
grb (1)	n.	grb
+	p.	grbt, grybt
grb (2)	v.	grb
+	v.	grb
+	n.	grb
+	n.	grbt  
+	n.	grby-n
grh.	n.p.	grh.
grm	n.	grm
+	n.	grm
+	n.	mgrmt-m
grn	n.	grn
gwe	?n./a.	gwe-m
gwb	n.	gwb-n
gwd	n.	gwd
gwl	n.	gwl-m, gl-m
gwr	v.	gr
+	n.	gwr
+	+	+
+	n.	grt
gwy	n.	gw-m
gwz	v.	gz
+	f.	gwzt
+	imp.	ygzn
+	n.	gwzt
+	 ?	+
+	n.	mgzt
gyb	v.imp.	ygbn-
+	inf.	gyb
gyl	n.	gyl
gyr	v.	gyr
+	inf.	gyrn
+	n.	gyr
+	n.	mgyrt
gys2	n.	gys2,gs2
+	p.	agys2
gza	a.	gza
gze	v.	gze
+	n.p.	agze
+	n.	mgze
+	p.	mgzet
gzf	n.	gzf
+	p.	agzf
+	v.	gzf
+	n.coll.	gzf
gzh.	v.	gtzh.
gzl	n.	gzl
gzm	v.	gzm
+	v.	gzm, tgzm
+	v.	gzm
+	n.	gzm
gzy	v.	gzy
+	p.	gzyw
+	inf.	gzy
+	?	+
+	n.	gzyt
+	?	+
gzz	v.	gzz
+	n.	gzzt
		
g.bb	n.	mg.bt
g.br	n.	g.br
g.bt.	n.	g.bt.
g.lb	a.	g.lb
g.ll	v.imp.	yg.ln
+	v.imp.	yhg.lln-
+	v.	g.ll
+	n.	g.lyt
g.lm	n.	g.lm
+	f.	g.[l]mt
+	p.	g.lm
g.lyt		
g.nm	v.	g.nm
+	v.	g.nm
+	n.	g.nm, g.nmt
+	p.	ag.nm
g.rb	v.	g.rb
g.rbb	n.	g.rbb
g.rd.	v.	g.rd.
g.s1l	v.	g.ts1
g.wn	n.p.	mg.wn
g.wr (1)	v.imp.p.	yg.twrw
*g.wr (2)	v.p.	hg.rw, s1tg.rw
+	inf.	s1tg.rn
g.wy	?v.	g.wy
+	n.	g.y
+	a.	g.wyt
g.yl	v.inf.	[s1]tg.ln
+	n.	g.yl
+	n.	g.yl
+	p.	ag.yl
g.yr	n.	g.yr, g.r
*g.yt_	v.inf.	hg.t_n
g.zw/g.zy	v.	g.zw
+	p.	g.zyw
+	inf.	g.zw
+	+	+
+	n.	g.zt
+	p.	g.zwy
+	n.p.	g.zwy
		
h-	pron. 3e pers. & a. dem. :m.s.nom.	ha, hwa, 
+	acc/gen.	hwt; 
+	f.s. no.	ha, hya, 
+	acc/gen.	hyt
+	d.nom.	hmy
+	acc/gen.	hmyt
+	m.p.nom.	hmw
+	acc/gen.	hmt, hmwt
+	f.p.nom.	hn, 
+	acc/gen.	hnt
hdn		
hdr	n.p	ahdr
hdy	n.	hdy-m
+	?n./v.	hdy 
hfe		
hgl	n.	hgl-m
hgn	n.	hgn
+	?	+
+	?	+
hgr	n.f.	hgr
+	p.	ahgr, hgr
+	n.coll.	hgr
hl	pron.rel. 	hl-mw
hm	partic.	hm
*hmm	n.	hm
hmr	n.	hmr
hms1	v.	hms1
hn	partic.	+
+	+	hn, b-hn
		
hna	a.	hna
+	p.	hnan, hna
+	n.	hna
+	n.	hnat
hrb	v.	hrb
