Word	Part of Speech	Word Forms
h_fg	n.	h_f-m
h_fr (1)	n.	h_fr
h_fr (2)	n.	h_frt
+	v.	hh_fr
h_la	v.	h_la
h_lb	v.	h_lb
h_lf (1)	v.	hh_lf
+	pp.	mhh_lf
+	n.	h_lft
+	p.	h_lyf
+	v.	s1th_lf
h_lf (2)	n.	h_lf
+	p.	ah_lf
+	n.	h_lf
+	n.?p.	h_lfn
+	?	+
h_lf (3)	n.	h_lf
+	?	+
+	?	+
+	n.	h_lf-n
+	?	+
*h_ll		
h_lq	n.	h_lq
h_lt		
h_lw/h_ly (1)	v.	h_l-
+	inf.	h_lwn
+	n.p.	h_lt
*h_lw/h_ly (2)	n.	h_lt
h_ma	n.	h_mat
h_mr	v.	h_mr, h.mr
+	v.	h_tmr
+	+	+
+	inf.	h_tmrn
+	n.	h_mr 
+	p.	ah_mr
+	n.	h_mrn
+	n.	h_mrt
h_ms1 (1)	n.	h_ms1, h_ms1t 
+	+	h_ms1y
+	n.	h_ms1 
+	p.	mh_ms1t
+	a.	h_ms1
h_ms1 (2)	n.	h_ms1
+	p.	ah_ms1, h_mys1
h_ms.	v.	h_ms.
h_mt.	n.	h_mt.n-m
+	?	+
h_nh	?a.	ah_nh
h_ny	v.	h_ny
+	+	ah_ny
h_ra	v.	h_ra
h_rf	n.	h_rf
+	p.	h_ryft
+	n.	h_rf, h_ryf
+	p.	h_rf, h_ryft, h_ryf
h_rg	v.	h_rg
+	n.p.	h_rgt
h_rs2	v.	h_rs2
+	v.	h_trs2
+	n.	h_rs.-m
+	v.	h_rs. 
h_rt.	v.	h_rt.
+	+	+
h_rw	v.f.	h_rwt
h_ry	v.imp	yh_ryn
+	inf.	h_ryn
h_s1s1	v.p.	h_s1w
+	n.	h_s1s1
h_s1s3		
h_s3f	n.p.	h_s3ft
h_s.b	v.	h_s.b
+	n.	h_s.b
+	+	+
+	?	+
h_s.r	?v./n.p.	h_s.rw
+	+	+
h_tm	n.p.	h_ytmt
h_tn	v.	h_tn
+	n.	mh_tn
+	p.	mh_tnt
h_t.a	v.	h_ta
+	v.	h_te
+	v.	hh_t.e
+	n.	h_t.e
+	p.	h_t.ye
h_t.b	n.p	ab_t.b
+	?	+
h_t.l	n.	h_t.l
+	n.	h_t.ln
h_t.r	n.	mh_t.r
h_t.t.	v.inf.	h_t.t.
+	n.	h_t.t 
+	n.	h_t.t.
h_wd	v.	h_wd
+	inf.	h_wdn
+	v.inf.	h_wdn
+	v.imp. p.	yth_wdnn
+	n.	th_wd
*h_wh_	n.d.	h_h_-nhn
h_wm	n.	h_wm
*h_wy	v.	hh_w-
h_yb	v.imp.	yh_bn
+	p.	yh_bw
+	v.inf.	hh_bn
+	?	+
+	v.	hh_b 
+	f.	hh_bt
+	n.	h_ybt
+	n.	h_ybt
+	n.	h_ybt
+	n.	th_yb
h_yl	n.	h_yl, h_l
+	p.	ah_yl
+	v.	s1th_l-
h_yr	n.p.	h_yr
h_ys1	v.inf.	h_ys1
		
h.bb (1)	n.	h.bb
h.bb (2)	n.p.	mh.bbt
h.bl	v.	h.bl
+	n.	h.bl
+	+	+
+	n.	h.bl
+	n.p.	h.blt
h.br	n.	h.br
+	+	th.br
h.bs2	n.	h.bs2y
h.bt.	n.p.	ah.bt.
*h.dd	v.inf.	h.d
h.dt_	v.	h.dt_
+	v.	h.dt_
+	v.	hh.dt_
+	+	+
+	n.	h.dt_t
h.d_k	n.	h.d_k
h.d_r	v.	h.d_r
+	+	+
h.d.r	v.	h.d.r
+	v.	h.d.r
+	n.	h.d.r
+	p.	ah.d.r
+	n.	mh.d.r
+	p.	mh.d.rt
+	n.	mh.d.rt
h.fd	n.	mh.fd
+	p.	mh.fdt
*h.ff	n.	h.f
+	n.	mh.f-n
h.fn	n.d.	h.fn-nhn
+	n.	h.fn 
h.fr	v.	h.fr
h.fs2	?v.	h.fs2
h.g		
*h.gg	v.	h.g
+	p.	h.gw
+	n.	h.g
+	n.	h.g
+	+	+
h.gl	n.	mh.gl
+	p.	mh.glt
+	n.	mh.gl
h.gm	v.	s1th.gm
h.gr (1)	v.	h.gr
+	+	+
+	n.	h.gr
+	n.	mh.gr, mh.grt
h.gr (2)	n.	h.gr
h.km	n.	mh.km
h.la	v.imp.	yh.ln
+	f.	th.lan
h.lb	n.	h.lb
h.lf	v.	h.lf
h.ll (1)	v.p.	h.llw
h.ll (2)	v.f.	h.lt
+	n.p.	ah.ll
+	n.p.	h.llt
+	n.d.	h.llyn
h.lm	n.	h.lm
+	n.f.	h.lmt
h.ls.	n.	h.ls.
h.ly	n.	h.ly
+	?	+
		
h.lz.	v.	h.lz.
+	n.	h.lz.
+	p.	h.lz.t
h.md	v.	h.md
+	n.	h.md
h.ml	v.	h.ml
+	+	+
+	+	+
*h.mm	n.	h.m-m
h.mr (1)	n.	h.mr
+	coll.	h.mr
+	p.	h.mrt
h.mr (2)	n.	h.mr
h.mr (3)	?a.	h.mrt
h.mr (4)		
h.my	v.	h.my
+	v.imp.	yh.myn
+	v..imp.p.	yh.tmynn
+	inf.	h.tmyn
+	v.imp.	yhh.mn-
+	n.p.	h.myt
+	n.	mh.my
+	p.	mh.myt
+	n.	mh.mt
h.nb	n.	h.nb
h.ng	prep.&conj.	h.g, bh.g, h.gn, h.gm/k-
h.ql	n.	h.ql
+	n.	nh.ql
+	+	+
h.qq	a.	h.qq
h.qr	n.	mh.qr
h.qw	n.d.	h.qw-nhn
h.rb	v.	h.rb
+	n.	h.rbt
+	p.	h.ryb
+	n.f.	h.rb
+	v.&n.	h.rb
+	n.	th.rb
+	n.	th.rb
+	n.	th.rbt
+	n.	th.rbt
+	n.	mh.rb
+	+	+
h.rd	n.	h.rd
+	 ?	+
h.rd.	n.	h.rd.
h.rf	v.	hh.rf
h.rg	v.	h.rg
+	n.	th.rg
+	n.p.	mh.rg
h.rm	v.	h.rm
+	+	+
+	v.	h.rm
+	n.	th.rm
+	n.	h.rmn
+	n.	h.rm
+	n.	h.rmt
+	n.	h.rmt
+	n.	h.rmt
+	n.	h.rmw
+	n.	ab.rm
+	n.	mh.rm
+	p.	mh.rmt
+	+	+
h.rr (1)	n.	h.r
+	p.	ah.rr
+	f.p.	ah.rrt
h.rr (2)	n.	h.rt
+	p.	h.rrt, h.rwr
+	coll.	h.r-m
+	v.	h.rr 
+	n.	mh.rt
h.rr (3)	v.p.	h.rrw
+	inf.	h.rr
+	n.	h.rrt 
*h.rr (4)	n.	mh.r
h.rs.	n.	h.rs.-m
h.rt_	n.p.	mh.rt_t
h.rt.	v.	h.rt.
h.rw	n.	th.rw
+	n.	h.r
+	+	+
h.ry	n.	h.ry 
h.s1m	v.	h.s1m
h.s2k (1)	v.	h.s2k
+	n.	h.s2k
+	n.p	mh.s2kt
h.s2k (2)	n.	h.s2k
+	n.f.	h.s2kt
+	n.p.	ah.s2kt
+	?	+
h.s2y	n.	h.s2y-m
h.s3r	n.p.	h.s3rw
h.s3s3	n.	h.s3s3
h.s3y	n.p.	ah.s3y-n
h.s.m	v.	h.s.m
+	n.	h.s.m
+	+	+
+	?	+
+	n.	h.s.m
h.s.n	v.	h.s.n
+	n.p.	ah.s.n
+	?	+
+	n.p.	mh.s.n
h.s.q	n.	h.s.q
h.s.r	n.p.	h.s.wr
h.s.y	n.	h.s.y
		
*h.wb	n.	h.b
h.wd	n.	h.wd
h.wl	n.	h.wl
+	n.	mh.wl
+	n.p.	mh.wl
+	prep.	h.wl
h.wr (1)	v.	h.wr
+	v.	hh.r
+	inf.	hh.rn
+	n.	mh.r, mh.rt
h.wr (2)	v.imp.	yh.wr
+	inf.	h.wr
+	n.p.	h.wr, h.wrw
h.wr (3)	n.	mh.r 
*h.ww	n.coll.	h.w
h.wy	v.p.	h.wy-
h.yd.	n.f.	h.yd.
h.yf	v.	h.yf
+	n.	h.yf
+	v.	h.yf
h.ykl	n.	h.ykl
		
h.yn	n.f.	h.yn
h.yq	n. 	h.yqn
h.yr	v.	h.yr
+	p.	h.yrw
+	n.	h.yrt, h.rt,
+	p.	hyr-n
+	n.p.	mh.yr
		
h.yw	v.	h.yw
+	imp.	yh.ywn
+	inf.	h.yy
+	v.imp.	yhh.ywn
+	n.f.	h.yw, h.ywt
+	+	+
+	n.coll.	h.yw-n
+	a.p.	h.y-m
h.zb	n.p.	ah.zb
h.zn	v.	hh.zn
h.z.r	v.	h.z.r
+	+	+
+	n.	h.z.r
h.z.w/h.z.y	v.p.	h.z.ww
+	inf.	h.z.y
+	 ?	+
+	v.imp.	yh.tz.yw
+	n.	h.z.y
+	n.	th.z.yt, th.z.t
+	 ?	+
h.z.y	n.	h.z.y-n
+	+	+
		
k	conj.	k-, kl, kn, bkn, kd_, km, kd_m, lkd_, klkd_y, ky
+	prep.	k- 
+	+	+
kab	n.	kabt
kbh.	v.	kbh.
kbr	a.	kbr
+	n.	kbr
+	p.	kbr, akbr
+	v.	kbr
+	v.	kbr
+	n.	kbr
+	+	+
kbt	n.	kbt-n
+	n.	kbt 
		
kby	n.	mkby
+	n.	tkby
+	?n.	kbyt
kdh.	n.	mkdh.
kdn	n.	kdn
+	p.	akdn
+	n.	kdnn
kfh.	v.	kfh.
+	n.	kfh.
kfl	n.	kfl
+	v./n.	kfl
kfr	n.p.	akfr
+	 ?	+
+	v.	kfr
+	n.	kfr
khl	v.	khl
+	n.	khlt
kla (1)	n.p.	akla
kla (2)	n.d.	klay
kll	n.	kl 
+	n.	kl-m
+	+	+
+	n.	kll
+	n.	b-klyt-hmw
+	v.	kll
+	v.inf.	hklln
		
klm	n.	klm
klw	n.s.& p.	klwt
+	 ?	+
+	n.	klwn
+		klw
klw/kly	n.	klwy-m
		
kmkm	n.	kmkm
kml	v.	hkml
+	v.	s1tkml
kms1	v.	hkms1
kmt	v.pass.	kmt
knf	n.	knf
*knn		
kre	n.p.	kre
krb (1)	v.	[.]krb
+	v.	hkrb
+	v.	ktrb
+	 ?	+
+	?n.	kr[b]n
+	n.	mkrb
+	n.	mkrb
krb (2)	n.p.	krbt
krf	n.	krf
+	p.	krf
+	n.	kryf-m
krkr	n.	krkr
krr	v.	kr
+	n.	krr-m
+	?n./v.	krr-hmw
krw	n.	krw-m
kry	n.p.	akry
ks1d	v.	ks1d
+	n.	ks1d
ks1w	n.p.	aks1wt
		
ks3a	v.	ks3a
ks3e	a.	ks3e
ks3h	v.	hks3
+	n.	ks3h.[-m]
ks3w	n.	ks3wy
		
kwkb	n.	kwkb
+	n.	kwkbt
kwn	v.	kwn, kyn
+	f.	kwnt
+	p.	kwnw, knw
+	imp.	ykn
+	f.	tkwn
+	p.	ykwnw
+	v.	kwn, kyn
+	v.	hkn
+	imp. p.	yhknnn
+	inf.	hkn
+	v.p	hknw
+	imp.	yhknn 
+	inf.	hknn
+	n.	mknt
+	+	+
+	+	+
+	+	+
kwr	n.	kwr
+	+	+
+	+	+
kyb	v.inf.	kyb-
kyd (1)	v.aux.	kd
+	p.	kydw
kyd (2)	v.	kd
+	v.p.	tkydw
+	inf.	ktd[n]
kyl (1)	n.p.	akyl
*kyl (2)	n.	klt
		
l	prep.	l-
+	+	+
+	+	+
+	+	+
lam	v.	lam
leb	n.	mleb
lel	adv.	lel
lba	n.	lba
+	f.d.	lban
+	p.	alba
lbb	n.	lb,
+	p.	albb
+	n.	lbb
lbn	n.	lbny
lbs1	v.	lbs1
+	n.p.	albs1
+	?v.	lbs1
lbt	n.	lbt
ldn	n.	ldn
lfy	v.	lfy
+	p.	lfyw
+	imp.p.	ylfyw
lhg	n.p.	alhg
lhm		
lh_m	n.	lh_m
lkd	n.	mlkd
lm	partic.	lm
lmd	v.	lmd (?gmd?)
*lmm	v.p.	lmw
ln	prep.	ln
+	conj.	ln
		
lqh.	v.	lqh.
+	v.	lqh.
+	v.	hlqh.
+	n.	mlqh.t
lqt.	v.	lqt.
+	v.	s1tlqt.
+	 ?	+
ls1n	n.	ls1n
+	+	+
ls.q	v.	ls.q
lyl	?v./n.	lyl
+	n.f.	lly
+	p.	lwly
lyz	v.	lyz
		
m	partic.	-m,-mw,-my
ma	n.	mat,
+	d.	mam, matyn
+	p.	ma
men	conj.	k-men-mw
*mdd	n.	mdt
+	n.	mmd
mdr	n.	mdr
+	p.	amdr
+	n.	mdrt
mdy	n.	mdy
md_r	n.	md_r-m
md.w	v.inf.	md.wn
md.y	a.f.	md.yt-m
mh/mhn	pron.rel.	mhn
+	conj.	k-mhn-mw
mhn	n.	mhn
mhr	n.	mhrt
+	n.	mhrt
+	v.	hmhr
+	n.coll.	tmhrt
mh_d.	v.	mh_d.
+	+	+
+	v.	hmh_d.
+	v.	s1tmh_d.
+	n.	mh_d.
+	n.	mh_d.n
mh_r	v.	mh_r
+	n.	l-d-mh_r
mh.l	v.	hmh.l
+	n.	mh.l
mh.ly	n.	mh.ly-m
mkr	n.coll.	mkr 
mla	v.	mla
+	v.	mla
+	v.	mla, hmla
+	v.	hmla
+	v.	s1tmla
+	n.	mla
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	 ?	+
+	n.	mla
+	n.	mla
+	p.	amla
+	n.	tmla
mlk	n.	mlk 
+	p.	amlk
+	f.	mlkt
+	+	+
+	v.	mlk
+	v.	hmlk
+	?	+
+	n.	mlk
+	n.p.	amlkt
+	n.	mlkt
+	n.	mmlkt
+	a.	mlyky-m
+	n.	mlk,
+	?p.	mlwk
+	+	+
+	n.	mlk
mlt_	v.	mlt_
mly (1)	v.	mly 
+	p.	tmlyw
+	imp.p.	ymtlyw
+	inf.	mtlyn
+	n.	mlt 
mly (2)	n.	mly
+	a.	mly-m
mn (1)	pron.rel.	mn,mn-mw, mn/d_-,mn/l-,mn-d_-mn
mn (2)	prep.	mn 
mmw	n.	mmw
mne	v.	mne
+	+	+
+	v.	tmne
*mnn	n.	mn
*mny	n.	mn
mqrm	n.	mqrm
mqt	n.	mqt.t
mr	n.	mr
		
mre	n.	mra
+	p.	amra
+	f.	mrat
+	+	+
+	+	+
+	+	+
+	+	+
mrd.	v.	mrd.
+	n.	mrd.
+	p.	amrd.
		
*mrr	v.imp.	ymrn
mrt	n.	mrt-n
ms1h.	v.	hms1h.
+	n.	ms1h.-hw
ms1k	?v.	[...]ms1k
+	n.d.	ms1k-nhn
ms1r	v.	ms1r
+	n.	ms1r
*ms1s1	v.	ms1
ms2w/ms2y	v.	ms2y
+	v.imp.	l-ms2w
		
ms3r	v.	ms3r
ms.e	a.p.	ms.e-m
ms.r	n.p.	ams.r
		
mte	v.	mte, hmte
+	n. 	mte,  
+	n.	mtet
mt_l	n.	mt_l
+	n.	mt_l
+	p.	amt_l
+	n.	mt_l
+	v.	hmt_le
+	v.	mtt_l
mt.r	n	mt.r
+	p.	amt.r
+	n.p.	mt.wr
		
mt.w	v.	mt.w 
+	n.	mt.wt
+	p.	mt.w
mw		
mw	n.	mw
+	d.	mw-nhn
+	p.	mwy, amwh
		
mwn	n.	mwn-n
mwr	n.	mwrt
+	p.	mwrt
+	v.p.	hmrw-
+	v.	mwr-
mwr/myr	v.imp.	yhmr[n]
+	n.	myr
+	n.	myr
+	p.	amwrt
mwt	v.	mwt
+	p.	mtw
+	imp.	ymwtn
+	v.p.	s1tmtw
+	n.	mwt
+	n.	mwtt
+	a.	myt[-m]
myr		
myt		
myt_	n.	myt_
+	?	+
mzr (1)	n.	mzr-m
mzr (2)	?v./n.	mzr 
mz.	v.	mz.a
+	+	+
+	+	+
+	v.	hmz.a
+	+	+
+	+	
		
nad	n./a.	nad
neb	n.	neb
nem	v.	nem
+	v.	hnem
+	n.	nemt
+	n.p.	anem
+	n.	nem
+	a.p.	nemt
ney	v.p.	neyw
nba	v.	tnba
nbe		
nbl	v.	nbl
+	v.	nbl
+	n.	tnblt, tblt
nbt	v.	nbt
+	v.	tnbt
+	n.	d_-nbt-m
+	n.	nbtt
nbt.	v.	nbt.
nda	v.	ynda
+	v.	hnda
ndb	v.	ndb
+	p.	hdbw-
ndf	v.	ndf
+	n.	ndf
ndy	v.imp.	yndyn
+	v.inf.	ndyn-
+	 ?	+
nd_h	v.	tnd_h
+	n.	md_ht
nd_r (1)	v.imp.	ynd_rn
+	inf.	tnd_rn
+	v.	ntd_r
+	n.	td_r-m
nd_r (2)	v.p.	hd_rw
+	n.p.	mnd_r
nd.e (1)	v.	nd.e
+	v.inf.	td.en
+	n.	nd.e, mnd.e
nd.e (2)	v.imp.	yd.en
+	v.	tnd.e
+	imp.p.	ytd.enn
+	inf.	td.en, ntd.en
+	n.	nd.e
nd.h_	v.	nd.h_
nd.h.	n.	mnd.h., md.h.
+	p.	mnd.h.t
+	n.	mnd.h.[.]
nd.w	v.	nd.w
+	v.imp.	?yd.wn
+	?leg	yd.en
		
*nfe	n.	hfe
nfh_	n.p.	mnfh_t
nfl	v.	nfl
+	v.	nfl
+	n.	nflt
nfq	v.	nfq
+	a.	nfq
+	n.	mnfq
+	n.	nfq
+	?	+
*nfr	n.	tfr
		
nfs1 (1)	n.f.	nfs1
+	p.	anfs1, afs1
+	+	+
nfs1 (3)?	n. 	nfs1
+	n.f.	nfs1
nfs1 (2)	v.	hfs1
+	?	+
+	n.	m(n)fs1
+	p.	mnfs1
+	?	+
nfs1 (3) 	n.	nfs1
+	?	+
+	+	+
		
nfs.	v.	nfs
+	imp.	yfs.n
*ngf		
ngr	n.	ngr
+	?	+
ngs1	v.imp.	yngs1n
ngs2	v.	ngs2
+	+	+
+	n.	ngs2y-n
+	p.	ngs2t
ngw	v.imp.	ygwn-
+	n.	mngw-m
ngz	v.inf.	ngzn
+	v.	hgz
+	inf.	hgzn
nhd.	v.	tnhd.
nhk	v.	nhk
+	imp.	ynhkn
nhl	n.	mnhl
nhm	n.	nhm
+	n.	nhmt
+	n.	nhmt
nhr	n.p.	anhr
nhy	n.	mnhyt
+	p.	mnhy 
+	?	+
nh_l	n.m.& f.	nh_l
+	p.	anh_l, nh_l
nh_y (1)	v.p.	hnh_yw
+	imp.p.	yhnh_yw
+	n.	mnh_y
		
nh_y (2)	v.	tnh_y
+	f.	tnh_yt
+	p.	tnh_yw
+	n.	tnh_yt
nh_y (3)	v.	nth_y
nh.b	v.	nh.b
+	v.	tnh.b
+	inf.	th.bn
nh.l	v.	nh.l
+	v.	hnh.l
+	v.	tnh.l
+	n.p.	nh.t
+	n.	nh.
+	n.coll.	nh.l
+	n.p.	anh.l
nh.ql		
nh.r	n.p.	anh.r
nh.s.	v.f.p.	s1tnh.s.n
nkf	n.	nkf
nkl	n.	nkl
+	v.	hnkl
+	d.	hkly
+	p.	hnklw
+	inf.	hkl 
+	+	+
+	n.f.p.	nkylt
nkr (1)	n.	nkr
+	n.	nkr
		
nkr (2)	v.	nkr
+	n.	tnkr
+	v.inf.	hnkrn
+	pp.	nkr
+	v.imp.	ynkr
+	inf.	nkrn
+	v.imp.	yhnkrn
+	n.	tnkr
+	n.	nkr
nkt_	v.	nkt_
nky	pp.	nky
+	n.	nky, nkyt
nml	n.	nmln
nmr (1)	n.	nmr
+	p.	anmr
+	a.	nmr 
nmr (2)	n.	nmr
+	?d.	nmry
+	p.	anmr
nqb	v.	nqb
+	inf.	nqbn
+	n.	nqb
+	p.	nqbt
+	+	+
		
nqd_	v.	hnqd_
+	p.	hqd_w
+	d.	hqd_-
+	imp.p.	yhqd_w
+	inf.	hnqd_n
+	v.p.	s1tqd_w
+	inf.	s1tnqd_n
+	n.p.	nqyd_
nql	v.	nql
+	v.	hql
+	v.inf.	hqln
+	n. 	mnql, mql
+	d.	mqly
+	p.	mnqlt
+	n.	mnql
+	tqlt	
nqm	v.	nqm
+	v.imp.	yhqm
+	n.	nqm
nqr	n.	nqr
+	n.coll.	nqr
nqs.	v.inf.	hnqs.n
+	n.	mqs.-m
nqz	v.	nqz
ns1a	v.p.	ns1a
ns1l	n.	ns1l
ns1r	prep.	ns1r, bn/ns1r, bn/ns1rn
ns2a	v.	ns2a
+	imp. 	yns2a
+	v.	ns2a
+	+	+
+	+	+
+	?	+
+	+	+
+	imp.f.	tns2an
+	v.	ns2a
+	imp.	ynts2a
+	inf.	tns2an
+	n.coll.	ns2a-n
+	n.	mns2a
+	+	+
+	n.	mns2a
ns2s.	+	ns2s.
*ns2w	n.	ms2w-n
ns3f	v.	ns3f
ns3g	v.	ns3g
+	v.	hns3g
ns3k	n.	ns3k
ns3l	v.	hns3l
ns3r	n.	mns3rt
*ns.e		
ns.b	v.	ns.b
+	n.	ns.b
+	n.	ns.b
+	n.p.	mns.bt
ns.f	v.	ns.f
+	v.	tns.f
+	n.	mns.f
+	n.	mns.f
+	p.	mns.f
ns.h.	n.	ns.h.t
+	n.	mns.h.
+	p.	mns.h.t
ns.r	v.imp.	ys.rn
+	inf.	ns.r
+	+	+
+	v.inf.	hns.rn
+	v.	s1ts.r
+	n.	ns.r
+	n.coll.	ns.r
ns.t	v.imp.f.	tns.t
+	n.	ns.tt
nt.e (1)	v.p.	tnt.ew
+	inf.	ntt.en
+	n.	nt.e
nt.e (2)	n.	nt.e
nt.e (3)	n.	nt.e
nt.e (4)	v.	tnt.e 
s1tt.ew		
nt.f	v.	hnt.f
+	n.	nt.f
+	n.	mnt.ft
nt.s2	n.	nt.s2
*nwb	v.p.	hnbw
*nwd	n.	nd-n
*nwf	v.	hnf-
+	inf.	hnf 
*nwh_	n.	mnh_t
nwh.	v.imp.	ynwh.n
+	n.	nh.t-m
*nwq	n.	nqt
*nwr	v.	hnr
+	?	+
+	n.	mnrt
nwy	v.inf.	nwyn
+	n.	nwy 
+	n.	nwy
+	n.	nw
+	prep.	nwyt
nze (1)	v.	nze
nze (2)	v.	nze
+	n.	nze
*nzh.	v.imp.	
nzl	pp./n.	nzl-m
*nz.m	v.inf.	hz.mn
nz.r	v.inf.	nz.r
+	+	+
+	n.	nz.r
+	n.	nz.r
+	n.coll.	nz.r
+	n.	mnz.r
		
		
qb	v.inf.	tqbn
qbd.	n.coll.	qbd.
+	n. 	mqbd.t
qbl	v. 	qbl
+	v.	qbl
+	v.	qtbl
+	n.	qbl
+	p.	mqblt
+	n.	qbl
+	n.	qblt
+	n.	qblt
+	n.	mqbl 
+	prep.	l-qbl
+	+	+
+	+	+
+	prep.& conj.	qbly, qbly/d_-, l-qbl, l-qbly, l-qbl/d_-, l-qbly/d_-, l-qbly/d_t
qbr	n.f.	qbr, 
+	p.	aqbr
+	n.	mqbr
+	p.	mqbrt
+	v.inf./n.	qtbrn
qdh.	n.	mqdh.
qdm	v.	qdm, tqdm, qtdm
+	v.	qdm 
+	v.	qdm, tqdm, qtdm
+	v.	qdm
+	v.	tqdm
+	n.	qdm
+	p.	aqdm
+	n.	qdm-m
+	n.	mqdm
+	n.	mqdmt
+	n.	tqdm
+	p.	tqdmt
+	n.	ln-qdm-m
+	n.	aqdm
+	+	+
+	a.	qdm
+	a.f.	qdmt
+	prep.	qdm, qdmy
qdr	n.p.	aqdr
+	n.p.	aqdr
qds1	n./a.	qds1
+	v.	qds1
qd.b	n.	qd.b
qfd	n.?p.	mqfdt
qfl	v.	qfl
qhl	n.	qhl
qlb	v.	qlb
qld	n.	mqld
+	p.	mqldt
qlh.	n.	qlh.
qll	a.	qll
+	+	+
qlm (1)	n.	qlm
qlm (2)	n.	qlm
+	v.	hqlm
qls1	n.	qls1
*qly	n.	tqlt
qme	v.	qme
qml	n.	qmlt
qmm	n.	qmm
qmt	n.	qmt
qne	v.	tqne
+	v.	tqne
+	n.	qne-m
+	n.	mqne
qnt	n.	qnt
+	n.	qntn
qny	v.	qny
+	f.	qnyt
+	p.	qnyw
+	d.f.	qnyty
+	imp.	yqny, yqnyn
+	p.	yqnynn, yqnn
+	+	+
+	v.imp.p.	yqnynn 
+	v.	hqny
+	f.	thqnyn
+	d. 	hqnyy
+	d.f.	hqnytw
+	p.	hqnyw
+	imp.	yhqnyn
+	f.	thqnyn
+	p.	yhqnynn
+	n.	hqnyt, aqnyt
+	n.s. coll.	qny, qnwy
+	p.	aqny
qr	v.imp.	yqr
qra	v.qra	
+	v.	s1tqra
qre	v.	tqre
qrb	v.	arb
+	+	+
+	+	+
+	+	+
+	v.	qrb
+	n.	qrb
+	n.	qrbn
+	n.f.	qrbnt
+	n.p.	aqrbt
+	a.	qrb
+	+	+
qrd.	n.	qrd.
qrf	n.	qrf
qrh.	v.	qrh.
+	n.	qrh.
qrn	v.	qrn
+	n.	qrn
+	p.	aqrn
+	n.s./p.	mqrn-m
qrs2	n.	qrs2t
qrs3	n.	qrs3-n
qrs.	n.	qrs.
qrw	v.imp.	yqtrn
+	v.	hqrw
+	n.	qrw
qry	n.p.	qr
qs1b	v.	qs1b
+	n.	qs1bt
qs1d (1)	n.coll.	qs1d
+	+	+
qs1d (2)	v.	qs1d
+	n.	qs1dt
+	n./a.	qs1d-m
qs1h.	n.	qs1h.
qs1m	n.	mqs1m
+	?	+
qs1r	n.	mqs1r
qs1s1	n.	qs1s1
qs1t. (1)	n.coll.	qs1t.
		
qs1t. (2)	n.	qs1t.
qs2b	v.	qs2b
+	+	+
+	n.	qs2bn
+	a.	qs2b-m
qs2d_	n.	qs2d_n
qs2m	n.	qs2mt
qs3m	n.	qs3m
qs.		
qs.a	v.	qs.e
+	n.	mqs.e
qs.s. (1)	v.	qs.s.
*qs.s. (2)	n.	qs.
qs.w	v.imperat.	tqs.w
qtl	v.	qtl
qtr	n.	qtr
qtw	n.	mqtwy, mqtw-n
+	d.	mqtwyy
+	p.	mqtt, mqtwt
+	f.s.	mqtwyt
+	+	+
qt.n	a./n.	qt.n
+	 ?	+
+	n.coll./s.	qt.nt
qt.r	n./v.	qt.r
+	n.	mqt.r
+	p.	mqt.rt
qt.t.	v.	qt.t.
*qwd.	v.inf.	qtd.
qwf	n.	hqwf
		
qwh.	v.p.	qh.w
+	inf.	qh. 
+	v. 	hqwh., hqh.
+	inf.	hqh.n
+	+	+
+	v.p.	s1tqh.w
+	v.inf.	s1tqh.n
+	n.	mqh.
+	p.	mqyh.
+	+	+
+	+	+
		
qwl	n.	qwl, qyl, ql, 
+	p.	aqwl,aql
+	+	+
+	v.imp.	yqln
+	n.p.	mqwl
+	n.p.	mqwlt
		
qwm	v.	qm
+	p.	qmw
+	v.imp.	yqwm
+	inf.	qwm
+	+	+
+	v.	qwm
+	imp.	yqmn
+	+	+
+	v.	hqm
+	p.	hqmw
+	inf.	hqmn
+	+	+
+	v.p.	tqwmw
+	v.p.	qwm
+	n.	mqm
+	+	+
+	n.	mqm
+	p.	mqmt, mqymt
+	+	+
qyd.	v.	qyd.
+	inf.	qyd.
+	v.p.	tqyd.w
+	v.inf.	s1tqd.n
+	n.p.	aqyd.
qyf	n.	qyf, qf
+	p.	aqyf
+	n.	qyf, qf
+	p.	qyfw
+	imp.p.	yqfnn
+	n.	mhqft-n
		
qyh.	v.inf.	qyh.
		
qyl	n.	qyl
+	a.	qyly-m
qyn	n.	qyn
+	p.	aqyn
qys.		
qyw	v.p.	qyww
qyz.	n.	qyz.qs.
+	n.p.	mqyz.
qz.a	n.	qz.at
		
ra		
rab	v.	hrab
+	v.	s1trab
+	n.	rab
ras1	n.	ras1
+	p.	aras1
+	+	+
+	n.p.	mras1
ras2	v.	hras2
ray	v.	ra
+	p.	rayw
+	v.imp.	yrayn
+	inf.	ray 
+	v.	hray
+	v.imp.	[y]rtayn
+	n.	hrayt
+	partic.	ra, ra/k-
reg	v.	hreg
rel	n.	relt
rew	n.p.	arew
rey	v.imp.d.	yrtenn
+	v.	rte-
+	n.	rey
+	n.	reyn
+	n.	mreyt,
+	p.	mrey 
rez.	v.	hrez.
+	n.	rez.
+	n.	mrez.
rbe (1)	n.?coll.	rbe
+	n.p.	arbew
+	n.d.	arbe-nhn
rbe (2)	n.	arbe, arbet
+	+	arbey
+	n.	rbe
+	n.	rbe
+	n.	rbe
