# Amharic Name	FULL_NAME	FULL_NAME_ND
	Bondē	Bonde
	Bondura	Bondura
	Mount Bondura	Mount Bondura
	Monte Bundure	Monte Bundure
	Bondura	Bondura
	Bundura	Bundura
	Bunduro	Bunduro
	Bone	Bone
	Boneya	Boneya
	Boneya	Boneya
	Boneya	Boneya
	Boneya	Boneya
	Boneya	Boneya
	Boneya	Boneya
	Boneya	Boneya
	Boneya	Boneya
	Boneya	Boneya
	Boneya Bok’o	Boneya Bok'o
	Boneya Shet’	Boneya Shet'
	Bonfeta Shet’	Bonfeta Shet'
ቦንጋ	Bonga	Bonga
ቦንጋ (2)	Bonga (2)	Bonga (2)
	Bonga	Bonga
ቦንጋ (1)	Bonga (1)	Bonga (1)
	Bonga	Bonga
	Benga	Benga
	Bonga	Bonga
	Bonga Shet’	Bonga Shet'
	Bongo	Bongo
	Bongosi	Bongosi
	Bonguel	Bonguel
	Monte Bonguel	Monte Bonguel
	Bonī	Boni
	Bonī	Boni
	Bonī Gīyorgīs Bēte Kristīyan	Boni Giyorgis Bete Kristiyan
	Bonī Wenz	Boni Wenz
	Bonche	Bonche
	Bonghe	Bonghe
ቦንኬ	Bonkē	Bonke
	Buzza	Buzza
	Bonketu Shet’	Bonketu Shet'
	Buncato	Buncato
	Bonneia	Bonneia
	Bonhora	Bonhora
	Bonora Shet’	Bonora Shet'
	Bonsa	Bonsa
	Bonsa Bota	Bonsa Bota
	Bansa Tullu	Bansa Tullu
	Bonsa Terara	Bonsa Terara
	Bon	Bon
	Bon Shet’	Bon Shet'
	Alaideghi Plain	Alaideghi Plain
	Aleaduga	Aleaduga
	Bonta Mēda	Bonta Meda
	Bonu	Bonu
ቦና	Bonya	Bonya
	Boo	Boo
	Boccadà	Boccada
	Boocada	Boocada
	Bopa	Bopa
ቦራ	Bora	Bora
	Bora	Bora
	Malca Micce	Malca Micce
	Bora	Bora
	Bora	Bora
	Bora	Bora
	Monti Borà	Monti Bora
ቦራ ተራራ	Mount Bora	Mount Bora
	Bora’āt Terara	Bora'at Terara
	Gara Borat	Gara Borat
	Galaue	Galaue
	Monte Galaue	Monte Galaue
	Bora Bota	Bora Bota
	Boralē	Borale
	Boralē	Borale
	Boralē	Borale
	Boralē (1)	Borale (1)
	Boralē	Borale
	Boralē (2)	Borale (2)
	Barale 2	Barale 2
	Boralē Shet’	Borale Shet'
ቦራ ማርያም ቤተ ክርስቲያን	Bora Maryam Bēte Kristīyan	Bora Maryam Bete Kristiyan
ቦራ ሜዳ	Bora Mēda	Bora Meda
	Boramu	Boramu
ቦረና	Boran	Boran
	Boran	Boran
ቦራ	Bora	Bora
	Bora Shet’	Bora Shet'
ቦራ ተራራ	Bora Terara	Bora Terara
	Borawlī YeTerara Senselet	Borawli YeTerara Senselet
	Borbor	Borbor
	Borbor	Borbor
	Borbor Bota	Borbor Bota
	Bor Bota	Bor Bota
	Borch’ē	Borch'e
	Borch’ē	Borch'e
	Borch’ē Shet’	Borch'e Shet'
	Borciota	Borciota
	Borshota	Borshota
	Borciuma	Borciuma
ቦሬ	Bore	Bore
	Bore	Bore
ቦሬ ተራራ	Monti Bore	Monti Bore
	Borē	Bore
	Borē	Bore
	Borē	Bore
	Borebo	Borebo
ጪልጋ	Chelag	Chelag
	Kolaj	Kolaj
ቦረቦር	Borebor	Borebor
	Borebor	Borebor
	Borē Bota	Bore Bota
	Boreda	Boreda
ቦሮዳ	Borodda	Borodda
	Dafne	Dafne
	Bārodā	Baroda
ቦረዳ	Boreda	Boreda
	Borodda	Borodda
ቦረዳ	Boreda	Boreda
ቦረዳ ጊዮርጊስ ቤተ ክርስቲያን	Boreda Gīyorgīs Bēte Kristīyan	Boreda Giyorgis Bete Kristiyan
ቦረዳ ትምህርት ቤት	Boreda Timhirt Bēt	Boreda Timhirt Bet
	Boreka	Boreka
	Boreka	Boreka
	Borele Ale	Borele Ale
	Vulcano Borele Ale	Vulcano Borele Ale
	Boramà Guddo	Borama Guddo
	Borema	Borema
	Boroma	Boroma
	Boroma Guddo	Boroma Guddo
	Borema Silasē Bēte Kristīyan	Borema Silase Bete Kristiyan
	Boran	Boran
	Boren	Boren
	Boren	Boren
	Boren	Boren
	Boren	Boren
	Boren (3)	Boren (3)
	Boren	Boren
	Boren (2)	Boren (2)
	Boren	Boren
	Boren (1)	Boren (1)
ቦረና	Borena	Borena
ቦረና አውራጃ	Borena Āwraja	Borena Awraja
	Borenea	Borenea
ቦረና ሳይንት	Borena and Saynt	Borena and Saynt
	Borena Āwraja	Borena Awraja
	Borena Bota	Borena Bota
	Borena Bota	Borena Bota
	Borena Bota	Borena Bota
	Borē Shet’	Bore Shet'
	Borey	Borey
	Borgebba	Borgebba
	Borgela	Borgela
	Borgianil	Borgianil
	Bordzhanil’	Bordzhanil'
	Borguddo	Borguddo
	Borī	Bori
	Bork’a Shet’	Bork'a Shet'
	Borkena Shet’	Borkena Shet'
	Borchenna	Borchenna
	Borkē	Borke
	Borkena Shet’	Borkena Shet'
ቦርከና	Borkenna	Borkenna
	Borkena Shet’	Borkena Shet'
	Borkoshē Bota	Borkoshe Bota
	Borle-ier	Borle-ier
	Borlēy Shet’	Borley Shet'
	Borni	Borni
	Boro	Boro
	Boro	Boro
	Boro	Boro
	Boro	Boro
	Monte Borò	Monte Boro
	Boro Āreda	Boro Areda
	Boro Bota	Boro Bota
	Boroli	Boroli
	Monte Boroli	Monte Boroli
	Borora	Borora
	Colle Bororo	Colle Bororo
	Boro	Boro
	Boro Shet’	Boro Shet'
	Borota Korebta	Borota Korebta
	Monte Bora	Monte Bora
ቦራ	Borra	Borra
	Bor Shet’	Bor Shet'
	Bortē	Borte
ቦሩ	Boru	Boru
	Boru	Boru
	Boru	Boru
	Barumiedà	Barumieda
ቦሩ ደብረ ብርሃን	Boru Debre Birhan	Boru Debre Birhan
ቦሩሜዳ	Borumieda	Borumieda
	Boru Shet’	Boru Shet'
ቦሩ ስላሴ ቤተ ክርስቲያን	Boru Silasē Bēte Kristīyan	Boru Silase Bete Kristiyan
ቦሩ ጦሩ ተራራ	Boru T’oru Terara	Boru T'oru Terara
	Bosa	Bosa
	Bosalēy	Bosaley
	Bosana	Bosana
	Colle Bosanà	Colle Bosana
	Bosaso	Bosaso
	Burca Besasa	Burca Besasa
	Burca Besasu	Burca Besasu
	Bosē	Bose
	Bosera Shet’	Bosera Shet'
	Bosetī Shet’	Boseti Shet'
	Monti Boseti	Monti Boseti
	Boseti-Gudda	Boseti-Gudda
	Boset Terara	Boset Terara
	Bosha	Bosha
	Boso Bota	Boso Bota
	Bosok’a	Bosok'a
	Bosok’ē	Bosok'e
	Bosok’ē	Bosok'e
	Besorche	Besorche
	Bosok’ē	Bosok'e
	Bosok’ē	Bosok'e
	Boso Shet’	Boso Shet'
	Bososo	Bososo
	Bota	Bota
	Bota’ā	Bota'a
	Bota Terara	Bota Terara
	Bot Cot	Bot Cot
	Bote	Bote
	Bot’ē	Bot'e
	Bot’ē	Bot'e
	Botero	Botero
	Botero	Botero
	Botero	Botero
	Boti	Boti
	Mount Boti	Mount Boti
	Bot’ī	Bot'i
	Boto	Boto
	Bot’olosī	Bot'olosi
	Botor	Botor
	Botor	Botor
	Monti del Botor	Monti del Botor
	Botor Mountains	Botor Mountains
	Botor Becho	Botor Becho
	Botor Bocho	Botor Bocho
	Botorī	Botori
	Botoro	Botoro
	Botoro Shet’	Botoro Shet'
	Bot’o Shet’	Bot'o Shet'
	Bot’o YeTerara Ch’af	Bot'o YeTerara Ch'af
	Botro	Botro
	Bottego	Bottego
	Villagio Bottego	Villagio Bottego
	Malca Bottego	Malca Bottego
	Botyes Shet’	Botyes Shet'
	Boudi	Boudi
	Altipiano Bauàl	Altipiano Baual
	Boval	Boval
	Altopiano Boval	Altopiano Boval
	Bauàl	Baual
	Boval	Boval
	Bowa	Bowa
	Bowa	Bowa
	Bowa Shet’	Bowa Shet'
	Bowa	Bowa
	Bowa Shet’	Bowa Shet'
	Boya	Boya
	Boya Ābo Bēte Kristīyan	Boya Abo Bete Kristiyan
	Boyē	Boye
	Boyē Gerarsa	Boye Gerarsa
	Boyē Shet’	Boye Shet'
	Boyē Shet’	Boye Shet'
	Boyī Shet’	Boyi Shet'
	Boyo Bota	Boyo Bota
	Boyta Shet’	Boyta Shet'
	Barchan	Barchan
	Barchen	Barchen
	Brahan	Brahan
	Brigandet	Brigandet
	Bual	Bual
	Buale	Buale
	Burkale	Burkale
	Buba	Buba
	Buba Hāyk’	Buba Hayk'
	Bubasa	Bubasa
	Bubassa	Bubassa
	Buba	Buba
	Buba YeTerara Ch’af	Buba YeTerara Ch'af
	Bovaio	Bovaio
	Bubayio	Bubayio
	Bovaio	Bovaio
	Bubayio	Bubayio
	Bubbe	Bubbe
	Bubbona	Bubbona
	Amba Bubbona	Amba Bubbona
ቡቤ	Bube	Bube
	Bube	Bube
	Gebel Bube	Gebel Bube
ቡቤ	Bubbe	Bubbe
ቡቤ	Bubē	Bube
	Bubi	Bubi
	Bubē	Bube
	Bubē	Bube
	Bubē	Bube
	Bubē	Bube
ጋራ ቡቤ	Gara Bube	Gara Bube
	Sara Bube	Sara Bube
	Bubi	Bubi
	Bubīsa	Bubisa
	Bubīsa	Bubisa
	Bubīsa	Bubisa
	Bubīsa	Bubisa
	Bubissa	Bubissa
	Buba	Buba
	Bubu	Bubu
	Bucal Erigo	Bucal Erigo
	Buccio	Buccio
	Bucarale	Bucarale
	Buccurale	Buccurale
	Bukkural	Bukkural
	Buche	Buche
	Buhe	Buhe
	Mai Buchena	Mai Buchena
	Buchi	Buchi
	Buch’īsī	Buch'isi
	Bucho	Bucho
	Bucho	Bucho
	Biciuman	Biciuman
	Bisciuman	Bisciuman
	Buchumen Korebta	Buchumen Korebta
	Budaia	Budaia
	Budamada Hāyk’	Budamada Hayk'
	Budda	Budda
	Buddi	Buddi
	Budde	Budde
	Bude	Bude
	Buddesa Chera	Buddesa Chera
	Budessa Chera	Budessa Chera
	Budo Bota	Budo Bota
	Buduluc	Buduluc
	Bufe	Bufe
	Bufelī	Bufeli
	Bagadi	Bagadi
	Bugadi	Bugadi
	Bugarī	Bugari
	Buggari	Buggari
	Bugaya	Bugaya
	Sorgenti Bughi	Sorgenti Bughi
	Bugi	Bugi
ቡኢ	Bu-i	Bu-i
ቡኢ	Bu’ī	Bu'i
	Buk’ī	Buk'i
	Bu’ī	Bu'i
	Buia	Buia
	Buie	Buie
ቡኢ ሚካኤል ቤተ ክርስቲያን	Bu’ī Mīka’ēl Bēte Kristīyan	Bu'i Mika'el Bete Kristiyan
	Buk’ī Mīka’ēl Bēte Kiristyan	Buk'i Mika'el Bete Kiristyan
	Buk’ata	Buk'ata
	Bukē	Buke
	Luccasodo	Luccasodo
	Buchemescio	Buchemescio
	Buke Mesho	Buke Mesho
	Bukero	Bukero
	Bukero (2)	Bukero (2)
	Bukero	Bukero
	Bukero (1)	Bukero (1)
	Buko	Buko
	Buko (2)	Buko (2)
	Buko	Buko
	Buko (1)	Buko (1)
	Buko	Buko
	Galata	Galata
	Buko	Buko
	Buko	Buko
	Buku	Buku
	Bukur	Bukur
	Lak Bucu	Lak Bucu
	Buku River	Buku River
	Buku Wenz	Buku Wenz
	Daralia River	Daralia River
	Lak Guraccia	Lak Guraccia
	Bail	Bail
	Bul	Bul
ቡላላ	Bulala	Bulala
	Bulaheh	Bulaheh
	Bulaleh	Bulaleh
	Bulan	Bulan
	Monte Bulan	Monte Bulan
	Bulargē	Bularge
	Bulbollod	Bulbollod
	Bullobodi	Bullobodi
ቡልቡላ	Bulbula	Bulbula
	Bulbula	Bulbula
	Gurra	Gurra
	Bulbula	Bulbula
	Bulbula	Bulbula
	Bulbula Shet’	Bulbula Shet'
ቡል ቡላ	Bul Bulla	Bul Bulla
	Bul Bul	Bul Bul
	Bulbulo Bota	Bulbulo Bota
	Buldīdnē Wenz	Buldidne Wenz
	Buldugum	Buldugum
	Bolē	Bole
ቡሌ	Bule	Bule
	Bulie	Bulie
ቡሌ	Bulē	Bule
ቡሌ ቦታ	Bulē Bota	Bule Bota
	Bulei	Bulei
	Buley	Buley
ቡልጋ	Bulga	Bulga
	Bulchi	Bulchi
ቡልቂ	Bulk’ī	Bulk'i
	Bulk’ī	Bulk'i
ቡልቂ ሱዳን ኢንቲሪየር ሚሲዮን	Bulk’ī Sudan Intīriyer Mīsīyon	Bulk'i Sudan Intiriyer Misiyon
	Bullaleh	Bullaleh
	Bullassa	Bullassa
	Bulo	Bulo
	Bulo	Bulo
	Bulo Bilal	Bulo Bilal
	Bulo Shet’	Bulo Shet'
	Bultī Dula	Bulti Dula
	Buluk’	Buluk'
	Buluk’ē	Buluk'e
	Bululo	Bululo
	Bululo (2)	Bululo (2)
	Bululo	Bululo
	Bululo (1)	Bululo (1)
	Bululta	Bululta
	Bulultu	Bulultu
	Bumbadī	Bumbadi
	Bumbode	Bumbode
	Bumbodi	Bumbodi
	Bume	Bume
	Bume	Bume
	Buna	Buna
	Buna Shet’	Buna Shet'
	Bunda	Bunda
	Bundī	Bundi
	Buneya	Buneya
	Bungala	Bungala
	Bun Higli	Bun Higli
	Buneia	Buneia
	Bunnaia	Bunnaia
ቡኖ	Bunno	Bunno
	Bunno	Bunno
ቦኖ ተራራ	Monte Bunò	Monte Buno
	Buno	Buno
	Buno	Buno
ቡኖ (1)	Buno (1)	Buno (1)
	Buno	Buno
ቡኖ (2)	Buno (2)	Buno (2)
	Buno	Buno
ቡኖ (3)	Buno (3)	Buno (3)
	Bunno	Bunno
	Buno	Buno
ቡኖ በደሌ አውራጃ	Buno Bedelē Āwraja	Buno Bedele Awraja
	Bunubba	Bunubba
	Malca Buo	Malca Buo
	Bol	Bol
	Buol	Buol
	Bur	Bur
	Bura	Bura
	Bura	Bura
	Bura Ābēbē	Bura Abebe
	Bura Ārba	Bura Arba
	Bur Abbadale	Bur Abbadale
	Burale	Burale
	Burana	Burana
	Burana	Burana
	Burar Wenz	Burar Wenz
	Bura Terara	Bura Terara
	Burat Shet’	Burat Shet'
	Buraylē YeTerara Ch’af	Burayle YeTerara Ch'af
	Ye’Terara Ch’af	Ye'Terara Ch'af
	Burbarsa	Burbarsa
	Burbura Shet’	Burbura Shet'
	Burca	Burca
	Burca	Burca
	Burca	Burca
	Burca	Burca
	Burca	Burca
	Burcai	Burcai
	Burkai	Burkai
	Bur Calane	Bur Calane
	Bur Kalane	Bur Kalane
	Bur Cheir	Bur Cheir
	Chier	Chier
	Burch’ī	Burch'i
	Burchuma	Burchuma
	Gebel Burchuma	Gebel Burchuma
	Burda	Burda
	Bundesi	Bundesi
	Burdesi	Burdesi
	Burdodi	Burdodi
	Burduda	Burduda
	Burduras	Burduras
	Bura	Bura
ቡሬ	Bure	Bure
	Bare	Bare
	Burē	Bure
	Burei	Burei
	Burē	Bure
	Burē	Bure
	Burie	Burie
	Burye	Burye
	Burē	Bure
	Burē	Bure
	Burei	Burei
ቡሬ አሸዋማ ቦታ	Burē Āshwama Bota	Bure Ashwama Bota
	Bure	Bure
	Burē Bota	Bure Bota
ቡሬ ሐይቅ	Burē Lak’ē	Bure Lak'e
	Buren Mēda	Buren Meda
	Cantur	Cantur
	Pianura di Cantur	Pianura di Cantur
	Burenn	Burenn
	Durenn	Durenn
	Bure	Bure
	Burē Shet’	Bure Shet'
	Bureya	Bureya
	Burgab	Burgab
	Burgal	Burgal
	Burgot	Burgot
	Bur Hosc	Bur Hosc
	Bur Hose	Bur Hose
	Bur Hoos	Bur Hoos
	Bur Khose	Bur Khose
	Buri	Buri
	Buri	Buri
	Burie	Burie
	Burī Mēda	Buri Meda
	Burgi	Burgi
ቡርጂ	Burjī	Burji
	Burjī Bota	Burji Bota
	Burka	Burka
	Malafaburi	Malafaburi
ቡርቃ	Burk’a	Burk'a
	Burk’a	Burk'a
	Gola	Gola
	Burk’a	Burk'a
	Burca	Burca
	Burk’a	Burk'a
	Burk’a	Burk'a
	Burk’a	Burk'a
	Burk’a	Burk'a
	Burk’a Ābdosh	Burk'a Abdosh
	Burka Bota	Burka Bota
	Burca Darrò	Burca Darro
	Burka Dare	Burka Dare
	Burca Darrò	Burca Darro
	Burka Darro	Burka Darro
ቡርቃ ደረቅ ሐይቅ	Burka Derek’ Hāyk’	Burka Derek' Hayk'
	Bocchè Guddo	Bocche Guddo
	Burk’a Gudo	Burk'a Gudo
ቡርቃ ጀቢ	Burk’a Jebī	Burk'a Jebi
ቡርቃ ጄሮ	Burk’a Jero	Burk'a Jero
ቡርቃ ሚካኤል ቤተ ክርስቲያን	Burk’a Mīka’ēl Bēte Kristīyan	Burk'a Mika'el Bete Kristiyan
	Burk’a Racha Shet’	Burk'a Racha Shet'
ቡርቃሳ	Burk’asa	Burk'asa
	Burca	Burca
	Burk’a Shet’	Burk'a Shet'
	Burk’a Shet’	Burk'a Shet'
	Burk’a Shet’	Burk'a Shet'
	Burk’a Shet’	Burk'a Shet'
	Burk’a Shet’	Burk'a Shet'
	Burk’a Shet’	Burk'a Shet'
	Burk’a Shet’	Burk'a Shet'
	Burk’a Shet’	Burk'a Shet'
	Burk’ik’ē	Burk'ik'e
	Burk’ītu	Burk'itu
	Burkuntē	Burkunte
	Buro	Buro
	Buro (2)	Buro (2)
	Buro	Buro
	Buro (1)	Buro (1)
	Buro	Buro
	Buro	Buro
	Buro	Buro
	Buro Dughei	Buro Dughei
	Buro Gabriet	Buro Gabriet
	Buro Mīka’ēl Bēte Kristīyan	Buro Mika'el Bete Kristiyan
	Bursa	Bursa
	Burssa	Burssa
	Burta En	Burta En
	Burta Hen	Burta Hen
	Burto	Burto
	Burtura	Burtura
	Buru	Buru
	Buru	Buru
	Buru	Buru
	Buru	Buru
	Buru	Buru
	Bur Ueber	Bur Ueber
	Buruk’itu	Buruk'itu
	Burunk’o	Burunk'o
	Buruole	Buruole
	Bururi	Bururi
	El Bururi	El Bururi
	Bururu	Bururu
	Burusa	Burusa
ቢርቢርሳ	Birbirsa	Birbirsa
	Burusa	Burusa
ቡሳ	Busa	Busa
	Busa	Busa
	Sole	Sole
	Busa	Busa
	Busa	Busa
ቡሳ (1)	Busa (1)	Busa (1)
	Busa	Busa
ቡሳ (2)	Busa (2)	Busa (2)
	Busa	Busa
	Bussa	Bussa
	Busa Shet’	Busa Shet'
	Buscia	Buscia
	Buscianne	Buscianne
	Buseyo	Buseyo
	Buseyo Shet’	Buseyo Shet'
	Bushana Bota	Bushana Bota
	Bushī	Bushi
	Bushu Korebta	Bushu Korebta
	Busī Dīma Shet’	Busi Dima Shet'
	Biscei	Biscei
	Buscei	Buscei
	Buski	Buski
	Busk’ulk’ul Shet’	Busk'ulk'ul Shet'
	Buslē	Busle
	Buslei	Buslei
	Busley	Busley
	Bussa	Bussa
	Bussaba	Bussaba
	Busulē Shet’	Busule Shet'
ቡታ	Buta	Buta
	Buta Bota	Buta Bota
	Butte	Butte
	Butajera	Butajera
ቡታጂራ	Butajīra	Butajira
	Butlagira	Butlagira
	Buttagira	Buttagira
	Bute Giarti	Bute Giarti
	Butī	Buti
	Butījī Shet’	Butiji Shet'
ጎሮ	Gorro	Gorro
	Butījī Police Post	Butiji Police Post
	Butījī YePolīs Sefer	Butiji YePolis Sefer
ቡታ	Butta	Butta
	Monti Butta	Monti Butta
	But’ulī	But'uli
	Bulin River	Bulin River
	Butunī Wenz	Butuni Wenz
	Buvilla	Buvilla
	Buya	Buya
	Buia	Buia
	Buya	Buya
	Buya	Buya
	Buya Desēt	Buya Deset
	Buya Shet’	Buya Shet'
	Buya Terara	Buya Terara
	Buyema	Buyema
	Buyo	Buyo
	Buzzani	Buzzani
	Caba	Caba
	Cabahot	Cabahot
	Kabakhot	Kabakhot
ቃበና	Cabana	Cabana
ቃበታ	Cabata	Cabata
	Cabba	Cabba
	Cabba	Cabba
	Altipiano di Cabba	Altipiano di Cabba
	Cabedleh	Cabedleh
	Cabedlen	Cabedlen
	Cabenaua	Cabenaua
	Gabenaua	Gabenaua
	Cabobe	Cabobe
	Cadobe	Cadobe
	Kabobe	Kabobe
	Cabriau Calaleh	Cabriau Calaleh
	Cabria	Cabria
	Cabrin	Cabrin
	Kabrin	Kabrin
	Kobrin	Kobrin
	Cabtai	Cabtai
	Monte Cabtai	Monte Cabtai
	Cabura	Cabura
	Cabura	Cabura
	Cacciam	Cacciam
	Keüem	Keuem
	Cacciamo	Cacciamo
	Caccin Ua	Caccin Ua
	Caccin Uha	Caccin Uha
	Kaccin Uha	Kaccin Uha
	Cac-ha	Cac-ha
	Cachir	Cachir
	Tulu Cachir	Tulu Cachir
	Checair	Checair
	Cacia	Cacia
	Cacmara	Cacmara
	Cacombili	Cacombili
	Cacuaha	Cacuaha
	Lake Caddabasa	Lake Caddabasa
	Caddabassa	Caddabassa
	Caena Tesama	Caena Tesama
	Caffa	Caffa
	Caffa	Caffa
	Cafulle	Cafulle
	Monte Cafulle	Monte Cafulle
	Cagelo Budonaro	Cagelo Budonaro
	Cagiagur	Cagiagur
	Cagiagur	Cagiagur
	Caho	Caho
	Monte Gorkè	Monte Gorke
	Caia	Caia
	Caia	Caia
	Kaye	Kaye
	Caic	Caic
	Malca Caita	Malca Caita
	Malca Cattà	Malca Catta
	Cala Gud	Cala Gud
	Gala Gud	Gala Gud
	Calalachi	Calalachi
	Colalocia	Colalocia
	Kalalacha	Kalalacha
	Calata	Calata
	Kalata	Kalata
	Calcal	Calcal
	Calciati	Calciati
	Calega	Calega
	Calegur	Calegur
	Caligi	Caligi
	Kaligi	Kaligi
	Calle	Calle
	Calloh	Calloh
	Monte Calloh	Monte Calloh
	Calab	Calab
	Calub	Calub
	Cama	Cama
	Monte Camà	Monte Cama
	Camagna	Camagna
	Gamugna	Gamugna
	Cambildge	Cambildge
	Sella Cambildge	Sella Cambildge
	Cammu	Cammu
	Kammu	Kammu
	Kamo	Kamo
	Camo	Camo
	Comao	Comao
	Camo	Camo
	Campau	Campau
	Colle Campau	Colle Campau
	Candoa	Candoa
	Canechi	Canechi
	Caniss	Caniss
	Canta	Canta
	Canta	Canta
	Kanta	Kanta
	Cantiere	Cantiere
	Canzuro	Canzuro
	Ganzaro	Ganzaro
	Capi	Capi
	Capotinac	Capotinac
	Capta Messil	Capta Messil
	Cara	Cara
	Cara	Cara
	Cara	Cara
	Caraboghe	Caraboghe
	Caraga	Caraga
	Monte Cacarset	Monte Cacarset
	Carcarset	Carcarset
	Cargialo	Cargialo
	Cari	Cari
	Cheri	Cheri
	Carindere	Carindere
	Carinta Chenleh	Carinta Chenleh
	Carma	Carma
	Carni	Carni
	Monte Carni	Monte Carni
	Monte Karni	Monte Karni
ካራ	Carra	Carra
	Carra	Carra
	Carra	Carra
	Sella di Carra	Sella di Carra
	Carrabalci	Carrabalci
	Carraia	Carraia
	Carraiu	Carraiu
	Caraiù	Caraiu
	Carraiu	Carraiu
	Catelu	Catelu
	Katelu	Katelu
ካራ ማራ	Carra Mara	Carra Mara
	Carra Mara Pass	Carra Mara Pass
	Passo Carra Marà	Passo Carra Mara
	Cari	Cari
	Carri	Carri
	Carrifatu	Carrifatu
	Carsa Ghesce	Carsa Ghesce
	Cartad	Cartad
	Cartati	Cartati
	Cartil	Cartil
	Carua Mariam	Carua Mariam
	Monte Carua Mariam	Monte Carua Mariam
ካሳ ኢየሱስ	Casa Jesus	Casa Jesus
	Cascemi	Cascemi
	Casceni	Casceni
	Kascheni	Kascheni
	Cascio	Cascio
	Casiagur	Casiagur
	Casieno	Casieno
	Cassali	Cassali
	Cassi	Cassi
	Catab	Catab
	Katab	Katab
	Cato	Cato
	Catri Gua	Catri Gua
	Colle Catri Guà	Colle Catri Gua
	Catuele	Catuele
	Katuelé	Katuele
	Catugola	Catugola
	Gabagola	Gabagola
	Gabugola	Gabugola
	Cau	Cau
	Cau	Cau
	Monti Cau	Monti Cau
	Caua	Caua
	Guado Caua	Guado Caua
	Kaua	Kaua
	Cauan	Cauan
	Monte Cauan	Monte Cauan
	Monte Kauan	Monte Kauan
	Cavada	Cavada
	Cavado	Cavado
	Gaveia	Gaveia
	Cecceco	Cecceco
	Checheho	Checheho
	Amba Cafà	Amba Cafa
ከፋ	Cefa	Cefa
ከፋ አምባ	Amba Cefà	Amba Cefa
	Afata	Afata
	Cegalo Afata	Cegalo Afata
	Celao	Celao
	Celecot	Celecot
	Scelicot	Scelicot
	Celguana	Celguana
	Chilcuena	Chilcuena
	Monte Chilcuena	Monte Chilcuena
	Cellalaca	Cellalaca
ጨላለቃ	Chellaleca	Chellaleca
	Celti	Celti
	Monte Celti	Monte Celti
	Malca Cereccio	Malca Cereccio
	Ceri	Ceri
	Cheri	Cheri
	Malca Cerretti	Malca Cerretti
	Cetta	Cetta
	Qito	Qito
	Ch’a’ā Shet’	Ch'a'a Shet'
	Chabbi	Chabbi
	Ciabbi	Ciabbi
	Chabi	Chabi
	Chabich	Chabich
	Chabich	Chabich
	Ch’abir	Ch'abir
	Chabr	Chabr
	Ciabir	Ciabir
	Sciabr	Sciabr
	Ch’abir Gebriēl Bēte Kristīyan	Ch'abir Gebriel Bete Kristiyan
	Ch’abir Mark’os Bēte Kristīyan	Ch'abir Mark'os Bete Kristiyan
	Ch’abo	Ch'abo
	Ch’abu Shet’	Ch'abu Shet'
	Alloha	Alloha
	Chach	Chach
ጫጫ	Ch’ach’a	Ch'ach'a
	Tchacha	Tchacha
	Chachane Ariti	Chachane Ariti
	Chachane Ariti	Chachane Ariti
	Chacha	Chacha
	Ch’ach’a Shet’	Ch'ach'a Shet'
	Ciacia	Ciacia
	Cià Cià Guddà	Cia Cia Gudda
	Ch’ach’at	Ch'ach'at
	Ch’ach’atu Fil Wiha	Ch'ach'atu Fil Wiha
	Ch’ach’tu Minch’	Ch'ach'tu Minch'
	Ch’ach’k’una	Ch'ach'k'una
	Chagalla	Chagalla
	Ch’agē	Ch'age
	Ch’agel	Ch'agel
	Ch’agel Āmanu’ēl Bēte Kristīyan	Ch'agel Amanu'el Bete Kristiyan
ቻግኒ	Chagne	Chagne
ቀዳማዊ ሀይለ ስላሴ በር	Kedamawi Haile Selassie Ber	Kedamawi Haile Selassie Ber
	Kedamawi H.S. Ber	Kedamawi H.S. Ber
	K.H.S. Ber	K.H.S. Ber
	K.H. Selassie Ber	K.H. Selassie Ber
	Meteke	Meteke
መተከል	Metekel	Metekel
	Ch’aha’ī	Ch'aha'i
	Cair Debin	Cair Debin
	Chair Debin	Chair Debin
	Ballekh Khair	Ballekh Khair
	Ch’ak’eta	Ch'ak'eta
	Ch’aketa	Ch'aketa
	Ch’ak’et Bota	Ch'ak'et Bota
	Ch’ak’irna	Ch'ak'irna
	Ch’ala Denk’enye’ā	Ch'ala Denk'enye'a
	Ch’alchīs Terara	Ch'alchis Terara
	Tuca	Tuca
	Monte Tuka	Monte Tuka
ጫሊ ተራራ	Ch’alī Terara	Ch'ali Terara
ጫሊ የተራራ ሰንሰለት	Ch’alī YeTerara Ch’af	Ch'ali YeTerara Ch'af
	Ciali	Ciali
	Chalia	Chalia
ጫላ	Challa	Challa
	Gebel Challa	Gebel Challa
	Ch’alma	Ch'alma
ጫልቴ	Ch’altē	Ch'alte
ጫልቱ	Ch’altu	Ch'altu
	Oberache	Oberache
	Ch’amak’	Ch'amak'
	Chami	Chami
ጫሞ	Ch’amo	Ch'amo
	Gubi Scianni	Gubi Scianni
	Sciama	Sciama
	Lake Chama	Lake Chama
	Lake Chamo	Lake Chamo
ጫማ ሐይቅ	Ch’amo Hāyk’	Ch'amo Hayk'
	Lago Ciamò	Lago Ciamo
	Gangiule	Gangiule
	Lake Ruspoli	Lake Ruspoli
	Lake Shamo	Lake Shamo
	Chamuk	Chamuk
	Ch’an	Ch'an
	Chana Qawchi	Chana Qawchi
	Ch’anch’ayo	Ch'anch'ayo
