# Amharic Name	FULL_NAME	FULL_NAME_ND
አባይ	Ābay	Abay
አባ	Abba	Abba
ራስ አባይ	Ras Ābay	Ras Abay
ራስ አቤ	Ras Abbai	Ras Abbai
	Lake Abaya	Lake Abaya
አባያ ሐይቅ	Ābaya Hāyk’	Abaya Hayk'
አባ	Abba	Abba
አባያ	Abbaia	Abbaia
	Lake Abbaya	Lake Abbaya
	Margarita	Margarita
	Margerita	Margerita
	Lake Margherita	Lake Margherita
	Pagade	Pagade
አባያ እሳተ ገሞራ የፈለቀበት	Ābaya Isate Gemora YeFelek’ebet	Abaya Isate Gemora YeFelek'ebet
	Ābaya Isate Gemra Ye’felek’ebet	Abaya Isate Gemra Ye'felek'ebet
አባዬ	Ābayē	Abaye
	Abae	Abae
	Ābaye Āt’ir	Abaye At'ir
	Ābaye Āt’r	Abaye At'r
	Ābay Hāyk’	Abay Hayk'
	Āba Yonīs	Aba Yonis
	Ābay Shet’	Abay Shet'
	Sagar	Sagar
	Ābay Yilas	Abay Yilas
	Ābay Zinamba	Abay Zinamba
	Abba	Abba
	Abbacialti	Abbacialti
	Aba Ciotte	Aba Ciotte
	Abba Ciotte	Abba Ciotte
አባ ጉባ	Abba Guba	Abba Guba
	Abba Gubba	Abba Gubba
	Amba Abba Gubba	Amba Abba Gubba
	Abbe Bad	Abbe Bad
	Abbedda	Abbedda
	Abedda	Abedda
	Abbedda	Abbedda
	Abedda Passo	Abedda Passo
	Abbote	Abbote
	Abchekli	Abchekli
	Abchikile	Abchikile
	Abchikili	Abchikili
	Ābchu	Abchu
	Abagada	Abagada
	Ābdela	Abdela
	Avdalla	Avdalla
	Aba Abdella	Aba Abdella
	Ābdela	Abdela
	Ābdela	Abdela
	Ābderafī	Abderafi
	Abder Rafi	Abder Rafi
	Abderraft	Abderraft
	Ābdera Merk’oyos Bēte Kristīyan	Abdera Merk'oyos Bete Kristiyan
አብዲ	Ābdī	Abdi
	Ābdī	Abdi
አብዲ ብሩ	Ābdī Beru	Abdi Beru
አብዲ ጋራ	Ābdī Gara	Abdi Gara
አብዲ ሮባ	Ābdī Roba	Abdi Roba
	Ābdī Se’īd	Abdi Se'id
	Ābdo	Abdo
	Monte Abdoi	Monte Abdoi
	Ābdoy Terara	Abdoy Terara
	Scek Abdoi	Scek Abdoi
	Abduana	Abduana
አብዱላ	Abdula	Abdula
	Abdula	Abdula
አብዱላህ	Abdulah	Abdulah
	Ābdula	Abdula
አብዱላሂ	Ābdulahī	Abdulahi
አብዱቃሂ	Abdulakhi	Abdulakhi
አብዱል ቃዲር	Ābdul K’adir	Abdul K'adir
አብዱቃዲር	Abdul’kadyr	Abdul'kadyr
አበባዬ	Ābebayē	Abebaye
አበበ	Ābēbē	Abebe
	Ābēbē	Abebe
	Ābēbē	Abebe
	Ābēbē	Abebe
አበበ ጊዮርጊስ ቤተክርስቲያን	Ābēbē Gīyorgīs Bēte Kristīyan	Abebe Giyorgis Bete Kristiyan
	Ābē Buko	Abe Buko
	Ābeda Mīka’ēl Bēte Kristīyan	Abeda Mika'el Bete Kristiyan
	Ābeda Shet’	Abeda Shet'
አባዲ ሚካኤል ቤተክርስቲያን	Ābede Mīka’ēl Bēte Kristīyan	Abede Mika'el Bete Kristiyan
	Ābek’at	Abek'at
	Ābek’estī	Abek'esti
አቤል	Ābel	Abel
	Abala	Abala
	Ābela	Abela
	Ābēla Līda	Abela Lida
	Adela	Adela
	Auela	Auela
	Avela	Avela
	Ābela Tekil	Abela Tekil
	Ābelt	Abelt
	Sciarsciama	Sciarsciama
	Abalti	Abalti
	Ābeltī	Abelti
	Ablti	Ablti
	Ābeltī Ābo Bēte Kristīyan	Abelti Abo Bete Kristiyan
	Ābemso Shet’	Abemso Shet'
	Abemsa-Shet	Abemsa-Shet
	Abena	Abena
	Ābena Bota	Abena Bota
	Ābena YeTerara Senselet	Abena YeTerara Senselet
	Ābeno Shet’	Abeno Shet'
	Ābēnyendē	Abenyende
	Abenyendu	Abenyendu
