#Amharic Name	Latin Transcription	ASCII Transcription
መዘምር ኃይሉ	Mäzämer Haylu	Mezemur Hailu
መዝገቡ አባተ	Mäzgäbu Abatä	Mezegebu Abate
መጽሐፍ ቅዱስ	Mäshaf Qeddus	Metsehaf Kidus
ሙሉ ሰው ምትኩ አዛዥ	Mulu-Säw Meteku	Azzaz Mulusew Mitiku Azzaz
ሙሉጌታ መልከ ጻድቅ	Mulugéta Mälkä-Sadéq	Mulugeta Melke Tsedek
ሙሉጌታ ሠምሩ	Mulugéta Sämru	Mulugeta Semru
ሙሉጌታ ቀጸላ	Mulugéta Qäsäla	Mulugeta Kessela
ሙሉጌታ ኃይሌ	Mulugéta Haylé	Mulugeta Haile
ሙሉጌታ ገብረ ወልድ	Mulugéta Gäbrä-Wäld	Mulugeta Gebre Wold
ሙላቱ ድጉማ	Mulatu Deguma	Mulatu Diguma 
ሙላቱ ገብሩ	Mulatu Gäbru	Mulatu Gebru
ሙሐሙድ ሣኒ ሐቢብ	Muhammäd Sani Habib	Mohammed Sani Habib
ሙራድ ካሜል /ዶክተር/	Murad Kamil, Dr	Murad Kamil, Dr	Non-Ethiopian
ሙሳ/ሣ/ አሮን	Musa Aron	Musa Aron
ሚሊዮን ነቅንቅ	Miliyon Naqneq	Milion Neknk
ማህሌት ጓጃላ	Mahlét Gwäjala	Mahlet Gojela
ማሞ ሥዩም /ፊታውራሪ/	Mammo Seyyum	Mammo Seyoum
ማሞ ወልደ ሰንበት	Mammo Wäldä-Sänbät	Mammo Wolde Senbet
ማሞ ወልዴ	Mammo Wälde	Mammo Wolde
ማሞ ውድነህ	Mammo Weddenäh	Mammo Wudineh
ማሞ ጨርቃ	Mammo Čorqa	Mammo Chorka
ማርታ ንዋይ	Marta Neway	Marta Niway
ማርቆስ ዳውድ /ቄስ/	Marcos Daoud,	Marcos Daoud, Prêtre	Non-Ethiopian
ማቴዎስ ሐጐስ	Matéwos Hagos	Matewos Hagos
ማቴዎስ በቀለ	Matéwos Bäqqälä	Matewos Bekele
ማኅተመ ሥላሴ ወልደ መስቀል /ባላምበራስ/ብላቴን ጌታ/	Mahtama-Sellasé Woldä-Mäsqäl	Mahteme-Sellassie Wolde Meskel
ማን እኩልህ ሞረሽ	Manekuleh Morräš	Manikuleh Moresh
ማእሙን መሕዲ	Maemun Mähdi	Maamun Mehidi
ማዕረጉ በዛብህ	Maérägu Bäzzabbeh	Maeregu Bezabih
ሜሪ ታደሰ	Méry Taddäsä	Merry Taddese
ሜናዥ፣ቪ ኤል	Menage, Victor L	Menage, Victor L	Non-Ethiopian
