#Amharic Name	Latin Transcription	ASCII Transcription
አማረ ወርቁ	Amarä Wärqu	Amare Worku
አማረ ጌታሁን	Amarä Getahun	Amare Getahun
አማኑኤል አብርሃም	Amanuel Abrham	Amanuel Abrham
አምሳለ ወርቅ ኃይለማርያም	Amsalé-Wärq Haylä Maryam	Amsale Work Hailemariam
አምባዬ ሀብተ እግዚእ	Ambayé Habtä-Egzi	Ambaye Habte-Egzi
አምደሚካኤል ደሳለኝ	Amdämikael Dässaläň	Amdemichael Dessalegn
አሥራተ ማርያም የምሩ	Asratä-Maryam Yämerru	Asrate Mariam Yemiru
አሥራት ታደለ	Asrat Taddälä	Asrat Tadele
አሥራት ወልዴ	Asrat Wäldé	Asrat wolde 
አሥራት ወንድምአገኘሁ	Asrat Wändemmagänähu	Asrat Wondmagegnehu
አሥራት ገብረ ጻድቅ	Asrat Gäbrä-Sadeq	Asrat Gebretsadik
አረጋሽ ወልደ ሥላሴ	Arägaš Wäldä-Sellase	Aregash Wolde selassie 
አረጋሽ ገዳሙ	Arägäs Gädamu	Aregash Gedamu
አረጋኸኝ ወንድምአገኘሁ	Aräggahäň Wändemmagäňähu	Aregahegn Wondimagegnehu
አርአያ በላይ	Araya Bälay	Araya Belay 
አርጋው ወንድሜነህ	Argaw Wändemmenäh	Argaw Wondmeneh
አሰፋ መልኬ	Asäffa Mälké	Asefa Melke
አሰፋ ሰብስቤ	Asäffa Säbsebé	Asefa Sebsibe
አሰፋ በላይ	Asäffa Bälay	Asefa Belay 
አሰፋ ተክለኃይማኖት	Asäffa Täklä Haimanotéé	Asefa Tekle Haymanot
አሰፋ ተፈሪ	Asäffa Täfäri	Asefa Teferi 
አሰፋ ኃይለ መሥቀል	Asäffa Haylä-Mäsqäl	Asefa Haile Meskel
አሰፋ አየለ	Asäffa Ayyälä	Asefa Ayele
አሰፋ ወልደ ሚካኤል	Asäffa Wäldä-Mikael	Asefa Wolde Michael
አሰፋ ወንድምአገኘሁ	Asäffa Wondemmagäňahu	Asefa Wondmagengnehu
አሰፋ አለማየሁ	Asäffa Alämayyähu	Asfa Alemayehu
አሰፋ ይርጉ	Asäffa Yergu	Asefa Yirgu
አሰፋ ገብረማርያም	Asäffa Gäbrä-Maryam	Asefa Gebre Mariam
አሳዝነው ባይሳ	Asazzänäw Baysa	Asazinew Baisa
አስረስ ተሰማ	Asräs Täsämma	Asres Tesemma
አስረስ አስፋወሰን	Asräs Asfawasän	Asres Asfawosen
አስረስ የኔ ሰው	Asräs Yäné-Säw	Asres Yenesew
አስናቀ ጌታቸው	Asnaqä Getaččäw	Asnake Getachew 
አስገዶም ረዳ /ግራዝማች/	Asgädom Rädda	Asgedom Redda
አስፋው ሺበሺ	Asfaw Šibäsi	Asfaw Shibeshi
አስፋው ተፈራ	Asfaw Täfarra	Asfaw Tefera
አስፋው ቸርነት	Asfaw Čärennät	Asfaw Cherinnet
አስፋው ወሰን መካሻ	Asfaw Wäsän Makaŝa	Asfaw Wossen Mekasha
አሸብር ገብረሕይወት /ባላምባራስ/	Aśšäbber Gäbrä Heywät	Ashebir Gebrehewot
አሸናፊ ከበደ	Ašännafi Käbbädä	Ashenafi Kebede
አሸናፊ ጌታሁን	Asännafi Getahun	Ashenafi Getahun
አሻግሬ ታደሰ	Aŝŝagre Taddäsä	Ashagre Tadesse
አበራ ሞልቶት	Abärra Moltot	Abera Moltot
አበራ ጀምበሬ	Abärra Jämbäré	Abera Jembere
አበራ ገብረ መድኅን	Abärra Gäbrä-Mädhen	Abera Gebre Medhin
አበራ ገብረሚካኤል	Abärra Gäbrä-Mikaél	Abera Gebre Michael
አበበ ብዙነህ	Abbäbä Bezunäh	Abebe Bizuneh
አበባ ንጉሤ	Abbäbä Negusé	Abeba Negussie
አበባ አይቸህ	Abbäbä Ayččäh	Abeba Aycheh
አበበ ወልደሚካኤል	Abbäbä Wäldä-Mikaél	Abebe Wolde Michael
አበባ ወልደ ሩፋኤል	Abbäbä Wäldä-Rufaél	Abeba Wolde Rufael
አበባ ተስፋ ጊዮርጊስ	Abäba Täsfa Giyorgis	Abeba Tesfa Giorgis
አበባው ይግዛው	Abäbaw Yegzaw	Abebaw Yigzaw 
አቢይ ደምሴ	Abiy Dämessé	Abiy Demesse
አባቡ አደጉ	Abbabbu Addägu	Ababu Adegu
አቤ ጉበኛ	Abbé Gubaňa	Abbe Gubegna
አብርሃም አስገዶም	Abrham Asgädom	Abrham Asgedom
አብርሃም ዘርፉ	Abrham Zärfu	Abrham Zerfu
አብርሃም ፀጋዬ	Abrham Şäggayé	Abrham Tsegaye
አብርሃ ረዳ ጻድቅ	Abrha Rädda-Şadeq	Abrha Reda Tsidk
አብርሃ ገብረ ሕይወት	Abrha Gäbrä-Heywät	Abrha Gebre Hiwot 
አብርሃ ገብራይ	Abrha Gäbray	Abrha Gebray
አብዱል ባሪእ መሐመድ	Abdul Bari Mähamäd	Abdul Bari Mohammed
አብዲሳ አጋ	Abdissa Aga	Abdissa Aga
አንተነህ ዓለሙ	Antänäh Alämu	Anteneh Alemu
አእምሮ ንጉሤ	Aemero Negusé	Aymro Negusse
አእምሮ ወንድምአገኘሁ	Aemero Wändemmagäňähu	Aymro wondimagegnehu
አክበር ፈረደ	Akbbär Färrädä	Akber Ferede
አክሊለ ብርሃነ ወልደ ቂርቆስ /ሊቀ ጠበብት/	Aklilä Berhan Wäldä-Qirqos	Aklila Berhan Welde Kiros 
አዛናው ዓለሜ	Aznaw Alämé	Azanaw Aleme 
አየለ ተክለኃይማኖት /ዶክተር/	Ayyälä Taklä-Haymanot	Ayele Tekle Haimanot
አየለ ኪዳኔ	Ayyälä Kidané	Ayele Kidane
አየለ ዘለለው	Ayyälä Zälläläw	Ayele Zelelew
አየለ ገብሩ	Ayyälä Gäbru	Ayele Gebru 
አያሌው በለው	Ayyaléw Bäläw	Ayalew Belew 
አያሌው ተሰማ	Ayyaléw Täsämma	Ayalew Tesemma
አያሌው ታምሩ	Ayyaléw Tammeru	Ayalew Tamiru
አያሌው አርአያ	Ayyaléw Araya	Ayalew Araya
አያሌው ገብረ ሥላሴ	Ayyaléw Gäbrä-Sellasé	Ayalew Gabre Selassie 
አዲስ አበባ መድኃኒዓለም ት/ቤት	Addis Ababa Mädhané Aläme Temehert Bét	Addis Ababa Medhane Alem Temhert Bet
አዲስ አበባ ሽመልስ ሀብቴ ት/ቤት	Addis Ababa Šimälles Habté Temehert Bét	Addis Ababa Shimelis Habte Temhert Bet 
አዲስ አበባ ቀዳማዊ ኃይለ ሥላሴ ቲያትር	Addis Ababa Qädamawi Haile Sellassie Tiyatér	Addis Ababa Kedamawi Haile Sellassie Tiater
አዲስ አበባ ቤተ መንግሥት	Addis Ababa Bétä Mängest	Addis Ababa Bet Mengist
አዲስ አበባ የሕዝብ ቆጠራ ሪፖርት	Addis Ababa Yahezb Qotära Riport	Addis Ababa Yehizb Kotera Riport
አዲስ አበባ ዩኒቨርስቲ	Addis Ababa Yunivärsiti	Addis Ababa Yuniversiti
አዲስ አበባ ያገር ፍቅር ማኅበር	Addis Ababa Yagär Feqer Mahbär	Addis Ababa Yager Feker Mahber
አዳነ ጐላ	Adanä Gwalla	Adane Golla
አድማሱ ጀንበሬ	Admasu Janbäré	Admassu Jenbere 
አድማሱ ጀምበሬ /መልአከ ብርሃን/	Admasu Jambré	Admassu Jembere 
አድኃኖም ሥእሎ	Adhannom Séllo	Adhanom Sélo 
አድነው ዘውዴ	Adenäw Zäwde	Adenew Zewde 
አድነው ገብረ መስቀል /ሻንበል/	Adenäw Gäbrä-Mäsqäl	Adenew Gebre Meskel
አጉስጢኖስ ዘሔቦ /አባ/	Agustinos Zähebo	Agustinos Zehebo
አፈወርቅ ዘውዴ	Afäwarq Zäwdé	Afeworke Zewde
አፈወርቅ ዮሐንስ	Afäwärq Yohannes	Afeworke Yohanes
አፈወርቅ ገብረ ኢየሱስ /ነጋድራስ/	Afäwärq Gabrä-Yessus	Afeworke Gebre Yesus
አፈወርቅ ፈለቀ	Afäwärq Fälläqä	Afework Feleke
ኢላላ ኢብሳ	Ilala Ibsa	Ilala Ebsa
ኢሳይያስ ዓለሚ	Isayyas Alämé	Isayeyas Alemé
ኢሳይያስ ገብረ ሥላሴ /ኰሎኔል/	Isayyas Gäbräsellasé	Isayas Gebre Selassie
ኢትዮጵያ፣ ሕዝባዊ ኑሮ እድገት ሚኒስቴር።	Ethiopia, Hezbawi Nuro Edgät Ministér	Ethiopia, Hezibawi Nuro Idigate Ministér
ኢትዮጵያ፣ መከላከያ ሚኒስቴር	Ethiopia, Mäkkälakäya Ministér	Ethiopia, Makelakeya Minister
ኢትዮጵያ፣ ማስታወቂያ ሚኒስቴር	Ethiopia, Mastawaqiya Ministér	Ethiopia, Mastawekia Minister
ኢትዮጵያ፣ ትምህርት ሚኒስቴር	Ethiopia, Temehert Ministér	Ethiopia, Temhert Minister
ኢትዮጵያ፣ ንግድ ባንክ	Ethiopia, Negd Bank	Ethiopia, Negid Bank
ኢትዮጵያ፣ ኤሌክትሪክ ማብራት ኃይል ባለስልጣን	Ethiopia, Electrik Mebrat Hayl Balä-Seltan	Ethiopia, Electric Mebrat Hayl Bale Seltan
ኢትዮጵያ፣ እርሻ ሚኒስቴር	Ethiopia, Erša Minister	Ethiopia, Ersha Ministér
ኢትዮጵያ፣ ኦርቶዶክስ ቤተ ክርስቲያን	Ethiopia, Ortodox Betä Kerstiyan	Ethiopia, Ortodox Bete Kristian
ኢትዮጵያ፣ ወንጌላዊት ቤተ ክርስቲያን	Ethiopia, Wangelawit Béta Kerstiyan	Ethiopia, Wengelawit Bete Kristian
ኢትዮጵያ፣ የሁለተኛው የአምስት አመት ፕላን	Ethiopia, Yähulätäňňaw Yammest Amät Plan	Ethiopia Yehuletegnawe Yeameste Amet Plan
ኢትዮጵያ፣ የሕዝብ ጤና ጥበቃ	Ethiopia Yähezb Tena Tebbäqa	Ethiopia, Yehezb Tenat Tebeka
ኢትዮጵያ፣ የክብር ዘበኛ ሠራዊት	Ethiopia, Yakebr Zäbäňa Sarawit	Ethiopia, Yekber Zebegna Serawit
ኢትዮጵያ፣ የግርማዊ ንጉሠ ነገሥት ካቢኔ	Ethiopia, Yagermawi Negusä Nägäst Kabiné	Ethiopia, Yegermawi Neguse Nagest Kabine
ኢትዮጵያ፣ የፍትሐ ብሔር ሕግ	Ethiopia, Yäfethabehér Heg	Ethiopia Yefethabiher Hege
ኢትዮጵያ፣ የፍትሕ ብሔር ሥነ ሥርአት ሕግ	Ethiopia, Yafethabehér Senä Serat Heg	Ethiopia Yefethabher Sene Serate Hege
ኢትዮጵያ፣ የፕብሊክ አድሚኒስትሬሽን ኢንስቲትዪት	Ethiopia, Yapublic Administration Institute	Ethiopia, Yepeblik Adminstration Institute
ኢትዮጵያ፣ ያገር ግዛት ሚኒስቴር	Ethiopia, Yagär Gizat Ministér	Ethiopia Yeager Gizat Minister
ኢትዮጵያ፣ ገንዘብ ሚኒስቴር	Ethiopia, Gänzäb Ministér	Ethiopia Genzeb Minister
ኢትዮጵያ፣ ገቢ ሚኒስቴር	Ethiopia, Gebbi Ministér	Ethiopia, Gibbi Minister
ኢትዮጵያ፣ ጤና ጥበቃ ሚኒስቴር	Ethiopia, Tena Tabbaq Ministér	Ethiopia, Tena Tebeka Minister
ኢትዮጵያ፣ ፓርላሜንት	Ethiopia, Parliamént	Ethiopia, Parliament
ኢትዮጵያ፣ ፖሊስ ሠራዊት	Ethiopia, Polic Särawit	Ethiopia, Police Serawit
ኢትዮጵያ፣ ፖስታ ሚኒስቴር	Ethiopia, Postal Ministér	Ethiopia, Posta Ministér
ኢያሱ አስፍሐ	Eyyasu Asfeha	Eyasu Asfeha 
ኤልያስ በሻህ	Elyas Bäŝah	Elias Beshahe
ኤሬክስን፣ ኡል	Erisksson, Olle	Erikesson,Olle	Non-Ethiopian
ኤርትራ ማዘጋጃ ቤት	Eretra Mazzägaja Bét	Eritria Mazegaga Bet
ኤርትራ የንጉሠ ነገሥት እንደራሴ ጽ/ቤት	Eretra Yänegusä Nägäst Endärasé Sehfät Bét	Eritrea, Yeneguse Negeste Enderassie Tsehfet Bet
ኢዘንበርግ ቻርልስ፣ ዊልያም	Isenberg, Charles William	Isenberg, Charles William	Non-Ethiopian
ኤፍሬም ፀሐይ	Efrém Şahay	Efrem Sehay
እምሩ ኃይለ ሥላሴ /ልዑል ራስ/	Emmeru Haile Sellassie	Imeru Haile Selassie
እምሩ ዘለቀ	Emmeru Zälläqä	Imeru Zelleke
እስጢፋኖስ ጋይም	Estifanos Gaym	Estiphanos Gaim
እሸቴ ባዩ	Ešäté Bayyu	Eshete Bayu 
እሸቴ ደምሴ	Ešaté Damessé	Eshete Demisse
እናኑ አጐናፍር	Ennannu Agwänafer	Enanu Agonafer
እንደሻው ተክለ ሥላሴ	Endaššaw Taklä-Sellasé	Endeshaw Tekle Selassie
እንድርያስ /አቡነ/	Endreyas Abunä	Endrias, Abune
እንግዳ ጽጌ ሐና	Engeda Şegé Hanna	Engeda Tsige Hanna
እጓለ ገብረ ዮሐንስ	Egwalä Gäbrä-Yohannes	Eguale Gebre Yohannes 
ከማል ሐጂ	Kämal Haĝi	Kemal Haji
ከበደ ሀብተ ማርያም	Käbbädä Habtä-Maryam	Kebede Habte Mariam
ከበደ መንገሻ	Käbbädä Mängäša	Kebede Mengesha
ከበደ ሚካኤል	Käbbädä Mikaél	Kebede Michael
ከበደ ተድላ	Käbädä Tädla	Kebede Tedla
ከበደ እንግዳሰው	Käbbädä Engedasäw	Kebede Engedasew
ከበደ ወልደ ሚካኤል	Käbbädä Wäldä-Mikaél	Kebede Wolde Michael
ከበደ ወልደ ጻድቅ	Käbbädä Wäldä-Şadeq	Kebede Wolde Tsadik
ከበደ አለሙ	Käbbädä Alämu	Kebede Alemu
ከበደ ደስታ	Kabbädä Dästa	Kebede Desta
ከበደ ገብረ ጊዮርጊስ	Käbbädä Gäbra Giorgis	Kebede Gebre Giorgis
ከበደ ገብሬ	Käbädä Gäbré	Kebede Gabre
ከተማ ደስታ	Kätäm Dästa	Ketema Desta
ኩማ ኢደኤ	Kumma Eddaé	Kumma Edaé
ኪዳነ ማርያም	Kidanä-Maryam	Kidan Mariam
ኪዳነ ማርያም ወልደ ሚካኤል /አባ/	Kidanä-Maryam Walda-Mikaél	Kidane-Mariam Wolde-Mikael
ኪዳነ ማርያም ገብረ ሕይወት /መምህር/	Kidanä-Maryam Gäbrä-Heywat	Kidane-Mariam Gebre Hiywot
ኪዳነ ማርያም ጌታሁን	Kidanä Maryam Getahun	Kidane-Mariam Getahun
ኪዳነ ወልድ ክፍሌ /አለቃ/	Kidanä Wold Kiflé	Kidane Wold Kifle
ካሳ ኃይሉ	Kasa Haylu	Kassa Hailu
ካሳዬ ስብሐት ለአብ	Kasayé Sebhat-Lab	Kassaye Sebhate-Laab
ካሳው ወርቅነህ	Kasaw Warqenäh	Kassaw Workneh
ካሳ ፈድሉ	Kasa Fädlu	Kassa Fedlu
ካርል ጉስታብ ሩጐን	Carl Gustav R	Karl Gustav Rugon	Non-Ethiopian
ክበበው ደቃ	Kebäbäw Däqa	Kibebew Daka
ክንፈ ተስፋ ጋብር	Kenfä Täsfa-Gaber	Kinfe Tesfa Gabre
ክንፉ ኪዳኔ	Kenfu Kidané	Kinfe Kidane
ክፍለ እግዚህ ይሕደጎ /ብላታ/	Kifla Igzi Yihidägo	Kifle Egzi Yihidago
ክፍሌ ወርቁ	Keflé Wärqu	Kifle Worku
ክፍሌ ወርካዬ	Keflé Wärkayé	Kifle Workaye
ወልደ ክርስቶስ በቀለ	Waldä-Kerstos Bäqqälä	Wolde Kirstos Bekele
ወልደ ትንሣኤ አባይ	Wäldä-Tensaé Abay	Wolde Tensaye Abai
ወልደ አማኑኤል ቸሩ	Wäldä-Amanuel Čäru	Wolde-Amanuel Cheru
ወልደ አብርሃም /አባ/	Wäldä Abrham	Wolde Abrham
ወልደ ገብርኤል አሠጌ	Wäldä-Gabrél Assäggé	Wolde Gabriel Assagge
ወልደ ጊዮርጊስ ወልደ ዮሐንስ /ብላታ/	Wäldä-Giyorgis Wäldä-Yohannes	Wolde Giorgis Wolde Yohannes
ወርቄ ዘውዴ	Wärqé Zäwdé	Werkie Zewde
ወርቅነህ /ሐኪም/	Wärqenäh Hakim	Workeneh (Hakim)
ወሰኔ ይፍሩ	Wäsäné Yefru	Wessene Yiferu
ወንድሙ ገብረሚካኤል	Wändemmu Gäbrämikaél	Wondimu Gebremikael
ወንድማገኝ ኃይሉ	Wändemmagäň Haylu	Wondemagn Hailu
ወንድአየሁ ሀብተ ገብርኤል	Wandayyähu Habtä-Gabrél	Wondayehu Habte Gebriel
ወንድ ይራድ ይመር	Wändyerad Yemär	Wondyerad Yemer
ወንጂ ስኳር	Wonji Sekwar	Wonji Sekewar
ወደር የለሽ ማይክል	Wädär-Yälläš Maykel	Weder Yellesh Maykel
ወደር የለሽ ከበደ	Wädär Yälläš Käbbädä	Wederyellesh Kebede
ወዳጄነህ ወልደ ሥላሴ	Wädajenäh Wäldä-Sellasé	Wedajeneh Wolde Selassie
ውበት /ግራዝማች/ ውበቴ	Webät Webäté	Webet Webete
ዐምደ ሚካኤል ደስአለኝ	Amdä-Mikaél Dässaläň	Amdemichael Dessalegn
ዐሥራተ ማርያም /አባ/	Asratä-Maryam	Asrat-Mariam (Abba)
ዐይነ ዓለም ገብረማርያም	Aynä-Aläm Gäbrä Maryam	Aynalem Gabre Mariam
ዓለመወርቅ ደፈረስ /የከብት ሐኪም/	Alämä-Wärq Däfärräsä	Alemework Deferese Beyene
ዓለሙ ደስታ	Alämu Dästa	Alemu Desta
ዓለማየሁ ሞገስ	Alämayyähu Mogäs	Alemayehyu Moges
ዓለማየሁ ብሩ	Alämayyähu Beru	Alemayehu Biru 
ዓለማየሁ አሰፋ	Alämayyähu Asffaw	Alemayehu Asefa
ዓለማየሁ ኪዳኔ	Alämayyähu Kidané	Alemayehu Kidanie 
ዓለማየሁ ገብሩ	Alämayyähu Gäbru	Alemayehu Gebru 
ዓለማየሁ ጥላሁን	Alämayyähu Telahun	Alemayehu Telahun 
ዓለማየሁ ፈጠነ	Alämayyähu Fättänä	Alemayehu Fetene
ዓሊ ከበደ	Ali Käbbädä	Ali Kebede
ዕቁባ ቴዎድሮስ ገብረ አምላክ	Equbä Tewodros Gäbrä-Amlak	Ekube-Tewodros Gebre Amlak
ዓምደ ሚካኤል ማሎ	Amdä-Mikaél Malo	Amde-Michael Malo
ዓምደ ሥላሴ ጀምበሬ	Amdä-Sellasé Ğämbäré	Amdeselassie Jembere
ዓምደ ጽዮን ተሰማ	Amdä-Şeyon Täsämma	Amdesion Tesema
ዕቁባ እግዚእ ገብረ ሚካኤል	Equba-Egzi Gäbrä-Mikaél	Ekubaegzi Gebremichael
ዑቅባይ ወልደ ገብርኤል	Uqbay Wäldä-Gäbrél	Ekubay Woldegebriel
ዘለቀ ታፈሰ	Zälläqä Taffäsä	Zeleke Tafese
ዘለቀ እውነቱ	Zälläqä Ewnätu	Zeleke Ewnetu
ዘመነ ካሠኝ	Zämänä Kasäň	Zemene kasegn
ዘመንፈስ ቅዱስ አብረሃ	Zämänfäs Qeddus Abrha	Zemenfeskedus Abraha
ዘርኦም ክፍሌ	Zärom Keflé	Zerom Kiflie
ዘነበ ኢትዮጵያዊ	Zännäbä Ityopyawi	Zenebe Ethiopiawi
ዘካሪያስ ገብረ ሥላሴ	Zäkkaryas Gäbrä-Sellasé	Zekarias Gebreselasie
ዘገብርኤል ወዳጆ	Zägäbrél Wädajo	Zegebriel Wodajo
ዘውዲቱ አሸብር	Zäwditu Aššäber	Zewditu Asheber
ዘውዱ ወርቁ	Zäwdu Wärqu	Zewdu Worku
ዘውዴ ታደሰ	Zäwde Taddäsä	Zewdie Tadese
ዘውዴ ካሕሣይ	Zäwde Kahsay	Zewdie Kahsay
ዘውዴ ወልደ ቂርቆስ	Zawdé Wäldä-Qirqos	Zewdie Woldekirkos
ዘውድነሽ ዓለሙ	Zäwdenäš Alämu	Zewdnesh Alemu
ዘውገ ተገኘ ወርቅ	Zäwgä Tägäňä Wärq	Zewge Tegegnework
ዜና መዋዕል	Zena Mäwael	Zena Mewael
ዜና ማርቆስ እንዳለው	Zena Marqos Endaläw	Zenamarkos Endalew
የሁሉም ይማር ድርጅት	Yahullum Yemmar Derejjet	Yehulum-Yemar Derjet
የሐረርጌ ጠ/ግ የሥራ ዲሬክሲዮን	Yeharärgé Täqlay Gezat Yäsera Direksiyon	Yeharegie Teklay Gezat Yesera Direksion
የሕፃናት ምግብ ጥናት ክፍል	Yahesanat Megeb Tinat Kefl	Yehetsanat Megeb Tenate Kefel
የመርሐ ዕውራን ትምህርት ቤት	Yämärha Ewweran Temehert Bét	Yemerha-Eweran Temhert Biet
የመተባበር ማኅበር	Yämättäbabär Mahbär	Yemetebaber Mahber
የመንበረ ፀባዖት ቅድስት ሥላሴ ካቴድራል ጽ/ቤት	Yämänbärä Şabaot Qeddest Sellase Katédral Sehefät Bét	Yemenberetsebaot Kedest Selassie Cath
የመጽሐፍ ቅዱስ ማኅበር	Yämäshaf Qeddus Mahbär	Yemetshaf Kedus Mahber
የማነ ብርሃን እጅጉ	Yämanä-Berhan Ejjegu	Yemaneberhan Ejigu
የማነ ብርሃን ጌታነህ	Yamanä-Berhan Gétanäh	Yemaneberhan Getaneh
የማነ ክርስቶስ ይርጉ	Yämanäkerstos Yergu	Yemanekerstos Yirgu
የማነ ገብረ ማርያም	Yamanä Gäbrä-Maryam	Yemane Gebremariam
የምስራቅ ኦርቶዶክስ አብያተ ክርስቲያናት መሪዎች ጉባኤ	Yamesraq Ortodox Abyatä Kerstiyanat Mariwoč Gubaé	Yemesrak Ortodox Abiate-Kerestianat Gubae
የምስራች ድምፅ ሥነ ጽሑፍ ድርጅት	Yamessrač Demş Senä Sehuf Derejjet	Yemeserachdemts Senessehuf Derejit
የሠራዊተ ክርስቶስ ማህበር	Yäsärawitä Kristos Mahbär	Yeserawite Kristos Mahber
የሰውልክ አያሌው	Yäsäwlek Ayyaléw	Yesewlik Ayalew
የሱፍ አብድረህማን ፤ ሐጂ	Yäsuf Abderahman /Haji/	Yesuf Abdurahman Haji
የሺመቤት ተፈሪ	Yaši Emmäbet Täfäri	Yeshimebet Teferi
የቀኃይለ ሥላሴ ሽልማት ድርጅት	Yäqädamawi Haile SŠellemat Derejjet	Yekedamawi Haileselasie Shilimat Derjet
የቀኃይለ ሥላሴ በጎ አድራጐት ድርጅት	Yäqädamawi Haile S Bägo Adragot Derejjet	Yekedamawi Haile Selassie Bego Adragot Derejjet
የቀኃይለ ሥላሴ ጦር አካዳሚ	Yäqädamawi Haile S Ţor Akadami	Yekadamawi Haile Sellassie Tor Akadami
የቃለ ሕይወት ሥነ ጽሑፍ ድርጅት	Yäqalä Heywät Senä Sehuf Derejjet	Kale Hiwot Sene Sehuf Derjjet
የቅዱስ መጽሕፍት አንባቢዎች ማኅበር	Yäqeddusan Mäsaheft Anbabiwoč Mahbär	Yekdusat Mesaheft Anbabiwoch Mahber
የቅዱስ ዮሐንስ የወጣቶች አንድነት ማኅበር	Yäqeddus Yohannes Yäwaţţatoč Andennät Mahbär	Yekdus Yohannes Yawattatoch Andennet Mahber
የቤተ መጻሕፍት ወመዘክርና የአረኪዎሎጂ ዋና መሥሪያ ቤት	Yäbetä Mäsaheft Wämäzä-kerenna Yarkiwoloji Wanna Mäsriya Bét	Yebete Mesaheft Wemezekere Yarkiwoloji Wanna Meseria Bét
የባሕር ዳር የጥጥ ፋብሪካ አክሲዮን ማሕበር	Yäbaher Dar Yatet Fabrika Aksiyon Mahbär	Yebaher Dar Yetet Fabrika Aksion Mahber
የተምሮ ማስተማር ማኅበር	Yätämero Mastamar Mahber	Yetmero Mastemar Mahber
ታደመ ዘለቀ	Taddämä Zälläqä	Taddeme Zelleke
የኋላ ወርቅ ወልደየስ	Yähwala-Wärq Wäldäyyäs	Yehwala Werke Woldeyes
የኢትዮጵያ አስታሚዎች አክሲዮን ማኅበር	Yäityopya Asattamiwoč Aksiyon Mahbär	Yeityopya Astemamiwoch Aksion Mahbar
የኢትዮጵያ ኮሌጆች ተማሪዎች	Yaityopa Kollijoč Tämäriwoč	Yeityopya Kollejoch Temariwoch
የኢትዮጵያ የትምህርት ቤቶች የስፖርት ማኅበር	Yaityopya Yätemehert Betoč Yäsport Mahbär	Yeityopya Yetemheret Betoch Yesport Mahber
የኢትዮጵያ የንብረት ማልሚያ የአክሲዮን ማኅበር	Yaityopya Yänebrät Malmiya Yaksiyon Mahbär	Yeityopya Yenebret Malmia Yeaksion Mahber
የኢትዮጵያ የፈረስ እሽቅድምድም ማኅበር	Yaityopya Yäfaräs Ešqededem Mahbär	Yeityopya Yeferes Eshkedemdem Mahber
የኢትዮጵያ የፈረንሳይ የምድር ባቡር ኩባንያ	Yaityopya Yäfäränsay Yämder Babur Kubbaneyya	Yeityopya Yeferensay Yemeder Babour Kubania
የኤርትራ ፉትቦል መምሪያ	Yäertra Futbol Mämriya	Yeértra Futbol Memriya
የእስላም መሠረታዊ ትምህርት	Yäeslam Mäsärätawi Temahert	Yeéslalm Meseretawi Temhert
የከሳቴ ብርሃን ማኅበር	Yakäsaté Berhan Mahbär	Yekesaté Berhan Mahber
የወንጌል መልእክተኞችና የእሑድ ት/ቤት ማኅበር	Yäwängel Mälektaňočenna Yaehud Temehert Bét Mahbär	Yewengel Melktenochnna Yehud Temhret Bet Mahber
የወይዘሮ ሙሉነሽ ገብረ መስቀል መታሰቢያ	Yäwäyzäro Mulunäs Gäbrä-Mäsqäl Mättasäbiya	Yewyzero Mulunesh Gabre Meskel Metaseba
የዓለም የሥራ ድርጅት መሥሪያ ቤት	Yaläm Yäsera Derejjet Mäsriyabét	Yealem Yesera Derjet Mesria Bet
የዳግማዊ ምኒልክ መታሰቢያ ድርጅት	Yadagmawi Menilek Mättasäbiya Derejjet	Yedagmawi Menilk Metasebia Derejet
የግሎብ ሥነ ጽሁፍ ድርጅት	Yaglob Sena Sehuf Derejjet	Yeglob Sene Tshuf Derejet
የጦር ካሣ ጉዳይ አስፈጻሚ ጽ/ቤት	Yätorkasa Gudday Ašfässami Sehefät Bét	Yetore Kassa Gudday Asfessami Tsehfet Bet
ያለው መንግሥቱ	Yaläw Mängestu	Yalew Mengistu
ያሬድ /ቅዱስ/	Yaréd	Yaréd
ያሬድ ገብረ ሚካኤል	Yaréd Gäbrä-Mikaél	Yared Gabre Michael
ያዕቆብ ገብረ ኢየሱስ /አባ/	Yaeqob Gäbrä-Iyäsus	Yaekob Gabre Yesus
ያዕቆብ ገብረ እግዚአብሔር	Yaeqob Gäbrä Egziabher	Yaekob Gabre Egziabher
ያይንሸት ሰንደቅ	Yaynešät Sändäq	Yayeneshet Sendek
ይላቅ ኃይለማርያም	Yelaq Haylä Maryam	Yelak Haile Mariam
ይልማ ሀብተየስ	Yelma Habtäyyäs	Yelma Habteyes 
ይልማ ሙላቱ	Yelma Mulatu	Yelma Mulatu
ይልማ ማናዬ	Yelma Mannayyé	Yelma Manaye 
ይልማ ኃይለ ማርያም	Yelma Haylä-Maryam	Yelma Haile Mariam
ይልማ ደሬሳ	Yelma Därésa	Yelma Deressa
ይርዳው ልባርጋቸው	Yerdaw Lebargaččäw	Yerdaw Lebargachew
ይርጋ መንግሥቱ እስጢፋኖስ	Yerga Mängestu Estifanos	Yerga Mengistu Estifanos
ይስሐቅ ተክለ ሃይማኖት	Yeshaq Täklä-Haymanot	Yeseheq Tekle Haimanot
ይስሐቅ አብርሐም	Yeshaq Abrham	Yesehaq Abrham
ይስሐቅ ዮሴፍ	Yeshaq Yoséf	Yesehaq Yoseph
